geo,stomach_cancer_new_cases_per_100000_women,time
sen,3.1,2002
scg,6.0,2002
sle,3.6,2002
sgp,11.1,2002
svk,29.08,1968
svk,25.1,1969
svk,25.09,1970
svk,22.01,1971
svk,21.54,1972
svk,20.27,1973
svk,19.12,1974
svk,18.83,1975
svk,18.15,1976
svk,18.09,1977
svk,15.46,1978
svk,14.73,1979
svk,14.09,1980
svk,12.82,1981
svk,13.75,1982
svk,13.31,1983
svk,13.0,1984
svk,11.27,1985
svk,11.9,1986
svk,11.24,1987
svk,10.99,1988
svk,10.43,1989
svk,11.37,1990
svk,8.78,1991
svk,10.14,1992
svk,9.74,1993
svk,8.53,1994
svk,9.33,1995
svk,8.78,1996
svk,8.41,1997
svk,7.8,2002
svn,24.62,1963
svn,23.2,1964
svn,21.16,1965
svn,21.18,1966
svn,21.55,1967
svn,22.12,1968
svn,19.15,1969
svn,18.21,1970
svn,21.05,1971
svn,18.74,1972
svn,19.02,1973
svn,17.96,1974
svn,16.24,1975
svn,18.52,1976
svn,16.1,1977
svn,16.26,1978
svn,18.11,1979
svn,14.2,1980
svn,14.45,1981
svn,12.44,1982
svn,12.27,1983
svn,12.3,1984
svn,14.92,1985
svn,14.0,1986
svn,12.98,1987
svn,10.83,1988
svn,10.61,1989
svn,11.76,1990
svn,11.13,1991
svn,9.63,1992
svn,11.39,1993
svn,10.51,1994
svn,10.97,1995
svn,10.06,1996
svn,9.38,1997
svn,8.9,2002
slb,6.2,2002
som,5.5,2002
zaf,3.9,2002
esp,7.2,2002
lka,0.9,2002
sdn,2.5,2002
sur,4.7,2002
swz,2.0,2002
swe,15.13,1958
swe,13.9,1959
swe,13.0,1960
swe,12.9,1961
swe,13.16,1962
swe,13.31,1963
swe,13.1,1964
swe,11.94,1965
swe,11.6,1966
swe,11.82,1967
swe,11.64,1968
swe,10.86,1969
swe,10.31,1970
swe,10.39,1971
swe,9.65,1972
swe,9.39,1973
swe,9.15,1974
swe,9.05,1975
swe,8.3,1976
swe,8.06,1977
swe,8.5,1978
swe,7.44,1979
swe,7.32,1980
swe,7.19,1981
swe,7.07,1982
swe,7.07,1983
swe,7.02,1984
swe,6.46,1985
swe,6.68,1986
swe,5.55,1987
swe,6.0,1988
swe,5.73,1989
swe,5.56,1990
swe,4.78,1991
swe,5.12,1992
swe,4.91,1993
swe,4.15,1994
swe,4.51,1995
swe,4.25,1996
swe,4.06,1997
swe,4.3,2002
che,4.6,2002
syr,5.6,2002
tjk,15.3,2002
tza,4.6,2002
tha,2.9,2002
tgo,3.6,2002
tto,9.2,2002
tun,3.0,2002
tur,6.4,2002
tkm,13.5,2002
uga,5.6,2002
ukr,12.6,2002
are,8.7,2002
gbr,5.5,2002
usa,3.3,2002
ury,7.2,2002
uzb,8.6,2002
vut,7.7,2002
ven,12.2,2002
vnm,10.0,2002
yem,3.3,2002
zmb,6.9,2002
zwe,9.6,2002
