cholesterol_fat_in_blood_men_mmolperl,geo,time
4.48,btn,2001
4.484,btn,2002
4.486,btn,2003
4.488,btn,2004
4.491,btn,2005
4.493,btn,2006
4.497,btn,2007
4.503,btn,2008
4.845,bol,1980
4.84,bol,1981
4.831,bol,1982
4.823,bol,1983
4.807,bol,1984
4.785,bol,1985
4.76,bol,1986
4.737,bol,1987
4.717,bol,1988
4.698,bol,1989
4.684,bol,1990
4.671,bol,1991
4.659,bol,1992
4.65,bol,1993
4.647,bol,1994
4.642,bol,1995
4.639,bol,1996
4.635,bol,1997
4.633,bol,1998
4.628,bol,1999
4.621,bol,2000
4.614,bol,2001
4.607,bol,2002
4.6,bol,2003
4.594,bol,2004
4.591,bol,2005
4.587,bol,2006
4.582,bol,2007
4.577,bol,2008
4.928,bih,1980
4.925,bih,1981
4.921,bih,1982
4.917,bih,1983
4.914,bih,1984
4.912,bih,1985
4.906,bih,1986
4.895,bih,1987
4.882,bih,1988
4.864,bih,1989
4.844,bih,1990
4.811,bih,1991
4.767,bih,1992
4.712,bih,1993
4.664,bih,1994
4.63,bih,1995
4.618,bih,1996
4.618,bih,1997
4.625,bih,1998
4.636,bih,1999
4.653,bih,2000
4.668,bih,2001
4.681,bih,2002
4.685,bih,2003
4.683,bih,2004
4.68,bih,2005
4.677,bih,2006
4.676,bih,2007
4.675,bih,2008
4.535,bwa,1980
4.531,bwa,1981
4.529,bwa,1982
4.53,bwa,1983
4.539,bwa,1984
4.542,bwa,1985
4.545,bwa,1986
4.547,bwa,1987
4.551,bwa,1988
4.56,bwa,1989
4.577,bwa,1990
4.591,bwa,1991
4.606,bwa,1992
4.614,bwa,1993
4.611,bwa,1994
4.611,bwa,1995
4.608,bwa,1996
4.605,bwa,1997
4.602,bwa,1998
4.594,bwa,1999
4.592,bwa,2000
4.591,bwa,2001
4.589,bwa,2002
4.586,bwa,2003
4.589,bwa,2004
4.594,bwa,2005
4.6,bwa,2006
4.603,bwa,2007
4.605,bwa,2008
4.858,bra,1980
4.861,bra,1981
4.859,bra,1982
4.855,bra,1983
4.851,bra,1984
4.848,bra,1985
4.851,bra,1986
4.853,bra,1987
4.852,bra,1988
4.853,bra,1989
4.853,bra,1990
4.853,bra,1991
4.856,bra,1992
4.859,bra,1993
4.863,bra,1994
4.871,bra,1995
4.875,bra,1996
4.88,bra,1997
4.883,bra,1998
4.883,bra,1999
4.883,bra,2000
4.881,bra,2001
4.876,bra,2002
4.868,bra,2003
4.862,bra,2004
4.854,bra,2005
4.847,bra,2006
4.84,bra,2007
4.835,bra,2008
4.808,vgb,1980
4.804,vgb,1981
4.8,vgb,1982
4.795,vgb,1983
4.789,vgb,1984
4.781,vgb,1985
4.771,vgb,1986
4.765,vgb,1987
4.761,vgb,1988
4.758,vgb,1989
4.763,vgb,1990
4.777,vgb,1991
4.799,vgb,1992
4.829,vgb,1993
4.864,vgb,1994
4.903,vgb,1995
4.937,vgb,1996
4.966,vgb,1997
4.99,vgb,1998
5.009,vgb,1999
5.027,vgb,2000
5.038,vgb,2001
5.042,vgb,2002
5.038,vgb,2003
5.033,vgb,2004
5.029,vgb,2005
5.025,vgb,2006
5.024,vgb,2007
5.024,vgb,2008
5.511,brn,1980
5.493,brn,1981
5.477,brn,1982
5.457,brn,1983
5.437,brn,1984
5.413,brn,1985
5.386,brn,1986
5.366,brn,1987
5.345,brn,1988
5.319,brn,1989
5.298,brn,1990
5.282,brn,1991
5.262,brn,1992
5.243,brn,1993
5.233,brn,1994
5.221,brn,1995
5.212,brn,1996
5.198,brn,1997
5.188,brn,1998
5.184,brn,1999
5.176,brn,2000
5.164,brn,2001
5.154,brn,2002
5.143,brn,2003
5.138,brn,2004
5.129,brn,2005
5.127,brn,2006
5.129,brn,2007
5.129,brn,2008
5.264,bgr,1980
5.271,bgr,1981
5.277,bgr,1982
5.282,bgr,1983
5.29,bgr,1984
5.295,bgr,1985
5.296,bgr,1986
5.296,bgr,1987
5.296,bgr,1988
5.294,bgr,1989
5.28,bgr,1990
5.264,bgr,1991
5.245,bgr,1992
5.229,bgr,1993
5.207,bgr,1994
5.187,bgr,1995
5.164,bgr,1996
5.138,bgr,1997
5.119,bgr,1998
5.099,bgr,1999
5.082,bgr,2000
5.067,bgr,2001
5.047,bgr,2002
5.027,bgr,2003
5.015,bgr,2004
5.007,bgr,2005
5.003,bgr,2006
4.998,bgr,2007
4.994,bgr,2008
4.108,bfa,1980
4.096,bfa,1981
4.083,bfa,1982
4.071,bfa,1983
4.059,bfa,1984
4.046,bfa,1985
4.029,bfa,1986
4.014,bfa,1987
4.0,bfa,1988
3.985,bfa,1989
3.968,bfa,1990
3.954,bfa,1991
3.939,bfa,1992
3.924,bfa,1993
3.907,bfa,1994
3.895,bfa,1995
3.886,bfa,1996
3.881,bfa,1997
3.878,bfa,1998
3.877,bfa,1999
3.877,bfa,2000
3.879,bfa,2001
3.881,bfa,2002
3.885,bfa,2003
3.888,bfa,2004
3.893,bfa,2005
3.898,bfa,2006
3.901,bfa,2007
3.904,bfa,2008
4.022,bdi,1980
4.021,bdi,1981
4.022,bdi,1982
4.024,bdi,1983
4.03,bdi,1984
4.029,bdi,1985
4.027,bdi,1986
4.024,bdi,1987
4.025,bdi,1988
4.031,bdi,1989
4.03,bdi,1990
4.03,bdi,1991
4.03,bdi,1992
4.027,bdi,1993
4.024,bdi,1994
4.017,bdi,1995
4.003,bdi,1996
3.992,bdi,1997
3.983,bdi,1998
3.976,bdi,1999
3.969,bdi,2000
3.96,bdi,2001
3.954,bdi,2002
3.95,bdi,2003
3.948,bdi,2004
3.945,bdi,2005
3.946,bdi,2006
3.947,bdi,2007
3.948,bdi,2008
4.376,khm,1980
4.36,khm,1981
4.348,khm,1982
4.338,khm,1983
4.33,khm,1984
4.325,khm,1985
4.32,khm,1986
4.311,khm,1987
4.305,khm,1988
4.3,khm,1989
4.292,khm,1990
4.285,khm,1991
4.279,khm,1992
4.274,khm,1993
4.27,khm,1994
4.267,khm,1995
4.268,khm,1996
4.27,khm,1997
4.272,khm,1998
4.276,khm,1999
4.282,khm,2000
4.291,khm,2001
4.299,khm,2002
4.306,khm,2003
4.315,khm,2004
4.327,khm,2005
4.338,khm,2006
4.35,khm,2007
4.362,khm,2008
4.197,cmr,1980
4.196,cmr,1981
4.198,cmr,1982
4.2,cmr,1983
4.205,cmr,1984
4.208,cmr,1985
4.211,cmr,1986
4.214,cmr,1987
4.213,cmr,1988
4.206,cmr,1989
4.195,cmr,1990
4.18,cmr,1991
4.161,cmr,1992
4.141,cmr,1993
4.119,cmr,1994
4.1,cmr,1995
4.083,cmr,1996
4.07,cmr,1997
4.061,cmr,1998
4.055,cmr,1999
4.052,cmr,2000
4.052,cmr,2001
4.053,cmr,2002
4.055,cmr,2003
4.058,cmr,2004
4.059,cmr,2005
4.061,cmr,2006
4.064,cmr,2007
4.066,cmr,2008
5.641,can,1980
5.618,can,1981
5.591,can,1982
5.568,can,1983
5.545,can,1984
5.524,can,1985
5.502,can,1986
5.48,can,1987
5.464,can,1988
5.45,can,1989
5.434,can,1990
5.414,can,1991
5.393,can,1992
5.371,can,1993
5.352,can,1994
5.334,can,1995
5.313,can,1996
5.29,can,1997
5.272,can,1998
5.255,can,1999
5.239,can,2000
5.225,can,2001
5.211,can,2002
5.193,can,2003
5.178,can,2004
5.158,can,2005
5.139,can,2006
5.116,can,2007
5.094,can,2008
4.23,cpv,1980
4.221,cpv,1981
4.217,cpv,1982
4.212,cpv,1983
4.207,cpv,1984
4.206,cpv,1985
4.201,cpv,1986
4.186,cpv,1987
4.176,cpv,1988
4.172,cpv,1989
4.175,cpv,1990
4.18,cpv,1991
4.187,cpv,1992
4.193,cpv,1993
4.193,cpv,1994
4.199,cpv,1995
4.2,cpv,1996
4.204,cpv,1997
4.209,cpv,1998
4.215,cpv,1999
4.221,cpv,2000
4.228,cpv,2001
4.23,cpv,2002
4.231,cpv,2003
4.232,cpv,2004
4.233,cpv,2005
4.238,cpv,2006
4.244,cpv,2007
4.248,cpv,2008
4.265,caf,1980
4.256,caf,1981
4.249,caf,1982
4.243,caf,1983
4.241,caf,1984
4.24,caf,1985
4.238,caf,1986
4.234,caf,1987
4.23,caf,1988
4.224,caf,1989
4.218,caf,1990
4.208,caf,1991
4.193,caf,1992
4.177,caf,1993
4.163,caf,1994
4.152,caf,1995
4.14,caf,1996
4.129,caf,1997
4.119,caf,1998
4.113,caf,1999
4.109,caf,2000
4.104,caf,2001
4.099,caf,2002
4.093,caf,2003
4.085,caf,2004
4.079,caf,2005
4.072,caf,2006
4.065,caf,2007
4.059,caf,2008
4.142,tcd,1980
4.12,tcd,1981
4.1,tcd,1982
4.084,tcd,1983
4.067,tcd,1984
4.055,tcd,1985
4.047,tcd,1986
4.037,tcd,1987
4.03,tcd,1988
4.024,tcd,1989
4.015,tcd,1990
4.006,tcd,1991
3.996,tcd,1992
3.984,tcd,1993
3.968,tcd,1994
3.954,tcd,1995
3.94,tcd,1996
3.926,tcd,1997
3.912,tcd,1998
3.9,tcd,1999
3.889,tcd,2000
3.877,tcd,2001
3.869,tcd,2002
3.868,tcd,2003
3.877,tcd,2004
3.888,tcd,2005
3.897,tcd,2006
3.906,tcd,2007
3.912,tcd,2008
5.022,chl,1980
5.021,chl,1981
5.013,chl,1982
5.004,chl,1983
4.996,chl,1984
4.991,chl,1985
4.988,chl,1986
4.987,chl,1987
4.989,chl,1988
4.995,chl,1989
5.0,chl,1990
5.004,chl,1991
5.011,chl,1992
5.018,chl,1993
5.024,chl,1994
5.031,chl,1995
5.035,chl,1996
5.04,chl,1997
5.043,chl,1998
5.041,chl,1999
5.037,chl,2000
5.03,chl,2001
5.019,chl,2002
5.009,chl,2003
4.998,chl,2004
4.989,chl,2005
4.98,chl,2006
4.975,chl,2007
4.969,chl,2008
4.208,chn,1980
4.201,chn,1981
4.194,chn,1982
4.188,chn,1983
4.187,chn,1984
4.189,chn,1985
4.193,chn,1986
4.199,chn,1987
4.208,chn,1988
4.214,chn,1989
4.218,chn,1990
4.226,chn,1991
4.235,chn,1992
4.245,chn,1993
4.259,chn,1994
4.275,chn,1995
4.289,chn,1996
4.306,chn,1997
4.321,chn,1998
4.336,chn,1999
4.351,chn,2000
4.367,chn,2001
4.385,chn,2002
4.404,chn,2003
4.422,chn,2004
4.44,chn,2005
4.46,chn,2006
4.479,chn,2007
4.499,chn,2008
4.885,col,1980
4.887,col,1981
4.89,col,1982
4.89,col,1983
4.892,col,1984
4.894,col,1985
4.898,col,1986
4.899,col,1987
4.904,col,1988
4.909,col,1989
4.915,col,1990
4.922,col,1991
4.923,col,1992
4.924,col,1993
4.927,col,1994
4.928,col,1995
4.928,col,1996
4.924,col,1997
4.92,col,1998
4.91,col,1999
4.897,col,2000
4.883,col,2001
4.866,col,2002
4.848,col,2003
4.831,col,2004
4.815,col,2005
4.8,col,2006
4.785,col,2007
4.769,col,2008
4.378,com,1980
4.372,com,1981
4.367,com,1982
4.363,com,1983
4.359,com,1984
4.357,com,1985
4.353,com,1986
4.347,com,1987
4.342,com,1988
4.334,com,1989
4.325,com,1990
4.314,com,1991
4.304,com,1992
4.295,com,1993
4.287,com,1994
4.277,com,1995
4.267,com,1996
4.26,com,1997
4.252,com,1998
4.244,com,1999
4.234,com,2000
4.225,com,2001
4.217,com,2002
4.21,com,2003
4.205,com,2004
4.199,com,2005
4.192,com,2006
4.184,com,2007
4.178,com,2008
4.162,cod,1980
4.142,cod,1981
4.12,cod,1982
4.099,cod,1983
4.081,cod,1984
