geo,salaried_workers_percent_of_labour_force,time
zaf,80.9,2004
zaf,82.4,2007
esp,70.0,1980
esp,69.9,1981
esp,70.0,1982
esp,69.6,1983
esp,68.6,1984
esp,69.1,1985
esp,70.3,1986
esp,70.1,1987
esp,70.9,1988
esp,72.4,1989
esp,73.7,1990
esp,74.3,1991
esp,73.8,1992
esp,73.8,1993
esp,74.0,1994
esp,74.7,1995
esp,75.2,1996
esp,76.4,1997
esp,77.2,1998
esp,78.7,1999
esp,79.8,2000
esp,80.2,2001
esp,81.0,2002
esp,81.7,2003
esp,81.9,2004
esp,81.7,2005
esp,82.1,2006
esp,82.3,2007
lka,59.4,1997
lka,55.6,1998
lka,57.5,1999
lka,56.2,2000
lka,58.6,2001
lka,57.9,2002
lka,58.2,2003
lka,59.4,2004
lka,59.5,2005
lka,55.6,2006
lka,56.5,2007
sur,79.8,1993
sur,78.5,1994
sur,80.5,1995
sur,79.2,1996
sur,76.1,1997
sur,80.7,1998
swz,76.4,1997
swe,92.0,1980
swe,92.1,1981
swe,91.9,1982
swe,92.1,1983
swe,92.4,1984
swe,92.7,1985
swe,93.4,1986
swe,90.6,1987
swe,90.8,1988
swe,90.6,1989
swe,90.8,1990
swe,90.9,1991
swe,90.2,1992
swe,89.2,1993
swe,88.9,1994
swe,88.8,1995
swe,89.0,1996
swe,89.2,1997
swe,89.4,1998
swe,89.4,1999
swe,89.7,2000
swe,90.0,2001
swe,90.2,2002
swe,90.4,2003
swe,90.1,2004
swe,90.2,2005
swe,90.0,2006
swe,89.4,2007
che,84.8,1991
che,84.8,1992
che,83.6,1993
che,84.1,1994
che,83.7,1995
che,82.2,1996
che,81.6,1997
che,82.2,1998
che,82.0,1999
che,82.0,2000
che,82.8,2001
che,83.1,2002
che,82.5,2003
che,83.8,2004
che,84.0,2005
che,84.1,2006
che,83.8,2007
syr,49.2,2001
twn,64.4,1980
twn,64.3,1981
twn,64.1,1982
twn,63.8,1983
twn,64.4,1984
twn,64.1,1985
twn,64.6,1986
twn,66.7,1987
twn,67.0,1988
twn,67.4,1989
twn,67.6,1990
twn,67.1,1991
twn,67.8,1992
twn,68.7,1993
twn,68.9,1994
twn,69.2,1995
twn,69.3,1996
twn,70.0,1997
twn,70.6,1998
twn,70.6,1999
twn,71.1,2000
twn,71.7,2001
twn,71.6,2002
twn,72.1,2003
twn,72.9,2004
twn,73.8,2005
twn,74.6,2006
twn,75.1,2007
tza,6.9,2001
tza,10.5,2006
tha,27.8,1987
tha,27.2,1988
tha,27.0,1989
tha,28.4,1990
tha,30.7,1991
tha,31.2,1992
tha,34.3,1993
tha,34.8,1994
tha,35.7,1995
tha,37.7,1996
tha,37.7,1997
tha,36.5,1998
tha,38.3,1999
tha,39.6,2000
tha,40.4,2001
tha,40.0,2002
tha,40.5,2003
tha,43.8,2004
tha,43.7,2005
tha,43.7,2006
tha,43.6,2007
mkd,77.4,1998
mkd,74.5,1999
mkd,74.3,2000
mkd,70.1,2001
mkd,70.7,2002
mkd,72.7,2003
mkd,75.4,2004
mkd,71.8,2005
mkd,70.8,2006
mkd,72.3,2007
ton,42.2,1996
tto,73.5,1987
tto,72.4,1988
tto,73.7,1989
tto,74.3,1990
tto,75.9,1991
tto,74.8,1992
tto,73.5,1993
tto,73.9,1994
tto,74.0,1995
tto,75.2,1996
tto,75.5,1997
tto,76.8,1998
tto,76.4,1999
tto,76.7,2000
tto,76.4,2001
tto,77.3,2002
tto,78.1,2003
tto,78.6,2004
tto,79.0,2005
tun,67.0,1989
tun,70.2,1994
tun,68.4,1999
tun,68.1,2000
tun,67.6,2001
tun,67.7,2002
tun,64.3,2003
tur,40.4,1988
tur,38.5,1989
tur,39.0,1990
tur,38.0,1991
tur,39.7,1992
tur,42.2,1993
tur,40.9,1994
tur,41.5,1995
tur,42.8,1996
tur,44.6,1997
tur,45.2,1998
tur,44.3,1999
tur,48.6,2000
tur,47.2,2001
tur,49.8,2002
tur,50.6,2003
tur,50.8,2004
tur,54.2,2005
tur,56.5,2006
tur,58.1,2007
tuv,96.2,2002
uga,14.3,2002
uga,14.5,2003
ukr,89.6,1995
ukr,89.0,1996
ukr,83.7,1997
ukr,82.3,1998
ukr,91.2,1999
ukr,89.9,2000
ukr,89.1,2001
ukr,87.8,2002
ukr,87.5,2003
ukr,83.6,2004
ukr,81.8,2005
ukr,81.0,2006
ukr,80.7,2007
are,96.9,2005
gbr,91.9,1980
gbr,91.2,1981
gbr,90.8,1982
gbr,90.4,1983
gbr,87.3,1984
gbr,86.9,1985
gbr,86.8,1986
gbr,85.6,1987
gbr,85.3,1988
gbr,84.8,1989
gbr,84.9,1990
gbr,85.4,1991
gbr,86.8,1992
gbr,86.9,1993
gbr,86.6,1994
gbr,86.5,1995
gbr,87.0,1996
gbr,87.1,1997
gbr,87.5,1998
gbr,88.0,1999
gbr,88.3,2000
gbr,88.4,2001
gbr,88.3,2002
gbr,87.2,2003
gbr,86.9,2004
gbr,87.1,2005
gbr,87.0,2006
gbr,86.7,2007
usa,90.6,1980
usa,90.6,1981
usa,90.4,1982
usa,90.3,1983
usa,90.6,1984
usa,90.9,1985
usa,91.1,1986
usa,91.1,1987
usa,91.0,1988
usa,91.1,1989
usa,91.2,1990
usa,91.0,1991
usa,91.3,1992
usa,91.2,1993
usa,91.2,1994
usa,91.5,1995
usa,91.6,1996
usa,91.8,1997
usa,92.1,1998
usa,92.3,1999
usa,92.6,2000
usa,92.6,2001
usa,92.8,2002
usa,92.4,2003
usa,92.4,2004
usa,92.5,2005
usa,92.6,2006
usa,92.8,2007
ury,72.8,1998
ury,72.5,1999
ury,72.9,2000
ury,71.2,2001
ury,68.0,2002
ury,70.2,2003
ury,71.4,2005
ury,69.9,2006
ury,69.9,2007
ven,61.7,1994
ven,62.1,1995
ven,61.3,1996
ven,63.9,1997
ven,60.4,1998
ven,59.2,1999
ven,58.0,2000
ven,59.0,2001
ven,55.2,2002
ven,53.9,2003
ven,57.9,2006
ven,59.3,2007
vnm,16.8,1996
vnm,18.5,1997
vnm,21.2,1998
vnm,18.2,1999
vnm,18.4,2000
vnm,20.7,2001
vnm,20.4,2002
vnm,21.9,2003
vnm,25.6,2004
pse,55.8,1996
pse,62.0,1997
pse,65.3,1998
pse,67.8,1999
pse,66.2,2000
pse,62.1,2001
pse,59.2,2002
pse,57.2,2003
pse,58.2,2004
pse,59.4,2005
pse,59.3,2006
yem,41.6,1999
zmb,52.6,1980
zmb,30.6,1990
zmb,24.1,1991
zmb,20.6,1996
zmb,17.7,1998
zmb,18.3,2000
zmb,18.7,2003
zwe,36.1,1994
zwe,39.2,1997
zwe,39.3,1999
zwe,37.7,2002
