geo,ratio_of_girls_to_boys_in_primary_and_secondary_education_perc,time
brn,101.1,2004
brn,101.3,2005
brn,101.2,2006
brn,101.2,2007
brn,101.3,2008
brn,101.7,2009
brn,102.3,2010
brn,101.4,2011
bgr,98.62,1971
bgr,99.23,1972
bgr,99.5,1973
bgr,99.85,1974
bgr,100.4,1975
bgr,98.88,1976
bgr,99.98,1977
bgr,98.83,1978
bgr,98.59,1979
bgr,98.44,1980
bgr,99.32,1981
bgr,99.69,1982
bgr,99.75,1983
bgr,99.92,1984
bgr,99.82,1985
bgr,99.77,1986
bgr,99.45,1987
bgr,99.43,1988
bgr,99.01,1989
bgr,99.12,1990
bgr,99.44,1991
bgr,99.5,1992
bgr,99.24,1993
bgr,99.72,1994
bgr,99.46,1995
bgr,98.81,1996
bgr,99.02,1997
bgr,98.16,1998
bgr,97.95,1999
bgr,97.73,2000
bgr,97.74,2001
bgr,97.76,2002
bgr,97.67,2003
bgr,96.68,2004
bgr,96.55,2005
bgr,96.63,2006
bgr,96.66,2007
bgr,97.46,2008
bgr,97.42,2009
bgr,96.82,2010
bfa,56.47,1971
bfa,57.54,1972
bfa,58.26,1973
bfa,58.7,1974
bfa,59.33,1975
bfa,58.76,1976
bfa,57.56,1977
bfa,58.61,1979
bfa,60.02,1980
bfa,58.9,1981
bfa,59.26,1982
bfa,58.88,1983
bfa,58.91,1984
bfa,59.17,1985
bfa,58.99,1986
bfa,63.97,1994
bfa,68.53,1999
bfa,70.16,2000
bfa,71.43,2001
bfa,72.67,2002
bfa,73.91,2003
bfa,76.85,2004
bfa,78.41,2005
bfa,80.1,2006
bfa,81.93,2007
bfa,84.1,2008
bfa,85.65,2009
bfa,87.7,2010
bfa,89.27,2011
bdi,47.43,1971
bdi,48.83,1972
bdi,54.76,1973
bdi,57.39,1974
bdi,58.37,1975
bdi,60.48,1976
bdi,61.98,1977
bdi,61.36,1978
bdi,62.59,1979
bdi,62.73,1980
bdi,62.86,1981
bdi,61.76,1982
bdi,62.93,1983
bdi,65.2,1984
bdi,67.88,1985
bdi,70.2,1986
bdi,73.18,1987
bdi,77.21,1988
bdi,78.53,1989
bdi,79.05,1990
bdi,81.74,1991
bdi,79.81,1992
bdi,79.95,1993
bdi,79.77,2003
bdi,81.91,2004
bdi,83.88,2005
bdi,88.58,2006
bdi,90.0,2007
bdi,91.3,2008
bdi,92.66,2009
bdi,93.86,2010
bdi,95.33,2011
khm,68.25,1971
khm,79.23,1998
khm,81.19,1999
khm,81.72,2000
khm,83.23,2001
khm,84.46,2002
khm,85.51,2003
khm,87.05,2004
khm,88.33,2005
khm,89.23,2006
khm,89.8,2007
khm,90.99,2008
khm,93.77,2010
khm,94.22,2011
cmr,71.01,1971
cmr,73.04,1972
cmr,73.8,1973
cmr,74.89,1974
cmr,75.15,1975
cmr,76.25,1976
cmr,77.03,1977
cmr,77.39,1978
cmr,78.42,1979
cmr,78.93,1980
cmr,78.89,1981
cmr,79.39,1982
cmr,79.32,1983
cmr,79.65,1984
cmr,79.74,1985
cmr,80.34,1986
cmr,80.96,1987
cmr,81.37,1988
cmr,81.68,1989
cmr,82.13,1990
cmr,82.81,1991
cmr,87.12,1992
cmr,84.72,1995
cmr,85.46,1997
cmr,80.66,1998
cmr,82.67,1999
cmr,85.36,2001
cmr,84.8,2003
cmr,84.09,2004
cmr,82.62,2005
cmr,82.78,2006
cmr,84.19,2008
cmr,85.54,2009
cmr,85.55,2010
cmr,86.06,2011
can,99.02,1971
can,99.15,1972
can,99.35,1973
can,100.0,1974
can,99.83,1975
can,100.7,1976
can,100.7,1977
can,100.9,1978
can,101.0,1979
can,101.3,1980
can,101.2,1981
can,99.91,1982
can,98.88,1983
can,98.79,1984
can,98.91,1985
can,98.96,1986
can,99.04,1987
can,99.19,1988
can,99.29,1989
can,100.0,1990
can,99.44,1991
can,99.23,1992
can,99.01,1993
can,99.03,1994
can,99.38,1995
can,99.4,1996
can,99.64,1998
can,100.9,1999
can,101.1,2000
can,100.6,2002
can,98.44,2005
can,98.62,2006
can,98.6,2007
can,98.63,2008
can,98.79,2009
cpv,97.66,1987
cpv,99.3,1988
cpv,99.73,1989
cpv,99.45,1990
cpv,97.25,1994
cpv,99.19,2001
cpv,98.68,2002
cpv,99.68,2003
cpv,100.2,2004
cpv,101.0,2005
cpv,103.6,2006
cpv,104.4,2007
cpv,101.2,2008
cpv,103.6,2009
cpv,104.0,2010
cpv,103.4,2011
cym,119.3,1972
cym,109.3,1973
cym,110.5,1974
cym,111.6,1975
cym,110.0,1976
cym,106.4,1977
cym,106.1,1980
cym,97.94,1981
cym,94.13,1999
caf,46.04,1971
caf,46.1,1972
caf,46.87,1973
caf,51.3,1976
caf,50.24,1977
caf,49.95,1978
caf,50.78,1979
caf,54.44,1980
caf,53.4,1981
caf,52.55,1982
caf,58.17,1986
caf,57.46,1987
caf,57.15,1988
caf,58.02,1989
caf,59.08,1990
caf,60.52,1991
caf,61.97,1992
caf,68.58,2009
caf,69.33,2011
tcd,31.29,1971
tcd,31.06,1972
tcd,31.79,1974
tcd,34.27,1985
tcd,36.29,1987
tcd,39.03,1989
tcd,40.93,1990
tcd,44.1,1994
tcd,44.24,1995
tcd,45.23,1996
tcd,48.19,1997
tcd,50.51,1998
tcd,53.3,1999
tcd,55.86,2000
tcd,57.76,2001
tcd,59.17,2002
tcd,59.88,2003
tcd,59.69,2004
tcd,61.06,2005
tcd,61.39,2006
tcd,64.2,2007
tcd,63.64,2008
tcd,63.65,2009
tcd,65.77,2010
tcd,67.7,2011
chl,101.5,1970
chl,100.5,1971
chl,100.3,1972
chl,100.8,1973
chl,101.2,1974
chl,100.9,1975
chl,101.8,1976
chl,101.1,1977
chl,100.9,1978
chl,101.1,1979
chl,100.9,1980
chl,101.5,1981
chl,99.37,1982
chl,99.97,1983
chl,99.72,1984
chl,100.1,1985
chl,99.88,1986
chl,100.6,1989
chl,101.0,1990
chl,99.61,1991
chl,99.97,1992
chl,100.9,1993
chl,99.95,1998
chl,99.93,1999
chl,99.57,2000
chl,99.46,2002
chl,99.25,2003
chl,98.18,2004
chl,98.26,2005
chl,98.62,2006
chl,98.62,2007
chl,98.52,2008
chl,98.82,2009
chl,100.0,2010
chn,83.99,1976
chn,84.71,1977
chn,85.19,1978
chn,83.77,1979
chn,82.93,1980
chn,81.01,1981
chn,79.38,1982
chn,78.84,1983
chn,79.09,1984
chn,79.49,1985
chn,81.41,1986
chn,82.97,1987
chn,83.41,1988
chn,84.2,1989
chn,84.71,1990
chn,85.92,1991
chn,87.42,1992
chn,88.33,1993
chn,90.64,1994
chn,92.29,1995
chn,93.87,1996
chn,94.88,1997
chn,99.04,2001
chn,99.69,2003
chn,102.7,2006
chn,103.2,2007
chn,103.9,2008
chn,104.8,2009
chn,103.4,2010
col,102.7,1970
col,103.1,1971
col,103.5,1972
col,103.8,1973
col,104.5,1974
col,104.2,1975
col,104.0,1976
col,103.7,1977
col,103.9,1978
col,103.8,1979
col,103.2,1980
col,103.5,1981
col,103.1,1982
col,106.6,1983
col,101.8,1984
col,103.0,1985
col,103.1,1986
col,101.9,1987
col,102.0,1988
col,102.0,1989
col,107.5,1991
col,110.4,1992
col,107.1,1993
col,105.2,1995
col,101.6,1996
col,102.7,1998
col,104.2,1999
col,103.7,2000
col,103.6,2002
col,103.8,2004
col,103.4,2005
col,104.1,2006
col,104.5,2007
col,104.2,2008
col,104.5,2009
col,103.7,2010
col,102.6,2011
com,45.9,1971
com,49.91,1973
com,67.95,1981
com,72.86,1986
com,76.21,1987
com,83.83,1999
com,84.18,2000
com,82.3,2002
com,82.13,2003
com,84.27,2004
com,84.37,2005
cod,55.32,1971
cod,57.49,1972
cod,59.07,1973
cod,61.88,1974
cod,60.88,1975
cod,61.3,1976
cod,62.09,1977
cod,61.91,1978
cod,62.15,1979
cod,63.33,1980
cod,64.55,1981
cod,65.49,1982
cod,66.79,1983
cod,68.16,1984
cod,60.34,1985
cod,60.62,1986
cod,70.5,1987
cod,67.93,1988
cod,69.85,1992
cod,70.66,1993
cod,67.29,1994
cod,67.01,1995
cod,80.13,1999
cod,73.62,2002
cod,73.85,2007
cod,76.23,2008
cod,77.23,2009
cod,78.53,2010
cog,73.89,1971
cog,75.95,1972
cog,77.41,1973
cog,76.95,1974
cog,78.39,1975
cog,79.3,1976
cog,80.18,1977
cog,82.45,1978
cog,83.08,1979
cog,83.76,1980
cog,85.91,1981
cog,86.12,1982
cog,86.64,1984
cog,88.86,1985
cog,89.63,1986
cog,87.51,1987
cog,91.11,1988
cog,89.78,1989
cog,88.68,1990
cog,88.75,1992
cog,88.0,1996
cog,85.75,2000
cog,88.93,2002
cog,86.42,2003
cog,91.47,2004
cri,99.96,1970
cri,100.3,1971
cri,100.9,1972
cri,101.4,1973
cri,101.0,1974
cri,101.7,1975
cri,102.4,1976
cri,103.1,1977
cri,103.8,1979
cri,104.0,1980
cri,103.1,1981
cri,103.0,1982
cri,102.3,1983
cri,101.1,1984
cri,101.0,1985
cri,100.3,1986
cri,99.96,1987
cri,99.86,1988
cri,99.58,1989
cri,100.2,1990
cri,100.8,1991
cri,100.9,1992
cri,101.5,1993
cri,101.7,1994
cri,102.0,1995
cri,102.5,1996
cri,102.5,1997
cri,102.2,1998
cri,101.9,1999
cri,101.4,2000
cri,102.2,2001
cri,101.3,2002
cri,101.5,2003
cri,101.4,2004
cri,101.4,2005
cri,101.8,2006
cri,101.5,2007
cri,101.9,2008
cri,101.9,2009
cri,101.8,2010
cri,101.9,2011
civ,53.39,1971
civ,54.16,1972
civ,54.84,1973
civ,55.3,1974
civ,62.26,1981
civ,63.55,1983
civ,64.53,1984
civ,69.03,1999
civ,69.28,2000
civ,70.61,2001
civ,68.55,2002
hrv,102.4,1993
hrv,101.6,1994
hrv,101.4,1995
hrv,101.2,1996
hrv,100.7,1997
hrv,100.5,1998
hrv,100.6,1999
hrv,100.9,2000
hrv,100.9,2001
hrv,100.9,2002
hrv,100.8,2003
hrv,101.9,2005
hrv,101.9,2006
hrv,102.0,2007
hrv,102.3,2008
hrv,102.4,2009
hrv,104.7,2010
cub,98.57,1972
cub,97.81,1973
cub,97.36,1974
cub,96.93,1975
cub,98.46,1978
cub,99.33,1979
cub,98.84,1980
cub,99.28,1981
cub,99.61,1982
cub,100.4,1983
cub,99.44,1984
cub,99.29,1985
cub,100.2,1986
cub,100.3,1987
cub,101.4,1988
cub,103.3,1989
cub,104.7,1990
cub,106.1,1991
cub,107.3,1992
cub,105.8,1993
cub,104.7,1994
cub,104.9,1995
