broadband_subscribers_per_100_people,geo,time
0.0,ita,1998
0.202,ita,2000
0.6845,ita,2001
1.487,ita,2002
3.906,ita,2003
8.121,ita,2004
11.64,ita,2005
14.42,ita,2006
17.05,ita,2007
18.85,ita,2008
20.41,ita,2009
21.92,ita,2010
0.1242,jam,2001
0.3438,jam,2002
0.3428,jam,2003
1.023,jam,2004
1.698,jam,2005
2.563,jam,2006
3.467,jam,2007
3.622,jam,2008
4.162,jam,2009
4.318,jam,2010
0.02531,jpn,1998
0.1705,jpn,1999
0.6736,jpn,2000
3.016,jpn,2001
7.374,jpn,2002
11.68,jpn,2003
15.31,jpn,2004
18.24,jpn,2005
20.69,jpn,2006
22.15,jpn,2007
23.58,jpn,2008
24.82,jpn,2009
26.71,jpn,2010
0.008317,jor,2001
0.06306,jor,2002
0.09675,jor,2003
0.1971,jor,2004
0.4352,jor,2005
0.8781,jor,2006
1.569,jor,2007
2.37,jor,2008
3.44,jor,2009
3.238,jor,2010
0.0,kaz,2001
0.0,kaz,2002
0.006694,kaz,2003
0.0133,kaz,2004
0.01978,kaz,2005
0.1992,kaz,2006
1.746,kaz,2007
4.216,kaz,2008
3.587,kaz,2009
8.741,kaz,2010
0.0,ken,2001
0.0,ken,2002
0.0,ken,2003
0.01516,ken,2005
0.0485,ken,2006
0.04732,ken,2007
0.008535,ken,2008
0.02116,ken,2009
0.01026,ken,2010
0.0,kir,2001
0.0,kir,2002
0.0,kir,2007
0.9,kir,2010
0.0,prk,1998
0.0,prk,1999
0.0,prk,2000
0.0,prk,2001
0.0,prk,2002
0.0,prk,2003
0.0,prk,2004
0.0,prk,2005
0.0,prk,2006
0.0,prk,2007
0.0,prk,2008
0.0,prk,2009
0.03025,kor,1998
0.5963,kor,1999
8.233,kor,2000
16.48,kor,2001
21.84,kor,2002
23.35,kor,2003
24.81,kor,2004
25.32,kor,2005
29.07,kor,2006
30.36,kor,2007
31.84,kor,2008
33.54,kor,2009
35.18,kor,2010
0.2488,kwt,2001
0.5073,kwt,2002
0.6113,kwt,2003
0.9135,kwt,2004
1.104,kwt,2005
1.276,kwt,2006
1.43,kwt,2007
1.57,kwt,2008
1.7,kwt,2009
1.681,kwt,2010
0.0007214,kgz,2002
0.002756,kgz,2003
0.03736,kgz,2004
0.0444,kgz,2005
0.05293,kgz,2006
0.05913,kgz,2007
0.3559,kgz,2008
0.2844,kgz,2009
0.2827,kgz,2010
0.0,lao,2001
0.0,lao,2002
0.0004479,lao,2003
0.0008823,lao,2004
0.005458,lao,2005
0.01268,lao,2006
0.07803,lao,2007
0.1014,lao,2008
0.1374,lao,2009
0.1939,lao,2010
0.0,lva,1998
0.0,lva,1999
0.01197,lva,2000
0.1374,lva,2001
0.4276,lva,2002
0.84,lva,2003
2.125,lva,2004
2.642,lva,2005
4.794,lva,2006
14.09,lva,2007
17.46,lva,2008
19.38,lva,2009
19.42,lva,2010
0.0,lbn,2001
0.9047,lbn,2002
1.779,lbn,2003
2.001,lbn,2004
3.208,lbn,2005
4.637,lbn,2006
4.643,lbn,2007
4.68,lbn,2008
4.694,lbn,2009
4.731,lbn,2010
0.0,lso,2001
0.0,lso,2002
0.0,lso,2003
0.001075,lso,2004
0.002178,lso,2005
0.005223,lso,2007
0.006581,lso,2008
0.01861,lso,2009
0.01842,lso,2010
0.0,lbr,2001
0.0,lbr,2002
0.0,lbr,2003
0.003007,lbr,2008
0.00391,lbr,2009
0.004657,lbr,2010
0.0,lby,2002
0.0,lby,2003
0.0,lby,2004
0.1637,lby,2006
0.1627,lby,2007
0.7519,lby,2008
1.006,lby,2009
1.146,lby,2010
4.273,lie,2002
4.411,lie,2003
13.8,lie,2004
24.84,lie,2005
28.58,lie,2006
39.7,lie,2007
55.18,lie,2008
61.5,lie,2009
63.83,lie,2010
0.0,ltu,1998
0.0,ltu,1999
0.0,ltu,2000
0.06972,ltu,2001
0.5765,ltu,2002
1.934,ltu,2003
3.756,ltu,2004
6.856,ltu,2005
10.86,ltu,2006
15.04,ltu,2007
15.8,ltu,2008
16.9,ltu,2009
20.81,ltu,2010
0.0,lux,1998
0.0,lux,1999
0.0,lux,2000
0.2752,lux,2001
1.306,lux,2002
3.399,lux,2003
7.968,lux,2004
15.07,lux,2005
20.93,lux,2006
26.81,lux,2007
29.31,lux,2008
31.36,lux,2009
33.21,lux,2010
0.8639,mac,2000
2.223,mac,2001
3.772,mac,2002
6.045,mac,2003
9.618,mac,2004
14.13,mac,2005
18.7,mac,2006
21.85,mac,2007
23.45,mac,2008
23.75,mac,2009
24.15,mac,2010
0.0,mkd,2002
0.0,mkd,2003
0.0,mkd,2004
0.6102,mkd,2005
1.786,mkd,2006
4.908,mkd,2007
8.819,mkd,2008
10.63,mkd,2009
12.47,mkd,2010
0.0,mdg,2001
0.0,mdg,2002
0.0,mdg,2003
0.0,mdg,2004
0.0,mdg,2005
0.007386,mdg,2006
0.0124,mdg,2007
0.01784,mdg,2008
0.02265,mdg,2009
0.02587,mdg,2010
0.0,mwi,2001
0.0,mwi,2002
0.0005681,mwi,2003
0.001106,mwi,2004
0.003151,mwi,2005
0.01169,mwi,2007
0.01928,mwi,2008
0.027,mwi,2009
0.03436,mwi,2010
0.0,mys,1998
0.0,mys,1999
0.0,mys,2000
0.01669,mys,2001
0.07873,mys,2002
0.4405,mys,2003
0.9867,mys,2004
1.851,mys,2005
2.825,mys,2006
3.789,mys,2007
4.794,mys,2008
5.982,mys,2009
7.318,mys,2010
0.0,mdv,1998
0.0,mdv,1999
0.0,mdv,2000
0.0,mdv,2001
0.06731,mdv,2002
0.1755,mdv,2003
0.2464,mdv,2004
1.104,mdv,2005
2.095,mdv,2006
3.41,mdv,2007
4.993,mdv,2008
4.918,mdv,2009
4.794,mdv,2010
0.0,mli,2001
0.0,mli,2002
0.0,mli,2003
0.0,mli,2004
0.0,mli,2005
0.0227,mli,2006
0.02282,mli,2007
0.0184,mli,2008
0.02018,mli,2009
0.01506,mli,2010
0.4342,mlt,2000
2.33,mlt,2001
4.465,mlt,2002
5.704,mlt,2003
9.381,mlt,2004
12.73,mlt,2005
13.03,mlt,2006
20.3,mlt,2007
23.14,mlt,2008
25.56,mlt,2009
28.02,mlt,2010
0.0,mhl,2001
0.0,mhl,2002
0.0,mhl,2003
0.0,mhl,2004
0.0,mhl,2005
0.0,mhl,2006
0.0,mhl,2007
0.0,mhl,2008
0.0,mrt,2001
0.0,mrt,2002
0.0,mrt,2003
0.0,mrt,2004
0.005382,mrt,2005
0.03109,mrt,2006
0.1245,mrt,2007
0.1783,mrt,2008
0.1776,mrt,2009
0.1914,mrt,2010
0.0,mus,2001
0.02355,mus,2002
0.09683,mus,2003
0.2079,mus,2004
0.4342,mus,2005
2.227,mus,2006
1.775,mus,2007
3.686,mus,2008
5.399,mus,2009
6.185,mus,2010
0.0,myt,2001
0.0,myt,2002
0.0,mex,1998
0.0,mex,1999
0.01501,mex,2000
0.04934,mex,2001
0.2255,mex,2002
0.4123,mex,2003
1.005,mex,2004
1.805,mex,2005
2.801,mex,2006
4.091,mex,2007
6.713,mex,2008
