geo,time,sg_gdp_p_cap_const_ppp2011_dollar
qat,1802,1105.00
rou,1802,816.00
rus,1802,1433.00
rwa,1802,432.00
sau,1802,847.00
sdn,1802,518.00
sds,1802,507.00
sen,1802,497.00
sgp,1802,1022.00
slb,1802,363.00
sle,1802,734.00
slv,1802,975.00
som,1802,695.00
srb,1802,1358.00
stp,1802,853.00
sur,1802,1637.00
svk,1802,1427.00
svn,1802,1409.00
swe,1802,1467.00
swz,1802,490.00
syc,1802,798.00
syr,1802,1081.00
tcd,1802,418.00
tgo,1802,683.00
tha,1802,932.00
tjk,1802,557.00
tkm,1802,945.00
tls,1802,523.00
ton,1802,663.00
tto,1802,1231.00
tun,1802,716.00
tur,1802,1222.00
tza,1802,562.00
uga,1802,464.00
ukr,1802,765.00
ury,1802,1758.00
usa,1802,2203.00
uzb,1802,502.00
vct,1802,838.00
ven,1802,682.00
vnm,1802,861.00
vut,1802,586.00
wsm,1802,1401.00
yem,1802,882.00
zaf,1802,1480.00
zmb,1802,667.00
zwe,1802,871.00
afg,1803,603.00
ago,1803,626.00
alb,1803,668.00
are,1803,1009.00
arg,1803,1508.00
arm,1803,514.00
atg,1803,757.00
aus,1803,820.00
aut,1803,1870.00
aze,1803,775.00
bdi,1803,419.00
bel,1803,2413.00
ben,1803,597.00
bfa,1803,480.00
bgd,1803,876.00
bgr,1803,1089.00
bhr,1803,1251.00
bhs,1803,1446.00
bih,1803,669.00
blr,1803,609.00
blz,1803,579.00
bol,1803,854.00
bra,1803,1109.00
brb,1803,914.00
brn,1803,1513.00
btn,1803,630.00
bwa,1803,397.00
caf,1803,424.00
can,1803,1339.00
che,1803,2702.00
chl,1803,1027.00
chn,1803,985.00
civ,1803,822.00
cmr,1803,626.00
cod,1803,491.00
cog,1803,580.00
col,1803,963.00
com,1803,698.00
cpv,1803,529.00
cri,1803,775.00
cub,1803,895.00
cyp,1803,854.00
cze,1803,1916.00
deu,1803,1674.00
dji,1803,759.00
dnk,1803,2024.00
dom,1803,667.00
dza,1803,718.00
ecu,1803,529.00
egy,1803,791.00
eri,1803,532.00
esp,1803,1518.00
est,1803,941.00
eth,1803,523.00
fin,1803,1251.00
fji,1803,785.00
fra,1803,1813.00
fsm,1803,519.00
gab,1803,390.00
gbr,1803,3339.00
geo,1803,543.00
gha,1803,698.00
gin,1803,450.00
gmb,1803,814.00
gnb,1803,777.00
gnq,1803,357.00
grc,1803,1378.00
grd,1803,959.00
gtm,1803,857.00
guy,1803,1215.00
hnd,1803,675.00
hti,1803,634.00
hun,1803,1250.00
idn,1803,995.00
ind,1803,1052.00
irl,1803,1448.00
irn,1803,977.00
irq,1803,970.00
isl,1803,927.00
isr,1803,880.00
ita,1803,2333.00
jam,1803,1171.00
jor,1803,977.00
jpn,1803,1054.00
kaz,1803,1144.00
ken,1803,862.00
kgz,1803,508.00
khm,1803,904.00
kir,1803,552.00
kor,1803,574.00
kwt,1803,1110.00
lao,1803,865.00
lbn,1803,1084.00
lbr,1803,797.00
lby,1803,1050.00
lca,1803,875.00
lka,1803,898.00
lso,1803,394.00
ltu,1803,1274.00
lux,1803,1453.00
lva,1803,754.00
mar,1803,715.00
mda,1803,621.00
mdg,1803,573.00
mdv,1803,843.00
mex,1803,1380.00
mkd,1803,690.00
mli,1803,603.00
mlt,1803,782.00
mmr,1803,840.00
mne,1803,1058.00
mng,1803,592.00
moz,1803,391.00
mrt,1803,528.00
mus,1803,940.00
mwi,1803,350.00
mys,1803,998.00
nam,1803,540.00
ner,1803,446.00
nga,1803,856.00
nic,1803,974.00
nld,1803,4297.00
nor,1803,1284.00
npl,1803,654.00
nzl,1803,659.00
omn,1803,916.00
pak,1803,1021.00
pan,1803,847.00
per,1803,1204.00
phl,1803,963.00
png,1803,546.00
pol,1803,1227.00
prk,1803,577.00
prt,1803,1685.00
pry,1803,835.00
pse,1803,1221.00
qat,1803,1110.00
rou,1803,816.00
rus,1803,1435.00
rwa,1803,433.00
sau,1803,847.00
sdn,1803,518.00
sds,1803,507.00
sen,1803,497.00
sgp,1803,1022.00
slb,1803,363.00
sle,1803,734.00
slv,1803,975.00
som,1803,696.00
srb,1803,1358.00
stp,1803,855.00
sur,1803,1637.00
svk,1803,1427.00
svn,1803,1409.00
swe,1803,1453.00
swz,1803,490.00
syc,1803,801.00
syr,1803,1082.00
tcd,1803,418.00
tgo,1803,683.00
tha,1803,932.00
tjk,1803,557.00
tkm,1803,946.00
tls,1803,524.00
ton,1803,663.00
tto,1803,1231.00
tun,1803,716.00
tur,1803,1222.00
tza,1803,562.00
uga,1803,464.00
ukr,1803,766.00
ury,1803,1759.00
usa,1803,2167.00
uzb,1803,502.00
vct,1803,838.00
