basomrade,year,immigration_surplus_min_3_years_of_higher_education_aged_25_64_male
5513310_norra_bollmora,2001,-1
5513310_norra_bollmora,2002,1
5513310_norra_bollmora,2003,1
5513310_norra_bollmora,2004,2
5513310_norra_bollmora,2005,-4
5513310_norra_bollmora,2006,-4
5513310_norra_bollmora,2007,-1
5513310_norra_bollmora,2008,-2
5513310_norra_bollmora,2009,-5
5513310_norra_bollmora,2010,-1
5513310_norra_bollmora,2011,0
5513310_norra_bollmora,2012,0
5513310_norra_bollmora,2013,3
5513310_norra_bollmora,2014,0
5513330_vastra_fardala,2000,3
5513330_vastra_fardala,2001,0
5513330_vastra_fardala,2002,-3
5513330_vastra_fardala,2003,0
5513330_vastra_fardala,2004,0
5513330_vastra_fardala,2005,-1
5513330_vastra_fardala,2006,0
5513330_vastra_fardala,2007,0
5513330_vastra_fardala,2008,3
5513330_vastra_fardala,2009,1
5513330_vastra_fardala,2010,5
5513330_vastra_fardala,2011,0
5513330_vastra_fardala,2012,3
5513330_vastra_fardala,2013,0
5513330_vastra_fardala,2014,2
5513410_fardala,2000,3
5513410_fardala,2001,-1
5513410_fardala,2002,-3
5513410_fardala,2003,0
5513410_fardala,2004,2
5513410_fardala,2005,4
5513410_fardala,2006,0
5513410_fardala,2007,0
5513410_fardala,2008,3
5513410_fardala,2009,0
5513410_fardala,2010,0
5513410_fardala,2011,-1
5513410_fardala,2012,3
5513410_fardala,2013,7
5513410_fardala,2014,5
5514000_krusboda,2000,1
5514000_krusboda,2001,-6
5514000_krusboda,2002,2
5514000_krusboda,2003,-8
5514000_krusboda,2004,5
5514000_krusboda,2005,-1
5514000_krusboda,2006,4
5514000_krusboda,2007,-3
5514000_krusboda,2008,7
5514000_krusboda,2009,-1
5514000_krusboda,2010,3
5514000_krusboda,2011,5
5514000_krusboda,2012,-2
5514000_krusboda,2013,6
5514000_krusboda,2014,5
5515010_oringe,2000,2
5515010_oringe,2001,0
5515010_oringe,2002,1
5515010_oringe,2003,-1
5515010_oringe,2004,-2
5515010_oringe,2005,1
5515010_oringe,2006,-2
5515010_oringe,2007,2
5515010_oringe,2008,-1
5515010_oringe,2009,-4
5515010_oringe,2010,2
5515010_oringe,2011,4
5515010_oringe,2012,0
5515010_oringe,2013,1
5515010_oringe,2014,6
5515120_okand,2000,9
5515120_okand,2001,12
5515120_okand,2002,20
5515120_okand,2003,15
5515120_okand,2004,18
5515120_okand,2005,22
5515120_okand,2006,6
5515120_okand,2007,21
5515120_okand,2008,9
5515120_okand,2009,32
5515210_okand,2000,3
5515210_okand,2001,-1
5515210_okand,2002,4
5515210_okand,2003,1
5515210_okand,2004,3
5515210_okand,2005,-3
5515210_okand,2006,5
5515210_okand,2007,2
5515210_okand,2008,4
5515210_okand,2009,-1
5515220_okand,2000,7
5515220_okand,2001,2
5515220_okand,2002,6
5515220_okand,2003,6
5515220_okand,2004,-2
5515220_okand,2005,5
5515220_okand,2006,8
5515220_okand,2007,-3
5515220_okand,2008,8
5515220_okand,2009,8
4010130_gamla_bro_tatort,2000,2
4010130_gamla_bro_tatort,2001,1
4010130_gamla_bro_tatort,2002,3
4010130_gamla_bro_tatort,2003,-6
4010130_gamla_bro_tatort,2004,2
4010130_gamla_bro_tatort,2005,3
4010130_gamla_bro_tatort,2006,-1
4010130_gamla_bro_tatort,2007,0
4010130_gamla_bro_tatort,2008,-4
4010130_gamla_bro_tatort,2009,0
4010130_gamla_bro_tatort,2010,4
4010130_gamla_bro_tatort,2011,2
4010130_gamla_bro_tatort,2012,4
4010130_gamla_bro_tatort,2013,0
4010130_gamla_bro_tatort,2014,-6
4010140_bro_centrum,2000,-1
4010140_bro_centrum,2001,6
4010140_bro_centrum,2002,9
4010140_bro_centrum,2003,-4
4010140_bro_centrum,2004,-4
4010140_bro_centrum,2005,1
4010140_bro_centrum,2006,-2
4010140_bro_centrum,2007,15
4010140_bro_centrum,2008,-9
4010140_bro_centrum,2009,9
4010140_bro_centrum,2010,8
4010140_bro_centrum,2011,4
4010140_bro_centrum,2012,16
4010140_bro_centrum,2013,-9
4010140_bro_centrum,2014,1
4010500_okand,2000,1
4010500_okand,2001,-3
4010500_okand,2002,3
4010500_okand,2003,0
4010500_okand,2004,3
4010500_okand,2005,0
4010500_okand,2006,0
4010500_okand,2007,8
4010500_okand,2008,24
4010500_okand,2009,8
4020000_lassa_forsamling,2000,0
4020000_lassa_forsamling,2001,0
4020000_lassa_forsamling,2002,5
4020000_lassa_forsamling,2003,-1
4020000_lassa_forsamling,2004,2
4020000_lassa_forsamling,2005,3
4020000_lassa_forsamling,2006,4
4020000_lassa_forsamling,2007,4
4020000_lassa_forsamling,2008,-3
4020000_lassa_forsamling,2009,-3
4020000_lassa_forsamling,2010,4
4020000_lassa_forsamling,2011,3
4020000_lassa_forsamling,2012,0
4020000_lassa_forsamling,2013,0
4020000_lassa_forsamling,2014,5
4050100_habo_tibble_kyrkby,2000,-3
4050100_habo_tibble_kyrkby,2001,3
4050100_habo_tibble_kyrkby,2002,-3
4050100_habo_tibble_kyrkby,2003,3
4050100_habo_tibble_kyrkby,2004,3
4050100_habo_tibble_kyrkby,2005,-3
4050100_habo_tibble_kyrkby,2006,0
4050100_habo_tibble_kyrkby,2007,0
4050100_habo_tibble_kyrkby,2008,0
4050100_habo_tibble_kyrkby,2009,0
4050100_habo_tibble_kyrkby,2010,3
4050100_habo_tibble_kyrkby,2011,3
4050100_habo_tibble_kyrkby,2012,0
4050100_habo_tibble_kyrkby,2013,0
4050100_habo_tibble_kyrkby,2014,0
4050200_mariedal_nashagen,2000,0
4050200_mariedal_nashagen,2001,0
4050200_mariedal_nashagen,2002,0
4050200_mariedal_nashagen,2003,0
4050200_mariedal_nashagen,2004,3
4050200_mariedal_nashagen,2005,0
4050200_mariedal_nashagen,2006,3
4050200_mariedal_nashagen,2007,0
4050200_mariedal_nashagen,2008,0
4050200_mariedal_nashagen,2009,3
4050200_mariedal_nashagen,2010,2
4050200_mariedal_nashagen,2011,3
4050200_mariedal_nashagen,2012,0
4050200_mariedal_nashagen,2013,3
4050200_mariedal_nashagen,2014,0
4050500_habo_tibble_glesbygd,2000,3
4050500_habo_tibble_glesbygd,2001,0
4050500_habo_tibble_glesbygd,2002,3
4050500_habo_tibble_glesbygd,2003,-3
4050500_habo_tibble_glesbygd,2004,-3
4050500_habo_tibble_glesbygd,2005,0
4050500_habo_tibble_glesbygd,2006,-3
4050500_habo_tibble_glesbygd,2007,3
4050500_habo_tibble_glesbygd,2008,0
4050500_habo_tibble_glesbygd,2009,3
4050500_habo_tibble_glesbygd,2010,-1
4050500_habo_tibble_glesbygd,2011,0
4050500_habo_tibble_glesbygd,2012,0
4050500_habo_tibble_glesbygd,2013,0
4050500_habo_tibble_glesbygd,2014,0
4060000_hatuna_forsamling,2000,0
4060000_hatuna_forsamling,2001,0
4060000_hatuna_forsamling,2002,0
4060000_hatuna_forsamling,2003,0
4060000_hatuna_forsamling,2004,3
4060000_hatuna_forsamling,2005,3
4060000_hatuna_forsamling,2006,-3
4060000_hatuna_forsamling,2007,-4
4060000_hatuna_forsamling,2008,3
4060000_hatuna_forsamling,2009,3
4060000_hatuna_forsamling,2010,0
4060000_hatuna_forsamling,2011,4
4060000_hatuna_forsamling,2012,0
4060000_hatuna_forsamling,2013,-3
4060000_hatuna_forsamling,2014,4
4070110_sodra_kungsangen,2000,4
4070110_sodra_kungsangen,2001,4
4070110_sodra_kungsangen,2002,-1
4070110_sodra_kungsangen,2003,-6
4070110_sodra_kungsangen,2004,-5
4070110_sodra_kungsangen,2005,0
4070110_sodra_kungsangen,2006,9
4070110_sodra_kungsangen,2007,10
4070110_sodra_kungsangen,2008,-7
4070110_sodra_kungsangen,2009,8
4070110_sodra_kungsangen,2010,10
4070110_sodra_kungsangen,2011,-7
4070110_sodra_kungsangen,2012,3
4070110_sodra_kungsangen,2013,5
4070110_sodra_kungsangen,2014,-7
4070120_norra_kungsangen,2000,-4
4070120_norra_kungsangen,2001,6
4070120_norra_kungsangen,2002,-7
4070120_norra_kungsangen,2003,-1
4070120_norra_kungsangen,2004,-3
4070120_norra_kungsangen,2005,-7
4070120_norra_kungsangen,2006,10
4070120_norra_kungsangen,2007,15
4070120_norra_kungsangen,2008,-2
4070120_norra_kungsangen,2009,-2
4070120_norra_kungsangen,2010,-4
4070120_norra_kungsangen,2011,2
4070120_norra_kungsangen,2012,-13
4070120_norra_kungsangen,2013,-4
4070120_norra_kungsangen,2014,0
4070130_tibblehojden,2000,1
4070130_tibblehojden,2001,-1
4070130_tibblehojden,2002,-2
4070130_tibblehojden,2003,-1
4070130_tibblehojden,2004,4
4070130_tibblehojden,2005,-4
4070130_tibblehojden,2006,1
4070130_tibblehojden,2007,-1
4070130_tibblehojden,2008,3
4070130_tibblehojden,2009,0
4070130_tibblehojden,2010,-1
4070130_tibblehojden,2011,1
4070130_tibblehojden,2012,4
4070130_tibblehojden,2013,-1
4070130_tibblehojden,2014,3
4070150_tibbleangen,2000,3
4070150_tibbleangen,2001,6
4070150_tibbleangen,2002,2
4070150_tibbleangen,2003,-2
4070150_tibbleangen,2004,-10
4070150_tibbleangen,2005,5
4070150_tibbleangen,2006,-6
4070150_tibbleangen,2007,-3
4070150_tibbleangen,2008,0
4070150_tibbleangen,2009,0
4070150_tibbleangen,2010,1
4070150_tibbleangen,2011,-5
4070150_tibbleangen,2012,-3
4070150_tibbleangen,2013,3
4070150_tibbleangen,2014,5
4070160_sylta,2000,4
4070160_sylta,2001,4
4070160_sylta,2002,0
4070160_sylta,2003,0
4070160_sylta,2004,2
4070160_sylta,2005,0
4070160_sylta,2006,4
4070160_sylta,2007,-3
4070160_sylta,2008,2
4070160_sylta,2009,-4
4070160_sylta,2010,4
4070160_sylta,2011,0
4070160_sylta,2012,4
4070160_sylta,2013,6
4070160_sylta,2014,1
4070170_okand,2000,0
4070170_okand,2001,5
4070170_okand,2002,0
4070170_okand,2003,0
4070170_okand,2004,0
4070170_okand,2005,-4
4070170_okand,2006,3
4070170_okand,2007,0
4070170_okand,2008,-2
4070170_okand,2009,-3
4070210_brunna_tatort,2000,1
4070210_brunna_tatort,2001,-4
4070210_brunna_tatort,2002,-2
4070210_brunna_tatort,2003,-1
4070210_brunna_tatort,2004,-3
4070210_brunna_tatort,2005,-9
4070210_brunna_tatort,2006,-4
4070210_brunna_tatort,2007,-2
4070210_brunna_tatort,2008,0
4070210_brunna_tatort,2009,-5
4070210_brunna_tatort,2010,-6
4070210_brunna_tatort,2011,-2
4070210_brunna_tatort,2012,3
4070210_brunna_tatort,2013,1
4070210_brunna_tatort,2014,3
6410100_nykvarn,2000,3
6410100_nykvarn,2001,0
6410100_nykvarn,2002,9
6410100_nykvarn,2003,2
6410100_nykvarn,2004,8
6410100_nykvarn,2005,8
6410100_nykvarn,2006,5
6410100_nykvarn,2007,8
6410100_nykvarn,2008,9
6410100_nykvarn,2009,8
6410100_nykvarn,2010,5
6410100_nykvarn,2011,-2
6410100_nykvarn,2012,5
6410100_nykvarn,2013,3
6410100_nykvarn,2014,4
6410500_turinge_glesbygd,2000,2
6410500_turinge_glesbygd,2001,2
6410500_turinge_glesbygd,2002,-3
6410500_turinge_glesbygd,2003,6
6410500_turinge_glesbygd,2004,9
6410500_turinge_glesbygd,2005,0
6410500_turinge_glesbygd,2006,5
6410500_turinge_glesbygd,2007,5
6410500_turinge_glesbygd,2008,5
6410500_turinge_glesbygd,2009,8
6410500_turinge_glesbygd,2010,0
6410500_turinge_glesbygd,2011,-1
6410500_turinge_glesbygd,2012,7
6410500_turinge_glesbygd,2013,1
6410500_turinge_glesbygd,2014,6
6420000_taxinge_forsamling,2000,4
6420000_taxinge_forsamling,2001,4
6420000_taxinge_forsamling,2002,0
6420000_taxinge_forsamling,2003,0
6420000_taxinge_forsamling,2004,2
6420000_taxinge_forsamling,2005,-3
6420000_taxinge_forsamling,2006,3
6420000_taxinge_forsamling,2007,0
6420000_taxinge_forsamling,2008,3
6420000_taxinge_forsamling,2009,0
6420000_taxinge_forsamling,2010,1
6420000_taxinge_forsamling,2011,-4
6420000_taxinge_forsamling,2012,1
6420000_taxinge_forsamling,2013,0
6420000_taxinge_forsamling,2014,0
3910110_vastra_nasbypark,2000,8
3910110_vastra_nasbypark,2001,-3
3910110_vastra_nasbypark,2002,5
3910110_vastra_nasbypark,2003,-4
3910110_vastra_nasbypark,2004,6
3910110_vastra_nasbypark,2005,0
3910110_vastra_nasbypark,2006,-1
3910110_vastra_nasbypark,2007,7
3910110_vastra_nasbypark,2008,1
3910110_vastra_nasbypark,2009,2
3910110_vastra_nasbypark,2010,-1
3910110_vastra_nasbypark,2011,19
3910110_vastra_nasbypark,2012,-2
3910110_vastra_nasbypark,2013,8
3910110_vastra_nasbypark,2014,8
3910120_ornstigen,2000,-2
3910120_ornstigen,2001,-4
3910120_ornstigen,2002,-1
3910120_ornstigen,2003,5
3910120_ornstigen,2004,-1
3910120_ornstigen,2005,-1
3910120_ornstigen,2006,-2
3910120_ornstigen,2007,-9
3910120_ornstigen,2008,-3
3910120_ornstigen,2009,0
3910120_ornstigen,2010,1
3910120_ornstigen,2011,-1
3910120_ornstigen,2012,7
3910120_ornstigen,2013,-6
3910120_ornstigen,2014,4
3910130_nasbyparks_centrum,2000,-2
3910130_nasbyparks_centrum,2001,6
3910130_nasbyparks_centrum,2002,4
3910130_nasbyparks_centrum,2003,0
3910130_nasbyparks_centrum,2004,-2
3910130_nasbyparks_centrum,2005,-10
3910130_nasbyparks_centrum,2006,1
3910130_nasbyparks_centrum,2007,-7
3910130_nasbyparks_centrum,2008,-1
3910130_nasbyparks_centrum,2009,-4
3910130_nasbyparks_centrum,2010,-6
3910130_nasbyparks_centrum,2011,14
3910130_nasbyparks_centrum,2012,-9
3910130_nasbyparks_centrum,2013,9
3910130_nasbyparks_centrum,2014,3
3910140_nasby_slott,2000,-2
3910140_nasby_slott,2001,7
3910140_nasby_slott,2002,3
3910140_nasby_slott,2003,-1
3910140_nasby_slott,2004,6
3910140_nasby_slott,2005,0
3910140_nasby_slott,2006,4
3910140_nasby_slott,2007,7
3910140_nasby_slott,2008,4
3910140_nasby_slott,2009,0
3910140_nasby_slott,2010,5
3910140_nasby_slott,2011,4
3910140_nasby_slott,2012,-2
3910140_nasby_slott,2013,4
3910140_nasby_slott,2014,-4
3910170_ostra_nasbypark,2000,-9
3910170_ostra_nasbypark,2001,-5
3910170_ostra_nasbypark,2002,1
3910170_ostra_nasbypark,2003,13
3910170_ostra_nasbypark,2004,-3
3910170_ostra_nasbypark,2005,8
3910170_ostra_nasbypark,2006,6
3910170_ostra_nasbypark,2007,18
3910170_ostra_nasbypark,2008,15
3910170_ostra_nasbypark,2009,-2
3910170_ostra_nasbypark,2010,11
3910170_ostra_nasbypark,2011,5
3910170_ostra_nasbypark,2012,0
3910170_ostra_nasbypark,2013,8
3910170_ostra_nasbypark,2014,-1
3910190_lahall,2000,5
3910190_lahall,2001,2
3910190_lahall,2002,0
3910190_lahall,2003,1
3910190_lahall,2004,5
3910190_lahall,2005,7
3910190_lahall,2006,4
3910190_lahall,2007,2
3910190_lahall,2008,-2
3910190_lahall,2009,3
3910190_lahall,2010,10
3910190_lahall,2011,6
3910190_lahall,2012,1
3910190_lahall,2013,-7
3910190_lahall,2014,8
3910210_nasbydal,2000,2
3910210_nasbydal,2001,0
3910210_nasbydal,2002,2
3910210_nasbydal,2003,-4
3910210_nasbydal,2004,-1
3910210_nasbydal,2005,4
3910210_nasbydal,2006,3
3910210_nasbydal,2007,9
3910210_nasbydal,2008,-18
3910210_nasbydal,2009,-5
3910210_nasbydal,2010,-4
3910210_nasbydal,2011,-14
3910210_nasbydal,2012,2
3910210_nasbydal,2013,7
3910210_nasbydal,2014,4
3910220_grindtorp,2000,-14
3910220_grindtorp,2001,10
3910220_grindtorp,2002,-4
3910220_grindtorp,2003,14
3910220_grindtorp,2004,-2
3910220_grindtorp,2005,-11
3910220_grindtorp,2006,-12
3910220_grindtorp,2007,-10
3910220_grindtorp,2008,-2
3910220_grindtorp,2009,-6
3910220_grindtorp,2010,4
3910220_grindtorp,2011,-10
3910220_grindtorp,2012,9
3910220_grindtorp,2013,1
3910220_grindtorp,2014,7
3910240_taby_centrum,2000,9
3910240_taby_centrum,2001,-10
3910240_taby_centrum,2002,-6
3910240_taby_centrum,2003,-9
3910240_taby_centrum,2004,-2
3910240_taby_centrum,2005,-1
3910240_taby_centrum,2006,-9
3910240_taby_centrum,2007,2
3910240_taby_centrum,2008,3
3910240_taby_centrum,2009,-1
3910240_taby_centrum,2010,-5
3910240_taby_centrum,2011,-2
3910240_taby_centrum,2012,2
3910240_taby_centrum,2013,6
3910240_taby_centrum,2014,13
3910270_marknadsvagen,2000,-4
3910270_marknadsvagen,2001,2
3910270_marknadsvagen,2002,-20
3910270_marknadsvagen,2003,3
3910270_marknadsvagen,2004,-2
3910270_marknadsvagen,2005,-4
3910270_marknadsvagen,2006,-1
3910270_marknadsvagen,2007,0
3910270_marknadsvagen,2008,-3
3910270_marknadsvagen,2009,7
3910270_marknadsvagen,2010,-3
3910270_marknadsvagen,2011,-1
3910270_marknadsvagen,2012,1
3910270_marknadsvagen,2013,5
3910270_marknadsvagen,2014,8
3910280_akerbyvagen,2000,-8
3910280_akerbyvagen,2001,7
3910280_akerbyvagen,2002,3
3910280_akerbyvagen,2003,1
3910280_akerbyvagen,2004,-4
3910280_akerbyvagen,2005,-1
3910280_akerbyvagen,2006,3
3910280_akerbyvagen,2007,-3
3910280_akerbyvagen,2008,6
3910280_akerbyvagen,2009,6
3910280_akerbyvagen,2010,-3
3910280_akerbyvagen,2011,-2
3910280_akerbyvagen,2012,4
3910280_akerbyvagen,2013,0
3910280_akerbyvagen,2014,-6
3910310_sodra_viggbyholm,2000,0
3910310_sodra_viggbyholm,2001,-4
3910310_sodra_viggbyholm,2002,3
3910310_sodra_viggbyholm,2003,7
3910310_sodra_viggbyholm,2004,7
3910310_sodra_viggbyholm,2005,4
3910310_sodra_viggbyholm,2006,1
3910310_sodra_viggbyholm,2007,10
3910310_sodra_viggbyholm,2008,2
3910310_sodra_viggbyholm,2009,6
3910310_sodra_viggbyholm,2010,9
3910310_sodra_viggbyholm,2011,8
3910310_sodra_viggbyholm,2012,11
3910310_sodra_viggbyholm,2013,-3
3910310_sodra_viggbyholm,2014,6
3910320_viggbygardet,2000,-1
3910320_viggbygardet,2001,-9
3910320_viggbygardet,2002,-1
3910320_viggbygardet,2003,-4
3910320_viggbygardet,2004,1
3910320_viggbygardet,2005,-2
3910320_viggbygardet,2006,-4
3910320_viggbygardet,2007,-3
3910320_viggbygardet,2008,-4
3910320_viggbygardet,2009,3
3910320_viggbygardet,2010,-3
3910320_viggbygardet,2011,12
3910320_viggbygardet,2012,4
3910320_viggbygardet,2013,-2
3910320_viggbygardet,2014,3
3910330_mellersta_viggbyholm,2000,3
3910330_mellersta_viggbyholm,2001,-7
3910330_mellersta_viggbyholm,2002,1
3910330_mellersta_viggbyholm,2003,-9
3910330_mellersta_viggbyholm,2004,0
3910330_mellersta_viggbyholm,2005,-1
3910330_mellersta_viggbyholm,2006,-6
3910330_mellersta_viggbyholm,2007,4
3910330_mellersta_viggbyholm,2008,-7
3910330_mellersta_viggbyholm,2009,-3
3910330_mellersta_viggbyholm,2010,4
3910330_mellersta_viggbyholm,2011,8
3910330_mellersta_viggbyholm,2012,1
3910330_mellersta_viggbyholm,2013,-4
3910330_mellersta_viggbyholm,2014,5
3910350_norra_viggbyholm,2000,0
3910350_norra_viggbyholm,2001,0
3910350_norra_viggbyholm,2002,3
3910350_norra_viggbyholm,2003,3
3910350_norra_viggbyholm,2004,-1
3910350_norra_viggbyholm,2005,1
3910350_norra_viggbyholm,2006,2
3910350_norra_viggbyholm,2007,-3
3910350_norra_viggbyholm,2008,1
3910350_norra_viggbyholm,2009,0
3910350_norra_viggbyholm,2010,2
3910350_norra_viggbyholm,2011,2
3910350_norra_viggbyholm,2012,-2
3910350_norra_viggbyholm,2013,1
3910350_norra_viggbyholm,2014,2
3910370_norra_hagernas,2000,-14
3910370_norra_hagernas,2001,-5
3910370_norra_hagernas,2002,3
3910370_norra_hagernas,2003,-12
3910370_norra_hagernas,2004,-1
3910370_norra_hagernas,2005,-3
3910370_norra_hagernas,2006,2
3910370_norra_hagernas,2007,1
3910370_norra_hagernas,2008,7
3910370_norra_hagernas,2009,-11
3910370_norra_hagernas,2010,-4
3910370_norra_hagernas,2011,-4
3910370_norra_hagernas,2012,4
3910370_norra_hagernas,2013,-9
3910370_norra_hagernas,2014,-7
3910380_sodra_hagernas,2000,0
3910380_sodra_hagernas,2001,-1
3910380_sodra_hagernas,2002,2
3910380_sodra_hagernas,2003,0
3910380_sodra_hagernas,2004,9
3910380_sodra_hagernas,2005,11
3910380_sodra_hagernas,2006,10
3910380_sodra_hagernas,2007,16
3910380_sodra_hagernas,2008,18
3910380_sodra_hagernas,2009,25
3910380_sodra_hagernas,2010,21
3910380_sodra_hagernas,2011,-2
3910380_sodra_hagernas,2012,15
3910380_sodra_hagernas,2013,21
3910380_sodra_hagernas,2014,2
3910480_norra_landsbygden,2000,0
3910480_norra_landsbygden,2001,0
3910480_norra_landsbygden,2002,-3
3910480_norra_landsbygden,2003,0
3910480_norra_landsbygden,2004,-3
3910480_norra_landsbygden,2005,0
3910480_norra_landsbygden,2006,0
3910480_norra_landsbygden,2007,0
3910480_norra_landsbygden,2008,20
3910480_norra_landsbygden,2009,6
3910480_norra_landsbygden,2010,14
3910480_norra_landsbygden,2011,0
3910480_norra_landsbygden,2012,-4
3910480_norra_landsbygden,2013,2
3910480_norra_landsbygden,2014,3
3910730_ella,2000,4
3910730_ella,2001,1
3910730_ella,2002,-3
3910730_ella,2003,-3
3910730_ella,2004,-2
3910730_ella,2005,9
3910730_ella,2006,-1
3910730_ella,2007,3
3910730_ella,2008,0
3910730_ella,2009,6
3910730_ella,2010,6
3910730_ella,2011,10
3910730_ella,2012,5
3910730_ella,2013,-4
3910730_ella,2014,3
3910770_vastra_ensta,2000,7
3910770_vastra_ensta,2001,3
3910770_vastra_ensta,2002,-2
3910770_vastra_ensta,2003,10
3910770_vastra_ensta,2004,1
3910770_vastra_ensta,2005,3
3910770_vastra_ensta,2006,-3
3910770_vastra_ensta,2007,2
3910770_vastra_ensta,2008,5
3910770_vastra_ensta,2009,4
3910770_vastra_ensta,2010,5
3910770_vastra_ensta,2011,-4
3910770_vastra_ensta,2012,-1
3910770_vastra_ensta,2013,1
3910770_vastra_ensta,2014,7
3910780_ostra_ensta,2000,0
3910780_ostra_ensta,2001,5
3910780_ostra_ensta,2002,0
3910780_ostra_ensta,2003,5
3910780_ostra_ensta,2004,-4
3910780_ostra_ensta,2005,1
3910780_ostra_ensta,2006,4
3910780_ostra_ensta,2007,7
3910780_ostra_ensta,2008,1
3910780_ostra_ensta,2009,2
3910780_ostra_ensta,2010,-1
3910780_ostra_ensta,2011,1
3910780_ostra_ensta,2012,1
3910780_ostra_ensta,2013,0
3910780_ostra_ensta,2014,0
3910790_kullagrand,2000,0
3910790_kullagrand,2001,-1
3910790_kullagrand,2002,0
3910790_kullagrand,2003,-3
3910790_kullagrand,2004,-1
3910790_kullagrand,2005,3
3910790_kullagrand,2006,-3
3910790_kullagrand,2007,-1
3910790_kullagrand,2008,4
3910790_kullagrand,2009,-3
3910790_kullagrand,2010,2
3910790_kullagrand,2011,4
3910790_kullagrand,2012,1
3910790_kullagrand,2013,-1
3910790_kullagrand,2014,1
3910810_norra_ellagard,2000,1
3910810_norra_ellagard,2001,6
3910810_norra_ellagard,2002,1
3910810_norra_ellagard,2003,3
3910810_norra_ellagard,2004,6
3910810_norra_ellagard,2005,-2
3910810_norra_ellagard,2006,-5
3910810_norra_ellagard,2007,3
3910810_norra_ellagard,2008,4
3910810_norra_ellagard,2009,0
3910810_norra_ellagard,2010,0
3910810_norra_ellagard,2011,3
3910810_norra_ellagard,2012,1
3910810_norra_ellagard,2013,1
3910810_norra_ellagard,2014,3
3910820_sodra_ellagard,2000,-6
3910820_sodra_ellagard,2001,1
3910820_sodra_ellagard,2002,-1
3910820_sodra_ellagard,2003,5
3910820_sodra_ellagard,2004,-3
3910820_sodra_ellagard,2005,-1
3910820_sodra_ellagard,2006,-3
3910820_sodra_ellagard,2007,2
3910820_sodra_ellagard,2008,3
3910820_sodra_ellagard,2009,5
3910820_sodra_ellagard,2010,0
3910820_sodra_ellagard,2011,1
3910820_sodra_ellagard,2012,-3
3910820_sodra_ellagard,2013,4
3910820_sodra_ellagard,2014,6
3910830_ava,2000,-2
3910830_ava,2001,3
3910830_ava,2002,5
3910830_ava,2003,-3
3910830_ava,2004,0
3910830_ava,2005,-2
3910830_ava,2006,-3
3910830_ava,2007,0
3910830_ava,2008,5
3910830_ava,2009,0
3910830_ava,2010,-4
3910830_ava,2011,5
3910830_ava,2012,0
3910830_ava,2013,4
3910830_ava,2014,1
3910840_vastra_ellagard,2000,3
3910840_vastra_ellagard,2001,10
3910840_vastra_ellagard,2002,1
3910840_vastra_ellagard,2003,-1
3910840_vastra_ellagard,2004,-4
3910840_vastra_ellagard,2005,-1
3910840_vastra_ellagard,2006,1
3910840_vastra_ellagard,2007,-3
3910840_vastra_ellagard,2008,-5
3910840_vastra_ellagard,2009,1
3910840_vastra_ellagard,2010,0
3910840_vastra_ellagard,2011,1
3910840_vastra_ellagard,2012,0
3910840_vastra_ellagard,2013,-8
3910840_vastra_ellagard,2014,0
3910910_skarpang,2000,10
3910910_skarpang,2001,3
3910910_skarpang,2002,4
3910910_skarpang,2003,-3
3910910_skarpang,2004,10
3910910_skarpang,2005,10
3910910_skarpang,2006,11
3910910_skarpang,2007,9
3910910_skarpang,2008,12
3910910_skarpang,2009,3
3910910_skarpang,2010,8
3910910_skarpang,2011,2
3910910_skarpang,2012,3
3910910_skarpang,2013,6
3910910_skarpang,2014,10
3910920_gripsvall,2000,4
3910920_gripsvall,2001,-2
3910920_gripsvall,2002,1
3910920_gripsvall,2003,5
3910920_gripsvall,2004,0
3910920_gripsvall,2005,-1
3910920_gripsvall,2006,-2
3910920_gripsvall,2007,-1
3910920_gripsvall,2008,-4
3910920_gripsvall,2009,7
3910920_gripsvall,2010,-2
3910920_gripsvall,2011,0
3910920_gripsvall,2012,10
3910920_gripsvall,2013,3
3910920_gripsvall,2014,6
3911010_ostra_roslags_nasby,2000,0
3911010_ostra_roslags_nasby,2001,22
3911010_ostra_roslags_nasby,2002,-5
3911010_ostra_roslags_nasby,2003,-4
3911010_ostra_roslags_nasby,2004,0
3911010_ostra_roslags_nasby,2005,-6
3911010_ostra_roslags_nasby,2006,4
3911010_ostra_roslags_nasby,2007,3
3911010_ostra_roslags_nasby,2008,3
3911010_ostra_roslags_nasby,2009,8
3911010_ostra_roslags_nasby,2010,-1
3911010_ostra_roslags_nasby,2011,-4
3911010_ostra_roslags_nasby,2012,2
3911010_ostra_roslags_nasby,2013,5
3911010_ostra_roslags_nasby,2014,16
3911020_vastra_roslags_nasby,2000,0
3911020_vastra_roslags_nasby,2001,-3
3911020_vastra_roslags_nasby,2002,0
3911020_vastra_roslags_nasby,2003,0
3911020_vastra_roslags_nasby,2004,0
3911020_vastra_roslags_nasby,2005,3
3911020_vastra_roslags_nasby,2006,0
3911020_vastra_roslags_nasby,2007,4
3911020_vastra_roslags_nasby,2008,0
3911020_vastra_roslags_nasby,2009,-3
3911020_vastra_roslags_nasby,2010,0
3911020_vastra_roslags_nasby,2011,3
3911020_vastra_roslags_nasby,2012,-3
3911020_vastra_roslags_nasby,2013,0
3911020_vastra_roslags_nasby,2014,0
3911510_lansen,2000,6
3911510_lansen,2001,1
3911510_lansen,2002,7
3911510_lansen,2003,5
3911510_lansen,2004,2
