basomrade,year,immigration_surplus
4210410_vastra_ballsta,2005,-2
4210410_vastra_ballsta,2006,39
4210410_vastra_ballsta,2007,-39
4210410_vastra_ballsta,2008,-15
4210410_vastra_ballsta,2009,22
4210410_vastra_ballsta,2010,140
4210410_vastra_ballsta,2011,99
4210410_vastra_ballsta,2012,20
4210410_vastra_ballsta,2013,24
4210410_vastra_ballsta,2014,52
4210420_kragstalund,2000,-27
4210420_kragstalund,2001,-19
4210420_kragstalund,2002,2
4210420_kragstalund,2003,93
4210420_kragstalund,2004,127
4210420_kragstalund,2005,267
4210420_kragstalund,2006,120
4210420_kragstalund,2007,68
4210420_kragstalund,2008,-45
4210420_kragstalund,2009,-22
4210420_kragstalund,2010,-44
4210420_kragstalund,2011,-28
4210420_kragstalund,2012,-14
4210420_kragstalund,2013,-37
4210420_kragstalund,2014,-65
4210430_ballstaberg,2000,81
4210430_ballstaberg,2001,84
4210430_ballstaberg,2002,68
4210430_ballstaberg,2003,76
4210430_ballstaberg,2004,159
4210430_ballstaberg,2005,133
4210430_ballstaberg,2006,105
4210430_ballstaberg,2007,69
4210430_ballstaberg,2008,100
4210430_ballstaberg,2009,138
4210430_ballstaberg,2010,8
4210430_ballstaberg,2011,83
4210430_ballstaberg,2012,4
4210430_ballstaberg,2013,-10
4210430_ballstaberg,2014,15
4210440_okand,2000,-22
4210440_okand,2001,4
4210440_okand,2002,-54
4210440_okand,2003,-14
4210440_okand,2004,7
4210440_okand,2005,-10
4210440_okand,2006,-33
4210440_okand,2007,-18
4210440_okand,2008,4
4210440_okand,2009,-28
4210510_vallentuna_glesbygd_v,2000,14
4210510_vallentuna_glesbygd_v,2001,-1
4210510_vallentuna_glesbygd_v,2002,-7
4210510_vallentuna_glesbygd_v,2003,5
4210510_vallentuna_glesbygd_v,2004,16
4210510_vallentuna_glesbygd_v,2005,-15
4210510_vallentuna_glesbygd_v,2006,6
4210510_vallentuna_glesbygd_v,2007,-1
4210510_vallentuna_glesbygd_v,2008,-1
4210510_vallentuna_glesbygd_v,2009,9
4210510_vallentuna_glesbygd_v,2010,-33
4210510_vallentuna_glesbygd_v,2011,17
4210510_vallentuna_glesbygd_v,2012,22
4210510_vallentuna_glesbygd_v,2013,-4
4210510_vallentuna_glesbygd_v,2014,15
4210530_vallentuna_glesbygd_no,2000,1
4210530_vallentuna_glesbygd_no,2001,9
4210530_vallentuna_glesbygd_no,2002,7
4210530_vallentuna_glesbygd_no,2003,11
4210530_vallentuna_glesbygd_no,2004,-1
4210530_vallentuna_glesbygd_no,2005,-4
4210530_vallentuna_glesbygd_no,2006,0
4210530_vallentuna_glesbygd_no,2007,36
4210530_vallentuna_glesbygd_no,2008,-3
4210530_vallentuna_glesbygd_no,2009,29
4210530_vallentuna_glesbygd_no,2010,42
4210530_vallentuna_glesbygd_no,2011,34
4210530_vallentuna_glesbygd_no,2012,3
4210530_vallentuna_glesbygd_no,2013,49
4210530_vallentuna_glesbygd_no,2014,13
4210540_okand,2000,18
4210540_okand,2001,3
4210540_okand,2002,-4
4210540_okand,2003,11
4210540_okand,2004,7
4210540_okand,2005,-16
4210540_okand,2006,-8
4210540_okand,2007,-16
4210540_okand,2008,24
4210540_okand,2009,1
4220000_markims_forsamling,2000,5
4220000_markims_forsamling,2001,-6
4220000_markims_forsamling,2002,4
4220000_markims_forsamling,2003,-14
4220000_markims_forsamling,2004,1
4220000_markims_forsamling,2005,3
4220000_markims_forsamling,2006,-14
4220000_markims_forsamling,2007,-14
4220000_markims_forsamling,2008,-2
4220000_markims_forsamling,2009,-1
4220000_markims_forsamling,2010,0
4220000_markims_forsamling,2011,-8
4220000_markims_forsamling,2012,8
4220000_markims_forsamling,2013,-3
4220000_markims_forsamling,2014,-4
4230100_lindholmen,2000,-6
4230100_lindholmen,2001,-8
4230100_lindholmen,2002,4
4230100_lindholmen,2003,4
4230100_lindholmen,2004,3
4230100_lindholmen,2005,16
4230100_lindholmen,2006,4
4230100_lindholmen,2007,-2
4230100_lindholmen,2008,6
4230100_lindholmen,2009,3
4230100_lindholmen,2010,2
4230100_lindholmen,2011,3
4230100_lindholmen,2012,10
4230100_lindholmen,2013,-9
4230100_lindholmen,2014,0
4230500_okand,2000,0
4230500_okand,2001,12
4230500_okand,2002,-10
4230500_okand,2003,10
4230500_okand,2004,-11
4230500_okand,2005,-4
4230500_okand,2006,-7
4230500_okand,2007,0
4230500_okand,2008,12
4230500_okand,2009,-3
4240000_frosunda_forsamling,2000,11
4240000_frosunda_forsamling,2001,-12
4240000_frosunda_forsamling,2002,7
4240000_frosunda_forsamling,2003,24
4240000_frosunda_forsamling,2004,2
4240000_frosunda_forsamling,2005,6
4240000_frosunda_forsamling,2006,-10
4240000_frosunda_forsamling,2007,24
4240000_frosunda_forsamling,2008,11
4240000_frosunda_forsamling,2009,0
