basomrade,year,cumulative_immigration_surplus_min_3_years_of_higher_education_aged_25_64_female
1210120_larkstaden,2005,34
1210120_larkstaden,2006,34
1210120_larkstaden,2007,28
1210120_larkstaden,2008,29
1210120_larkstaden,2009,33
1210120_larkstaden,2010,45
1210120_larkstaden,2011,44
1210120_larkstaden,2012,35
1210120_larkstaden,2013,18
1210120_larkstaden,2014,10
1210131_danderydsplan_v,2000,-3
1210131_danderydsplan_v,2001,1
1210131_danderydsplan_v,2002,11
1210131_danderydsplan_v,2003,17
1210131_danderydsplan_v,2004,18
1210131_danderydsplan_v,2005,15
1210131_danderydsplan_v,2006,25
1210131_danderydsplan_v,2007,20
1210131_danderydsplan_v,2008,29
1210131_danderydsplan_v,2009,21
1210131_danderydsplan_v,2010,20
1210131_danderydsplan_v,2011,13
1210131_danderydsplan_v,2012,16
1210131_danderydsplan_v,2013,25
1210131_danderydsplan_v,2014,42
1210132_danderydsplan_o,2000,13
1210132_danderydsplan_o,2001,16
1210132_danderydsplan_o,2002,5
1210132_danderydsplan_o,2003,14
1210132_danderydsplan_o,2004,34
1210132_danderydsplan_o,2005,32
1210132_danderydsplan_o,2006,32
1210132_danderydsplan_o,2007,33
1210132_danderydsplan_o,2008,42
1210132_danderydsplan_o,2009,42
1210132_danderydsplan_o,2010,41
1210132_danderydsplan_o,2011,51
1210132_danderydsplan_o,2012,59
1210132_danderydsplan_o,2013,56
1210132_danderydsplan_o,2014,59
1210140_eriksberg,2000,5
1210140_eriksberg,2001,0
1210140_eriksberg,2002,-6
1210140_eriksberg,2003,-9
1210140_eriksberg,2004,-1
1210140_eriksberg,2005,1
1210140_eriksberg,2006,3
1210140_eriksberg,2007,-2
1210140_eriksberg,2008,8
1210140_eriksberg,2009,29
1210140_eriksberg,2010,26
1210140_eriksberg,2011,29
1210140_eriksberg,2012,29
1210140_eriksberg,2013,19
1210140_eriksberg,2014,27
1210151_stureplan_o,2000,-3
1210151_stureplan_o,2001,0
1210151_stureplan_o,2002,-3
1210151_stureplan_o,2003,-3
1210151_stureplan_o,2004,-4
1210151_stureplan_o,2005,-1
1210151_stureplan_o,2006,-4
1210151_stureplan_o,2007,-4
1210151_stureplan_o,2008,-5
1210151_stureplan_o,2009,-5
1210151_stureplan_o,2010,-11
1210151_stureplan_o,2011,-11
1210151_stureplan_o,2012,-10
1210151_stureplan_o,2013,-10
1210151_stureplan_o,2014,-9
1210161_humlegarden_o,2000,5
1210161_humlegarden_o,2001,5
1210161_humlegarden_o,2002,4
1210161_humlegarden_o,2003,-7
1210161_humlegarden_o,2004,-4
1210161_humlegarden_o,2005,-1
1210161_humlegarden_o,2006,-3
1210161_humlegarden_o,2007,-6
1210161_humlegarden_o,2008,-8
1210161_humlegarden_o,2009,-8
1210161_humlegarden_o,2010,-3
1210161_humlegarden_o,2011,-10
1210161_humlegarden_o,2012,-9
1210161_humlegarden_o,2013,-2
1210161_humlegarden_o,2014,-3
1210171_stureparken_o,2000,-4
1210171_stureparken_o,2001,-8
1210171_stureparken_o,2002,1
1210171_stureparken_o,2003,4
1210171_stureparken_o,2004,0
1210171_stureparken_o,2005,10
1210171_stureparken_o,2006,9
1210171_stureparken_o,2007,11
1210171_stureparken_o,2008,12
1210171_stureparken_o,2009,12
1210171_stureparken_o,2010,12
1210171_stureparken_o,2011,12
1210171_stureparken_o,2012,19
1210171_stureparken_o,2013,13
1210171_stureparken_o,2014,17
1210172_stureparken_v,2000,-5
1210172_stureparken_v,2001,-2
1210172_stureparken_v,2002,-2
1210172_stureparken_v,2003,-3
1210172_stureparken_v,2004,1
1210172_stureparken_v,2005,0
1210172_stureparken_v,2006,-1
1210172_stureparken_v,2007,0
1210172_stureparken_v,2008,1
1210172_stureparken_v,2009,-2
1210172_stureparken_v,2010,14
1210172_stureparken_v,2011,18
1210172_stureparken_v,2012,25
1210172_stureparken_v,2013,31
1210172_stureparken_v,2014,29
1210210_roslagstulls_sjukhus,2000,10
1210210_roslagstulls_sjukhus,2001,2
1210210_roslagstulls_sjukhus,2002,-3
1210210_roslagstulls_sjukhus,2003,-17
1210210_roslagstulls_sjukhus,2004,-31
1210210_roslagstulls_sjukhus,2005,-30
1210210_roslagstulls_sjukhus,2006,-43
1210210_roslagstulls_sjukhus,2007,-45
1210210_roslagstulls_sjukhus,2008,-66
1210210_roslagstulls_sjukhus,2009,-79
1210210_roslagstulls_sjukhus,2010,-102
1210210_roslagstulls_sjukhus,2011,-115
1210210_roslagstulls_sjukhus,2012,-130
1210210_roslagstulls_sjukhus,2013,-151
1210210_roslagstulls_sjukhus,2014,-147
1210220_ostra_station,2000,-25
1210220_ostra_station,2001,-54
1210220_ostra_station,2002,-82
1210220_ostra_station,2003,-165
1210220_ostra_station,2004,-187
1210220_ostra_station,2005,-204
1210220_ostra_station,2006,-262
1210220_ostra_station,2007,-322
1210220_ostra_station,2008,-372
1210220_ostra_station,2009,-421
1210220_ostra_station,2010,-429
1210220_ostra_station,2011,-464
1210220_ostra_station,2012,-493
1210220_ostra_station,2013,-512
1210220_ostra_station,2014,-546
1210320_ekhagen,2000,-49
1210320_ekhagen,2001,-110
1210320_ekhagen,2002,-179
1210320_ekhagen,2003,-275
1210320_ekhagen,2004,-388
1210320_ekhagen,2005,-465
