basomrade,year,population_20xx_12_31_male
5330331_smista_juringe,2003,1711
5330331_smista_juringe,2004,1762
5330331_smista_juringe,2005,1830
5330331_smista_juringe,2006,1925
5330331_smista_juringe,2007,1965
5330331_smista_juringe,2008,2007
5330331_smista_juringe,2009,2034
5330331_smista_juringe,2010,2090
5330331_smista_juringe,2011,2157
5330331_smista_juringe,2012,2301
5330331_smista_juringe,2013,2403
5330331_smista_juringe,2014,2409
5330332_jakobslund,2000,1027
5330332_jakobslund,2001,1015
5330332_jakobslund,2002,1014
5330332_jakobslund,2003,1004
5330332_jakobslund,2004,985
5330332_jakobslund,2005,1000
5330332_jakobslund,2006,1019
5330332_jakobslund,2007,1026
5330332_jakobslund,2008,1033
5330332_jakobslund,2009,1046
5330332_jakobslund,2010,1054
5330332_jakobslund,2011,1059
5330332_jakobslund,2012,1073
5330332_jakobslund,2013,1080
5330332_jakobslund,2014,1092
5330340_krakvik,2000,874
5330340_krakvik,2001,885
5330340_krakvik,2002,898
5330340_krakvik,2003,920
5330340_krakvik,2004,913
5330340_krakvik,2005,922
5330340_krakvik,2006,925
5330340_krakvik,2007,935
5330340_krakvik,2008,941
5330340_krakvik,2009,949
5330340_krakvik,2010,992
5330340_krakvik,2011,992
5330340_krakvik,2012,992
5330340_krakvik,2013,1005
5330340_krakvik,2014,998
5330410_utsalje,2000,1612
5330410_utsalje,2001,1633
5330410_utsalje,2002,1655
5330410_utsalje,2003,1636
5330410_utsalje,2004,1627
5330410_utsalje,2005,1616
5330410_utsalje,2006,1642
5330410_utsalje,2007,1645
5330410_utsalje,2008,1657
5330410_utsalje,2009,1647
5330410_utsalje,2010,1690
5330410_utsalje,2011,1690
5330410_utsalje,2012,1696
5330410_utsalje,2013,1705
5330410_utsalje,2014,1719
5330430_snattringe_gard,2000,263
5330430_snattringe_gard,2001,273
5330430_snattringe_gard,2002,272
5330430_snattringe_gard,2003,281
5330430_snattringe_gard,2004,290
5330430_snattringe_gard,2005,295
5330430_snattringe_gard,2006,289
5330430_snattringe_gard,2007,285
5330430_snattringe_gard,2008,287
5330430_snattringe_gard,2009,295
5330430_snattringe_gard,2010,295
5330430_snattringe_gard,2011,294
5330430_snattringe_gard,2012,289
5330430_snattringe_gard,2013,298
5330430_snattringe_gard,2014,299
5340500_glomsta,2000,488
5340500_glomsta,2001,511
5340500_glomsta,2002,530
5340500_glomsta,2003,598
5340500_glomsta,2004,670
5340500_glomsta,2005,723
5340500_glomsta,2006,758
5340500_glomsta,2007,803
5340500_glomsta,2008,853
5340500_glomsta,2009,889
5340500_glomsta,2010,921
5340500_glomsta,2011,969
5340500_glomsta,2012,1017
5340500_glomsta,2013,1096
5340500_glomsta,2014,1201
5340630_kasta,2000,398
5340630_kasta,2001,412
5340630_kasta,2002,428
5340630_kasta,2003,465
5340630_kasta,2004,488
5340630_kasta,2005,505
5340630_kasta,2006,516
5340630_kasta,2007,523
5340630_kasta,2008,539
5340630_kasta,2009,549
5340630_kasta,2010,558
5340630_kasta,2011,575
5340630_kasta,2012,578
5340630_kasta,2013,617
5340630_kasta,2014,620
5340640_grantorp,2000,2748
5340640_grantorp,2001,2781
5340640_grantorp,2002,2798
5340640_grantorp,2003,2833
5340640_grantorp,2004,2814
5340640_grantorp,2005,2811
5340640_grantorp,2006,2932
5340640_grantorp,2007,2945
5340640_grantorp,2008,2999
5340640_grantorp,2009,3105
5340640_grantorp,2010,3234
5340640_grantorp,2011,3321
5340640_grantorp,2012,3453
5340640_grantorp,2013,3494
5340640_grantorp,2014,3474
5340710_visattra,2000,1874
5340710_visattra,2001,1951
5340710_visattra,2002,1950
5340710_visattra,2003,1978
5340710_visattra,2004,2040
5340710_visattra,2005,2043
5340710_visattra,2006,2104
5340710_visattra,2007,2143
5340710_visattra,2008,2187
5340710_visattra,2009,2227
5340710_visattra,2010,2286
5340710_visattra,2011,2295
5340710_visattra,2012,2320
5340710_visattra,2013,2385
5340710_visattra,2014,2439
5110110_albyslatten,2000,2541
5110110_albyslatten,2001,2657
5110110_albyslatten,2002,2717
5110110_albyslatten,2003,2675
5110110_albyslatten,2004,2618
5110110_albyslatten,2005,2628
5110110_albyslatten,2006,2606
5110110_albyslatten,2007,2649
5110110_albyslatten,2008,2679
5110110_albyslatten,2009,2744
5110110_albyslatten,2010,2833
5110110_albyslatten,2011,2974
5110110_albyslatten,2012,3099
5110110_albyslatten,2013,3094
5110110_albyslatten,2014,3122
5110120_albyberget,2000,1472
5110120_albyberget,2001,1559
5110120_albyberget,2002,1621
5110120_albyberget,2003,1625
5110120_albyberget,2004,1605
5110120_albyberget,2005,1614
5110120_albyberget,2006,1699
5110120_albyberget,2007,1766
5110120_albyberget,2008,1768
5110120_albyberget,2009,1827
5110120_albyberget,2010,1863
5110120_albyberget,2011,1936
5110120_albyberget,2012,1976
5110120_albyberget,2013,1995
5110120_albyberget,2014,2039
5110150_rotemannen,2000,371
5110150_rotemannen,2001,362
5110150_rotemannen,2002,369
5110150_rotemannen,2003,345
5110150_rotemannen,2004,354
5110150_rotemannen,2005,344
5110150_rotemannen,2006,336
5110150_rotemannen,2007,325
5110150_rotemannen,2008,324
5110150_rotemannen,2009,330
5110150_rotemannen,2010,328
5110150_rotemannen,2011,343
5110150_rotemannen,2012,344
5110150_rotemannen,2013,349
5110150_rotemannen,2014,373
5110160_alby_gard,2000,1159
5110160_alby_gard,2001,1144
5110160_alby_gard,2002,1143
5110160_alby_gard,2003,1174
5110160_alby_gard,2004,1178
5110160_alby_gard,2005,1175
5110160_alby_gard,2006,1215
5110160_alby_gard,2007,1240
5110160_alby_gard,2008,1263
5110160_alby_gard,2009,1291
5110160_alby_gard,2010,1332
5110160_alby_gard,2011,1333
5110160_alby_gard,2012,1353
5110160_alby_gard,2013,1378
5110160_alby_gard,2014,1370
5110240_aspberget,2000,222
5110240_aspberget,2001,204
5110240_aspberget,2002,206
5110240_aspberget,2003,203
5110240_aspberget,2004,202
5110240_aspberget,2005,212
5110240_aspberget,2006,210
5110240_aspberget,2007,210
5110240_aspberget,2008,216
5110240_aspberget,2009,219
5110240_aspberget,2010,219
5110240_aspberget,2011,216
5110240_aspberget,2012,221
5110240_aspberget,2013,222
5110240_aspberget,2014,228
5110260_ostra_eriksberg,2000,496
5110260_ostra_eriksberg,2001,515
5110260_ostra_eriksberg,2002,520
5110260_ostra_eriksberg,2003,525
5110260_ostra_eriksberg,2004,521
5110260_ostra_eriksberg,2005,526
5110260_ostra_eriksberg,2006,526
5110260_ostra_eriksberg,2007,535
5110260_ostra_eriksberg,2008,546
5110260_ostra_eriksberg,2009,566
5110260_ostra_eriksberg,2010,576
5110260_ostra_eriksberg,2011,603
5110260_ostra_eriksberg,2012,632
5110260_ostra_eriksberg,2013,631
5110260_ostra_eriksberg,2014,624
5110270_vastra_eriksberg,2000,320
5110270_vastra_eriksberg,2001,336
5110270_vastra_eriksberg,2002,325
5110270_vastra_eriksberg,2003,331
5110270_vastra_eriksberg,2004,333
5110270_vastra_eriksberg,2005,344
5110270_vastra_eriksberg,2006,352
5110270_vastra_eriksberg,2007,355
5110270_vastra_eriksberg,2008,367
5110270_vastra_eriksberg,2009,376
5110270_vastra_eriksberg,2010,391
5110270_vastra_eriksberg,2011,402
5110270_vastra_eriksberg,2012,412
5110270_vastra_eriksberg,2013,419
5110270_vastra_eriksberg,2014,435
5110280_tre_kallor,2000,287
5110280_tre_kallor,2001,278
5110280_tre_kallor,2002,311
5110280_tre_kallor,2003,309
5110280_tre_kallor,2004,310
5110280_tre_kallor,2005,311
5110280_tre_kallor,2006,319
5110280_tre_kallor,2007,323
5110280_tre_kallor,2008,326
5110280_tre_kallor,2009,327
5110280_tre_kallor,2010,332
5110280_tre_kallor,2011,360
5110280_tre_kallor,2012,367
5110280_tre_kallor,2013,378
5110280_tre_kallor,2014,378
5110290_sturehov,2000,178
5110290_sturehov,2001,185
5110290_sturehov,2002,197
5110290_sturehov,2003,196
5110290_sturehov,2004,224
5110290_sturehov,2005,249
5110290_sturehov,2006,263
5110290_sturehov,2007,263
5110290_sturehov,2008,273
5110290_sturehov,2009,260
5110290_sturehov,2010,262
5110290_sturehov,2011,268
5110290_sturehov,2012,270
5110290_sturehov,2013,278
5110290_sturehov,2014,289
5110311_krogarvagen_vardshusvagen,2000,1889
5110311_krogarvagen_vardshusvagen,2001,1905
5110311_krogarvagen_vardshusvagen,2002,1914
5110311_krogarvagen_vardshusvagen,2003,1899
5110311_krogarvagen_vardshusvagen,2004,1892
5110311_krogarvagen_vardshusvagen,2005,1878
5110311_krogarvagen_vardshusvagen,2006,1906
5110311_krogarvagen_vardshusvagen,2007,1973
5110311_krogarvagen_vardshusvagen,2008,2020
5110311_krogarvagen_vardshusvagen,2009,2052
5110311_krogarvagen_vardshusvagen,2010,2089
5110311_krogarvagen_vardshusvagen,2011,2150
5110311_krogarvagen_vardshusvagen,2012,2127
5110311_krogarvagen_vardshusvagen,2013,2060
5110311_krogarvagen_vardshusvagen,2014,2053
5110312_forvagen,2000,1104
5110312_forvagen,2001,1136
5110312_forvagen,2002,1180
5110312_forvagen,2003,1183
5110312_forvagen,2004,1162
5110312_forvagen,2005,1141
5110312_forvagen,2006,1162
5110312_forvagen,2007,1192
5110312_forvagen,2008,1166
5110312_forvagen,2009,1163
5110312_forvagen,2010,1157
5110312_forvagen,2011,1152
5110312_forvagen,2012,1183
5110312_forvagen,2013,1177
5110312_forvagen,2014,1184
5110320_fittja_gard,2000,662
5110320_fittja_gard,2001,671
5110320_fittja_gard,2002,657
5110320_fittja_gard,2003,645
5110320_fittja_gard,2004,646
5110320_fittja_gard,2005,664
5110320_fittja_gard,2006,663
5110320_fittja_gard,2007,678
5110320_fittja_gard,2008,688
5110320_fittja_gard,2009,692
5110320_fittja_gard,2010,699
5110320_fittja_gard,2011,713
5110320_fittja_gard,2012,721
5110320_fittja_gard,2013,776
5110320_fittja_gard,2014,795
5110410_sodra_hallunda,2000,1776
5110410_sodra_hallunda,2001,1785
5110410_sodra_hallunda,2002,1774
5110410_sodra_hallunda,2003,1737
5110410_sodra_hallunda,2004,1746
5110410_sodra_hallunda,2005,1793
5110410_sodra_hallunda,2006,1828
5110410_sodra_hallunda,2007,1860
5110410_sodra_hallunda,2008,1886
5110410_sodra_hallunda,2009,1964
5110410_sodra_hallunda,2010,2024
5110410_sodra_hallunda,2011,2111
5110410_sodra_hallunda,2012,2146
5110410_sodra_hallunda,2013,2216
5110410_sodra_hallunda,2014,2226
5110420_slagsta,2000,1139
5110420_slagsta,2001,1154
5110420_slagsta,2002,1144
5110420_slagsta,2003,1126
5110420_slagsta,2004,1140
5110420_slagsta,2005,1155
5110420_slagsta,2006,1179
5110420_slagsta,2007,1207
5110420_slagsta,2008,1242
5110420_slagsta,2009,1267
5110420_slagsta,2010,1274
5110420_slagsta,2011,1298
5110420_slagsta,2012,1338
5110420_slagsta,2013,1353
5110420_slagsta,2014,1341
5110430_brunna,2000,387
5110430_brunna,2001,388
5110430_brunna,2002,383
5110430_brunna,2003,380
5110430_brunna,2004,387
5110430_brunna,2005,388
5110430_brunna,2006,386
5110430_brunna,2007,403
5110430_brunna,2008,403
5110430_brunna,2009,405
5110430_brunna,2010,414
5110430_brunna,2011,411
5110430_brunna,2012,431
5110430_brunna,2013,440
5110430_brunna,2014,434
5110450_sodra_norsborg,2000,2712
5110450_sodra_norsborg,2001,2796
5110450_sodra_norsborg,2002,2801
5110450_sodra_norsborg,2003,2745
5110450_sodra_norsborg,2004,2704
5110450_sodra_norsborg,2005,2704
5110450_sodra_norsborg,2006,2750
5110450_sodra_norsborg,2007,2778
5110450_sodra_norsborg,2008,2799
5110450_sodra_norsborg,2009,2820
5110450_sodra_norsborg,2010,2855
5110450_sodra_norsborg,2011,2961
5110450_sodra_norsborg,2012,2981
5110450_sodra_norsborg,2013,3064
5110450_sodra_norsborg,2014,3053
5110460_tornbergsfaltet,2000,431
5110460_tornbergsfaltet,2001,428
5110460_tornbergsfaltet,2002,431
5110460_tornbergsfaltet,2003,424
5110460_tornbergsfaltet,2004,422
5110460_tornbergsfaltet,2005,424
5110460_tornbergsfaltet,2006,422
5110460_tornbergsfaltet,2007,428
5110460_tornbergsfaltet,2008,426
5110460_tornbergsfaltet,2009,438
5110460_tornbergsfaltet,2010,443
5110460_tornbergsfaltet,2011,447
5110460_tornbergsfaltet,2012,460
5110460_tornbergsfaltet,2013,489
5110460_tornbergsfaltet,2014,533
5110480_nordostra_norsborg,2000,235
5110480_nordostra_norsborg,2001,232
5110480_nordostra_norsborg,2002,230
5110480_nordostra_norsborg,2003,227
5110480_nordostra_norsborg,2004,237
5110480_nordostra_norsborg,2005,242
5110480_nordostra_norsborg,2006,247
5110480_nordostra_norsborg,2007,261
5110480_nordostra_norsborg,2008,257
5110480_nordostra_norsborg,2009,253
5110480_nordostra_norsborg,2010,256
5110480_nordostra_norsborg,2011,274
5110480_nordostra_norsborg,2012,277
5110480_nordostra_norsborg,2013,259
5110480_nordostra_norsborg,2014,272
5110490_nordvastra_norsborg,2000,446
5110490_nordvastra_norsborg,2001,449
5110490_nordvastra_norsborg,2002,444
5110490_nordvastra_norsborg,2003,462
5110490_nordvastra_norsborg,2004,449
5110490_nordvastra_norsborg,2005,451
5110490_nordvastra_norsborg,2006,457
5110490_nordvastra_norsborg,2007,456
5110490_nordvastra_norsborg,2008,472
5110490_nordvastra_norsborg,2009,475
5110490_nordvastra_norsborg,2010,487
5110490_nordvastra_norsborg,2011,492
5110490_nordvastra_norsborg,2012,487
5110490_nordvastra_norsborg,2013,494
5110490_nordvastra_norsborg,2014,513
5120730_tumba_centrum,2000,442
5120730_tumba_centrum,2001,448
5120730_tumba_centrum,2002,460
5120730_tumba_centrum,2003,478
5120730_tumba_centrum,2004,477
5120730_tumba_centrum,2005,471
5120730_tumba_centrum,2006,450
5120730_tumba_centrum,2007,444
5120730_tumba_centrum,2008,453
5120730_tumba_centrum,2009,461
5120730_tumba_centrum,2010,484
5120730_tumba_centrum,2011,493
5120730_tumba_centrum,2012,496
5120730_tumba_centrum,2013,499
5120730_tumba_centrum,2014,501
5120750_segersjo,2000,516
5120750_segersjo,2001,522
5120750_segersjo,2002,511
5120750_segersjo,2003,517
5120750_segersjo,2004,546
5120750_segersjo,2005,538
5120750_segersjo,2006,520
5120750_segersjo,2007,552
5120750_segersjo,2008,546
5120750_segersjo,2009,552
5120750_segersjo,2010,574
5120750_segersjo,2011,586
5120750_segersjo,2012,576
5120750_segersjo,2013,608
5120750_segersjo,2014,615
5120780_tumba_villastad,2000,1030
5120780_tumba_villastad,2001,1027
5120780_tumba_villastad,2002,1015
5120780_tumba_villastad,2003,1033
5120780_tumba_villastad,2004,1037
5120780_tumba_villastad,2005,1043
5120780_tumba_villastad,2006,1082
5120780_tumba_villastad,2007,1091
5120780_tumba_villastad,2008,1103
5120780_tumba_villastad,2009,1103
5120780_tumba_villastad,2010,1118
5120780_tumba_villastad,2011,1113
5120780_tumba_villastad,2012,1144
5120780_tumba_villastad,2013,1165
5120780_tumba_villastad,2014,1173
5120790_skacklinge,2000,2012
5120790_skacklinge,2001,2049
5120790_skacklinge,2002,2124
5120790_skacklinge,2003,2143
5120790_skacklinge,2004,2162
5120790_skacklinge,2005,2169
5120790_skacklinge,2006,2193
5120790_skacklinge,2007,2202
5120790_skacklinge,2008,2187
5120790_skacklinge,2009,2183
5120790_skacklinge,2010,2165
5120790_skacklinge,2011,2179
5120790_skacklinge,2012,2183
5120790_skacklinge,2013,2210
5120790_skacklinge,2014,2174
5120810_storvreten,2000,2420
5120810_storvreten,2001,2470
5120810_storvreten,2002,2494
5120810_storvreten,2003,2487
5120810_storvreten,2004,2516
5120810_storvreten,2005,2545
5120810_storvreten,2006,2490
5120810_storvreten,2007,2548
5120810_storvreten,2008,2602
5120810_storvreten,2009,2593
5120810_storvreten,2010,2691
5120810_storvreten,2011,2751
5120810_storvreten,2012,2794
5120810_storvreten,2013,2907
5120810_storvreten,2014,2928
5120820_blockvagen,2000,98
5120820_blockvagen,2001,95
5120820_blockvagen,2002,95
5120820_blockvagen,2003,98
5120820_blockvagen,2004,97
5120820_blockvagen,2005,101
5120820_blockvagen,2006,103
5120820_blockvagen,2007,103
5120820_blockvagen,2008,101
5120820_blockvagen,2009,102
5120820_blockvagen,2010,108
5120820_blockvagen,2011,115
5120820_blockvagen,2012,109
5120820_blockvagen,2013,110
5120820_blockvagen,2014,113
5120830_grytstigen,2000,253
5120830_grytstigen,2001,251
5120830_grytstigen,2002,242
5120830_grytstigen,2003,230
5120830_grytstigen,2004,233
5120830_grytstigen,2005,233
5120830_grytstigen,2006,232
5120830_grytstigen,2007,239
5120830_grytstigen,2008,249
5120830_grytstigen,2009,245
5120830_grytstigen,2010,254
5120830_grytstigen,2011,262
5120830_grytstigen,2012,249
5120830_grytstigen,2013,259
5120830_grytstigen,2014,268
5120840_vedstigen,2000,84
5120840_vedstigen,2001,84
5120840_vedstigen,2002,84
5120840_vedstigen,2003,82
5120840_vedstigen,2004,83
5120840_vedstigen,2005,88
5120840_vedstigen,2006,85
5120840_vedstigen,2007,86
5120840_vedstigen,2008,81
5120840_vedstigen,2009,88
5120840_vedstigen,2010,89
5120840_vedstigen,2011,93
5120840_vedstigen,2012,103
5120840_vedstigen,2013,104
5120840_vedstigen,2014,104
5120910_tumba_bruk,2000,1013
5120910_tumba_bruk,2001,1025
5120910_tumba_bruk,2002,1008
5120910_tumba_bruk,2003,1001
5120910_tumba_bruk,2004,1001
5120910_tumba_bruk,2005,1006
5120910_tumba_bruk,2006,1006
5120910_tumba_bruk,2007,984
5120910_tumba_bruk,2008,981
5120910_tumba_bruk,2009,996
5120910_tumba_bruk,2010,991
5120910_tumba_bruk,2011,988
5120910_tumba_bruk,2012,961
5120910_tumba_bruk,2013,972
5120910_tumba_bruk,2014,972
5120920_tumba_glesbygd,2000,95
5120920_tumba_glesbygd,2001,93
5120920_tumba_glesbygd,2002,90
5120920_tumba_glesbygd,2003,108
5120920_tumba_glesbygd,2004,129
5120920_tumba_glesbygd,2005,129
5120920_tumba_glesbygd,2006,161
5120920_tumba_glesbygd,2007,218
5120920_tumba_glesbygd,2008,236
5120920_tumba_glesbygd,2009,246
5120920_tumba_glesbygd,2010,235
5120920_tumba_glesbygd,2011,251
5120920_tumba_glesbygd,2012,274
5120920_tumba_glesbygd,2013,248
5120920_tumba_glesbygd,2014,292
5120930_kommunalhuset,2000,349
5120930_kommunalhuset,2001,329
5120930_kommunalhuset,2002,351
5120930_kommunalhuset,2003,341
5120930_kommunalhuset,2004,364
5120930_kommunalhuset,2005,442
5120930_kommunalhuset,2006,529
5120930_kommunalhuset,2007,604
5120930_kommunalhuset,2008,645
5120930_kommunalhuset,2009,661
5120930_kommunalhuset,2010,682
5120930_kommunalhuset,2011,695
5120930_kommunalhuset,2012,714
5120930_kommunalhuset,2013,752
5120930_kommunalhuset,2014,778
5120940_tuna,2000,751
5120940_tuna,2001,762
5120940_tuna,2002,767
5120940_tuna,2003,755
5120940_tuna,2004,755
5120940_tuna,2005,753
5120940_tuna,2006,728
5120940_tuna,2007,729
5120940_tuna,2008,725
5120940_tuna,2009,717
5120940_tuna,2010,768
5120940_tuna,2011,766
5120940_tuna,2012,820
5120940_tuna,2013,855
5120940_tuna,2014,873
5120950_nackdala,2000,304
5120950_nackdala,2001,292
5120950_nackdala,2002,286
5120950_nackdala,2003,283
5120950_nackdala,2004,297
5120950_nackdala,2005,293
5120950_nackdala,2006,301
5120950_nackdala,2007,303
5120950_nackdala,2008,306
5120950_nackdala,2009,330
5120950_nackdala,2010,351
5120950_nackdala,2011,384
5120950_nackdala,2012,388
5120950_nackdala,2013,407
5120950_nackdala,2014,402
5120970_loviseberg,2000,113
5120970_loviseberg,2001,111
5120970_loviseberg,2002,111
5120970_loviseberg,2003,105
5120970_loviseberg,2004,97
5120970_loviseberg,2005,106
5120970_loviseberg,2006,100
5120970_loviseberg,2007,101
5120970_loviseberg,2008,115
5120970_loviseberg,2009,125
5120970_loviseberg,2010,144
5120970_loviseberg,2011,154
5120970_loviseberg,2012,160
5120970_loviseberg,2013,156
5120970_loviseberg,2014,159
5130810_uttran,2000,694
5130810_uttran,2001,708
5130810_uttran,2002,721
5130810_uttran,2003,712
5130810_uttran,2004,727
5130810_uttran,2005,750
5130810_uttran,2006,745
5130810_uttran,2007,789
5130810_uttran,2008,799
5130810_uttran,2009,809
5130810_uttran,2010,799
5130810_uttran,2011,818
5130810_uttran,2012,835
5130810_uttran,2013,827
5130810_uttran,2014,833
5130820_varsta,2000,1142
5130820_varsta,2001,1137
5130820_varsta,2002,1135
5130820_varsta,2003,1162
5130820_varsta,2004,1164
5130820_varsta,2005,1173
5130820_varsta,2006,1188
5130820_varsta,2007,1171
5130820_varsta,2008,1164
5130820_varsta,2009,1167
5130820_varsta,2010,1175
5130820_varsta,2011,1208
5130820_varsta,2012,1222
5130820_varsta,2013,1209
5130820_varsta,2014,1218
5130830_grodinge_glesbygd,2000,722
5130830_grodinge_glesbygd,2001,764
5130830_grodinge_glesbygd,2002,793
5130830_grodinge_glesbygd,2003,831
5130830_grodinge_glesbygd,2004,859
5130830_grodinge_glesbygd,2005,866
5130830_grodinge_glesbygd,2006,866
5130830_grodinge_glesbygd,2007,881
5130830_grodinge_glesbygd,2008,913
5130830_grodinge_glesbygd,2009,933
5130830_grodinge_glesbygd,2010,940
5130830_grodinge_glesbygd,2011,938
5130830_grodinge_glesbygd,2012,956
5130830_grodinge_glesbygd,2013,969
5130830_grodinge_glesbygd,2014,988
5140110_tullinge_villastad,2000,542
5140110_tullinge_villastad,2001,614
5140110_tullinge_villastad,2002,769
5140110_tullinge_villastad,2003,873
5140110_tullinge_villastad,2004,929
5140110_tullinge_villastad,2005,999
5140110_tullinge_villastad,2006,1102
5140110_tullinge_villastad,2007,1154
5140110_tullinge_villastad,2008,1227
5140110_tullinge_villastad,2009,1269
5140110_tullinge_villastad,2010,1301
5140110_tullinge_villastad,2011,1320
5140110_tullinge_villastad,2012,1378
5140110_tullinge_villastad,2013,1455
5140110_tullinge_villastad,2014,1504
5140620_tullingeberg,2000,648
5140620_tullingeberg,2001,641
5140620_tullingeberg,2002,642
5140620_tullingeberg,2003,642
5140620_tullingeberg,2004,655
5140620_tullingeberg,2005,678
5140620_tullingeberg,2006,688
5140620_tullingeberg,2007,687
5140620_tullingeberg,2008,691
5140620_tullingeberg,2009,678
5140620_tullingeberg,2010,682
5140620_tullingeberg,2011,783
5140620_tullingeberg,2012,787
5140620_tullingeberg,2013,781
5140620_tullingeberg,2014,770
5140641_tullinge_parkhem,2000,1445
5140641_tullinge_parkhem,2001,1432
5140641_tullinge_parkhem,2002,1470
5140641_tullinge_parkhem,2003,1478
5140641_tullinge_parkhem,2004,1537
5140641_tullinge_parkhem,2005,1532
5140641_tullinge_parkhem,2006,1533
5140641_tullinge_parkhem,2007,1550
5140641_tullinge_parkhem,2008,1562
5140641_tullinge_parkhem,2009,1541
5140641_tullinge_parkhem,2010,1560
5140641_tullinge_parkhem,2011,1603
5140641_tullinge_parkhem,2012,1622
5140641_tullinge_parkhem,2013,1620
5140641_tullinge_parkhem,2014,1614
5140642_lanthem_n,2000,432
5140642_lanthem_n,2001,437
5140642_lanthem_n,2002,455
5140642_lanthem_n,2003,466
5140642_lanthem_n,2004,487
5140642_lanthem_n,2005,463
5140642_lanthem_n,2006,465
5140642_lanthem_n,2007,469
5140642_lanthem_n,2008,482
5140642_lanthem_n,2009,503
5140642_lanthem_n,2010,511
5140642_lanthem_n,2011,524
5140642_lanthem_n,2012,528
5140642_lanthem_n,2013,539
5140642_lanthem_n,2014,569
5140650_tullinge_centrum,2000,1314
5140650_tullinge_centrum,2001,1270
5140650_tullinge_centrum,2002,1250
5140650_tullinge_centrum,2003,1260
5140650_tullinge_centrum,2004,1232
5140650_tullinge_centrum,2005,1244
5140650_tullinge_centrum,2006,1280
5140650_tullinge_centrum,2007,1271
5140650_tullinge_centrum,2008,1305
5140650_tullinge_centrum,2009,1341
5140650_tullinge_centrum,2010,1348
5140650_tullinge_centrum,2011,1348
5140650_tullinge_centrum,2012,1344
5140650_tullinge_centrum,2013,1347
5140650_tullinge_centrum,2014,1414
5140660_banslatt,2000,800
5140660_banslatt,2001,785
5140660_banslatt,2002,756
5140660_banslatt,2003,774
5140660_banslatt,2004,787
5140660_banslatt,2005,797
5140660_banslatt,2006,808
5140660_banslatt,2007,812
5140660_banslatt,2008,787
5140660_banslatt,2009,794
5140660_banslatt,2010,797
5140660_banslatt,2011,777
5140660_banslatt,2012,791
5140660_banslatt,2013,774
5140660_banslatt,2014,776
5140690_okand,2000,31
5140690_okand,2001,38
5140690_okand,2002,81
5140690_okand,2003,73
5140690_okand,2004,55
5140690_okand,2005,51
5140690_okand,2006,70
5140690_okand,2007,83
5140690_okand,2008,192
5140690_okand,2009,312
5140711_tullinge_skog,2000,784
5140711_tullinge_skog,2001,813
5140711_tullinge_skog,2002,864
5140711_tullinge_skog,2003,857
5140711_tullinge_skog,2004,868
5140711_tullinge_skog,2005,886
5140711_tullinge_skog,2006,901
5140711_tullinge_skog,2007,934
5140711_tullinge_skog,2008,915
5140711_tullinge_skog,2009,939
5140711_tullinge_skog,2010,938
5140711_tullinge_skog,2011,987
5140711_tullinge_skog,2012,1003
5140711_tullinge_skog,2013,1009
5140711_tullinge_skog,2014,1006
5140712_lanthem_s,2000,447
5140712_lanthem_s,2001,486
5140712_lanthem_s,2002,475
5140712_lanthem_s,2003,483
5140712_lanthem_s,2004,487
5140712_lanthem_s,2005,498
5140712_lanthem_s,2006,489
5140712_lanthem_s,2007,501
5140712_lanthem_s,2008,519
5140712_lanthem_s,2009,516
5140712_lanthem_s,2010,540
5140712_lanthem_s,2011,540
5140712_lanthem_s,2012,544
5140712_lanthem_s,2013,542
5140712_lanthem_s,2014,539
5711010_soderby_garde,2000,449
5711010_soderby_garde,2001,438
5711010_soderby_garde,2002,429
5711010_soderby_garde,2003,428
5711010_soderby_garde,2004,424
5711010_soderby_garde,2005,409
5711010_soderby_garde,2006,443
5711010_soderby_garde,2007,455
5711010_soderby_garde,2008,424
5711010_soderby_garde,2009,415
5711010_soderby_garde,2010,417
5711010_soderby_garde,2011,409
5711010_soderby_garde,2012,413
5711010_soderby_garde,2013,409
5711010_soderby_garde,2014,413
5711020_soderby_park,2000,101
5711020_soderby_park,2001,108
5711020_soderby_park,2002,105
5711020_soderby_park,2003,103
5711020_soderby_park,2004,100
5711020_soderby_park,2005,125
5711020_soderby_park,2006,215
5711020_soderby_park,2007,310
5711020_soderby_park,2008,343
5711020_soderby_park,2009,411
5711020_soderby_park,2010,418
5711020_soderby_park,2011,440
5711020_soderby_park,2012,479
5711020_soderby_park,2013,520
5711020_soderby_park,2014,541
5711110_skyttorp,2000,1199
5711110_skyttorp,2001,1195
5711110_skyttorp,2002,1181
5711110_skyttorp,2003,1186
5711110_skyttorp,2004,1167
5711110_skyttorp,2005,1164
5711110_skyttorp,2006,1159
5711110_skyttorp,2007,1165
5711110_skyttorp,2008,1150
5711110_skyttorp,2009,1141
5711110_skyttorp,2010,1124
5711110_skyttorp,2011,1190
5711110_skyttorp,2012,1195
5711110_skyttorp,2013,1207
5711110_skyttorp,2014,1216
5711120_skogsang,2000,881
5711120_skogsang,2001,867
5711120_skogsang,2002,867
5711120_skogsang,2003,876
5711120_skogsang,2004,880
5711120_skogsang,2005,900
5711120_skogsang,2006,896
5711120_skogsang,2007,907
5711120_skogsang,2008,938
5711120_skogsang,2009,926
5711120_skogsang,2010,927
5711120_skogsang,2011,932
5711120_skogsang,2012,936
5711120_skogsang,2013,935
5711120_skogsang,2014,936
5711130_soderby,2000,793
5711130_soderby,2001,781
5711130_soderby,2002,779
