basomrade,year,cumulative_immigration_surplus_female
1130110_atlasomradet,2004,-41
1130110_atlasomradet,2005,-44
1130110_atlasomradet,2006,-41
1130110_atlasomradet,2007,-61
1130110_atlasomradet,2008,-57
1130110_atlasomradet,2009,-91
1130110_atlasomradet,2010,-97
1130110_atlasomradet,2011,-129
1130110_atlasomradet,2012,-130
1130110_atlasomradet,2013,-125
1130110_atlasomradet,2014,-129
1130120_gustav_vasa_kyrka,2000,35
1130120_gustav_vasa_kyrka,2001,-3
1130120_gustav_vasa_kyrka,2002,14
1130120_gustav_vasa_kyrka,2003,11
1130120_gustav_vasa_kyrka,2004,52
1130120_gustav_vasa_kyrka,2005,68
1130120_gustav_vasa_kyrka,2006,54
1130120_gustav_vasa_kyrka,2007,77
1130120_gustav_vasa_kyrka,2008,73
1130120_gustav_vasa_kyrka,2009,78
1130120_gustav_vasa_kyrka,2010,48
1130120_gustav_vasa_kyrka,2011,74
1130120_gustav_vasa_kyrka,2012,71
1130120_gustav_vasa_kyrka,2013,94
1130120_gustav_vasa_kyrka,2014,98
1130130_observatoriegatan,2000,23
1130130_observatoriegatan,2001,9
1130130_observatoriegatan,2002,-4
1130130_observatoriegatan,2003,-8
1130130_observatoriegatan,2004,-35
1130130_observatoriegatan,2005,-41
1130130_observatoriegatan,2006,-50
1130130_observatoriegatan,2007,-73
1130130_observatoriegatan,2008,-76
1130130_observatoriegatan,2009,-99
1130130_observatoriegatan,2010,-103
1130130_observatoriegatan,2011,-80
1130130_observatoriegatan,2012,-103
1130130_observatoriegatan,2013,-112
1130130_observatoriegatan,2014,-121
1130140_sabbatsberg,2000,27
1130140_sabbatsberg,2001,42
1130140_sabbatsberg,2002,73
1130140_sabbatsberg,2003,57
1130140_sabbatsberg,2004,90
1130140_sabbatsberg,2005,111
1130140_sabbatsberg,2006,123
1130140_sabbatsberg,2007,132
1130140_sabbatsberg,2008,220
1130140_sabbatsberg,2009,598
1130140_sabbatsberg,2010,637
1130140_sabbatsberg,2011,662
1130140_sabbatsberg,2012,677
1130140_sabbatsberg,2013,682
1130140_sabbatsberg,2014,682
1130150_polstjarnan,2000,0
1130150_polstjarnan,2001,-1
1130150_polstjarnan,2002,3
1130150_polstjarnan,2003,2
1130150_polstjarnan,2004,12
1130150_polstjarnan,2005,13
1130150_polstjarnan,2006,9
1130150_polstjarnan,2007,8
1130150_polstjarnan,2008,6
1130150_polstjarnan,2009,-12
1130150_polstjarnan,2010,4
1130150_polstjarnan,2011,-11
1130150_polstjarnan,2012,-12
1130150_polstjarnan,2013,9
1130150_polstjarnan,2014,3
1130170_betlehemskyrkan,2000,-17
1130170_betlehemskyrkan,2001,-39
1130170_betlehemskyrkan,2002,-38
1130170_betlehemskyrkan,2003,-56
1130170_betlehemskyrkan,2004,-56
1130170_betlehemskyrkan,2005,-62
1130170_betlehemskyrkan,2006,-64
1130170_betlehemskyrkan,2007,-75
1130170_betlehemskyrkan,2008,-66
1130170_betlehemskyrkan,2009,-90
1130170_betlehemskyrkan,2010,-108
1130170_betlehemskyrkan,2011,-114
1130170_betlehemskyrkan,2012,-120
1130170_betlehemskyrkan,2013,-178
1130170_betlehemskyrkan,2014,-155
1140110_norrtull,2000,5
1140110_norrtull,2001,5
1140110_norrtull,2002,-1
1140110_norrtull,2003,2
1140110_norrtull,2004,3
1140110_norrtull,2005,-1
1140110_norrtull,2006,7
1140110_norrtull,2007,6
1140110_norrtull,2008,5
1140110_norrtull,2009,8
1140110_norrtull,2010,7
1140110_norrtull,2011,14
1140110_norrtull,2012,1
1140110_norrtull,2013,-5
1140110_norrtull,2014,-1
1140120_tre_liljor,2000,5
1140120_tre_liljor,2001,-17
