basomrade,year,cumulative_immigration_surplus_min_3_years_of_higher_education_aged_25_64
1140150_centralgaraget,2008,56
1140150_centralgaraget,2009,54
1140150_centralgaraget,2010,44
1140150_centralgaraget,2011,21
1140150_centralgaraget,2012,17
1140150_centralgaraget,2013,27
1140150_centralgaraget,2014,37
1140210_okand,2000,1
1140210_okand,2001,0
1140210_okand,2002,-5
1140210_okand,2003,-9
1140210_okand,2004,-15
1140210_okand,2005,-7
1140210_okand,2006,-14
1140210_okand,2007,-14
1140210_okand,2008,-15
1140210_okand,2009,-26
1140212_norra_station_2,2010,-4
1140212_norra_station_2,2011,-6
1140212_norra_station_2,2012,4
1140212_norra_station_2,2013,0
1140212_norra_station_2,2014,3
1140220_birkagarden,2000,-30
1140220_birkagarden,2001,-84
1140220_birkagarden,2002,-151
1140220_birkagarden,2003,-203
1140220_birkagarden,2004,-240
1140220_birkagarden,2005,-334
1140220_birkagarden,2006,-410
1140220_birkagarden,2007,-506
1140220_birkagarden,2008,-572
1140220_birkagarden,2009,-625
1140220_birkagarden,2010,-643
1140220_birkagarden,2011,-705
1140220_birkagarden,2012,-770
1140220_birkagarden,2013,-798
1140220_birkagarden,2014,-839
1140230_rorstrand,2000,3
1140230_rorstrand,2001,35
1140230_rorstrand,2002,89
1140230_rorstrand,2003,113
1140230_rorstrand,2004,93
1140230_rorstrand,2005,128
1140230_rorstrand,2006,110
1140230_rorstrand,2007,54
1140230_rorstrand,2008,101
1140230_rorstrand,2009,121
1140230_rorstrand,2010,116
1140230_rorstrand,2011,140
1140230_rorstrand,2012,143
1140230_rorstrand,2013,125
1140230_rorstrand,2014,93
1140240_rodaberget,2000,14
1140240_rodaberget,2001,7
1140240_rodaberget,2002,9
1140240_rodaberget,2003,-20
1140240_rodaberget,2004,-1
1140240_rodaberget,2005,6
1140240_rodaberget,2006,1
1140240_rodaberget,2007,-3
1140240_rodaberget,2008,21
1140240_rodaberget,2009,-25
1140240_rodaberget,2010,-13
1140240_rodaberget,2011,-63
1140240_rodaberget,2012,-86
1140240_rodaberget,2013,-71
1140240_rodaberget,2014,-76
1140250_s_t_eriksplan,2000,28
1140250_s_t_eriksplan,2001,57
1140250_s_t_eriksplan,2002,63
1140250_s_t_eriksplan,2003,53
1140250_s_t_eriksplan,2004,47
1140250_s_t_eriksplan,2005,49
1140250_s_t_eriksplan,2006,35
1140250_s_t_eriksplan,2007,20
1140250_s_t_eriksplan,2008,28
1140250_s_t_eriksplan,2009,45
1140250_s_t_eriksplan,2010,37
1140250_s_t_eriksplan,2011,27
1140250_s_t_eriksplan,2012,14
1140250_s_t_eriksplan,2013,12
1140250_s_t_eriksplan,2014,-13
1210110_roslagstull,2000,34
1210110_roslagstull,2001,42
1210110_roslagstull,2002,36
1210110_roslagstull,2003,39
1210110_roslagstull,2004,11
1210110_roslagstull,2005,0
1210110_roslagstull,2006,-6
1210110_roslagstull,2007,1
1210110_roslagstull,2008,-18
1210110_roslagstull,2009,12
1210110_roslagstull,2010,46
1210110_roslagstull,2011,54
1210110_roslagstull,2012,65
1210110_roslagstull,2013,15
1210110_roslagstull,2014,22
1210120_larkstaden,2000,7
1210120_larkstaden,2001,-5
1210120_larkstaden,2002,-3
1210120_larkstaden,2003,-3
1210120_larkstaden,2004,14
1210120_larkstaden,2005,34
1210120_larkstaden,2006,45
1210120_larkstaden,2007,33
1210120_larkstaden,2008,42
1210120_larkstaden,2009,66
1210120_larkstaden,2010,88
1210120_larkstaden,2011,90
1210120_larkstaden,2012,77
1210120_larkstaden,2013,42
1210120_larkstaden,2014,37
1210131_danderydsplan_v,2000,3
1210131_danderydsplan_v,2001,6
1210131_danderydsplan_v,2002,26
1210131_danderydsplan_v,2003,56
1210131_danderydsplan_v,2004,58
1210131_danderydsplan_v,2005,51
1210131_danderydsplan_v,2006,54
1210131_danderydsplan_v,2007,47
1210131_danderydsplan_v,2008,64
1210131_danderydsplan_v,2009,57
1210131_danderydsplan_v,2010,54
1210131_danderydsplan_v,2011,41
1210131_danderydsplan_v,2012,50
1210131_danderydsplan_v,2013,62
1210131_danderydsplan_v,2014,99
1210132_danderydsplan_o,2000,23
1210132_danderydsplan_o,2001,28
1210132_danderydsplan_o,2002,19
1210132_danderydsplan_o,2003,26
1210132_danderydsplan_o,2004,52
1210132_danderydsplan_o,2005,40
1210132_danderydsplan_o,2006,47
1210132_danderydsplan_o,2007,51
1210132_danderydsplan_o,2008,63
1210132_danderydsplan_o,2009,55
1210132_danderydsplan_o,2010,64
1210132_danderydsplan_o,2011,78
1210132_danderydsplan_o,2012,85
1210132_danderydsplan_o,2013,86
1210132_danderydsplan_o,2014,93
1210140_eriksberg,2000,15
1210140_eriksberg,2001,27
1210140_eriksberg,2002,27
1210140_eriksberg,2003,21
1210140_eriksberg,2004,19
1210140_eriksberg,2005,35
1210140_eriksberg,2006,50
1210140_eriksberg,2007,48
1210140_eriksberg,2008,62
1210140_eriksberg,2009,89
1210140_eriksberg,2010,79
1210140_eriksberg,2011,79
1210140_eriksberg,2012,74
1210140_eriksberg,2013,65
1210140_eriksberg,2014,72
1210151_stureplan_o,2000,-3
1210151_stureplan_o,2001,0
1210151_stureplan_o,2002,-3
1210151_stureplan_o,2003,-3
1210151_stureplan_o,2004,-4
1210151_stureplan_o,2005,-4
1210151_stureplan_o,2006,-12
1210151_stureplan_o,2007,-9
1210151_stureplan_o,2008,-13
1210151_stureplan_o,2009,-13
1210151_stureplan_o,2010,-24
1210151_stureplan_o,2011,-24
1210151_stureplan_o,2012,-23
1210151_stureplan_o,2013,-27
1210151_stureplan_o,2014,-23
1210161_humlegarden_o,2000,11
1210161_humlegarden_o,2001,6
1210161_humlegarden_o,2002,5
1210161_humlegarden_o,2003,-6
1210161_humlegarden_o,2004,-1
1210161_humlegarden_o,2005,4
1210161_humlegarden_o,2006,-3
1210161_humlegarden_o,2007,-9
1210161_humlegarden_o,2008,-9
1210161_humlegarden_o,2009,-8
1210161_humlegarden_o,2010,-3
1210161_humlegarden_o,2011,-7
1210161_humlegarden_o,2012,-11
1210161_humlegarden_o,2013,2
1210161_humlegarden_o,2014,4
1210171_stureparken_o,2000,3
1210171_stureparken_o,2001,-9
1210171_stureparken_o,2002,-6
1210171_stureparken_o,2003,-1
1210171_stureparken_o,2004,1
1210171_stureparken_o,2005,5
1210171_stureparken_o,2006,-3
1210171_stureparken_o,2007,0
1210171_stureparken_o,2008,7
1210171_stureparken_o,2009,15
1210171_stureparken_o,2010,16
1210171_stureparken_o,2011,23
1210171_stureparken_o,2012,30
1210171_stureparken_o,2013,26
1210171_stureparken_o,2014,29
1210172_stureparken_v,2000,-10
1210172_stureparken_v,2001,2
1210172_stureparken_v,2002,3
1210172_stureparken_v,2003,-1
1210172_stureparken_v,2004,6
1210172_stureparken_v,2005,5
1210172_stureparken_v,2006,15
1210172_stureparken_v,2007,15
1210172_stureparken_v,2008,16
1210172_stureparken_v,2009,18
1210172_stureparken_v,2010,47
1210172_stureparken_v,2011,58
1210172_stureparken_v,2012,70
1210172_stureparken_v,2013,72
1210172_stureparken_v,2014,80
1210210_roslagstulls_sjukhus,2000,1
1210210_roslagstulls_sjukhus,2001,-24
1210210_roslagstulls_sjukhus,2002,-57
1210210_roslagstulls_sjukhus,2003,-76
1210210_roslagstulls_sjukhus,2004,-105
1210210_roslagstulls_sjukhus,2005,-126
1210210_roslagstulls_sjukhus,2006,-148
1210210_roslagstulls_sjukhus,2007,-145
1210210_roslagstulls_sjukhus,2008,-166
1210210_roslagstulls_sjukhus,2009,-195
1210210_roslagstulls_sjukhus,2010,-234
1210210_roslagstulls_sjukhus,2011,-273
