basomrade,year,cumulative_immigration_surplus_min_3_years_of_higher_education_aged_25_64_male
1210151_stureplan_o,2002,0
1210151_stureplan_o,2003,0
1210151_stureplan_o,2004,0
1210151_stureplan_o,2005,-3
1210151_stureplan_o,2006,-8
1210151_stureplan_o,2007,-5
1210151_stureplan_o,2008,-8
1210151_stureplan_o,2009,-8
1210151_stureplan_o,2010,-13
1210151_stureplan_o,2011,-13
1210151_stureplan_o,2012,-13
1210151_stureplan_o,2013,-17
1210151_stureplan_o,2014,-14
1210161_humlegarden_o,2000,6
1210161_humlegarden_o,2001,1
1210161_humlegarden_o,2002,1
1210161_humlegarden_o,2003,1
1210161_humlegarden_o,2004,3
1210161_humlegarden_o,2005,5
1210161_humlegarden_o,2006,0
1210161_humlegarden_o,2007,-3
1210161_humlegarden_o,2008,-1
1210161_humlegarden_o,2009,0
1210161_humlegarden_o,2010,0
1210161_humlegarden_o,2011,3
1210161_humlegarden_o,2012,-2
1210161_humlegarden_o,2013,4
1210161_humlegarden_o,2014,7
1210171_stureparken_o,2000,7
1210171_stureparken_o,2001,-1
1210171_stureparken_o,2002,-7
1210171_stureparken_o,2003,-5
1210171_stureparken_o,2004,1
1210171_stureparken_o,2005,-5
1210171_stureparken_o,2006,-12
1210171_stureparken_o,2007,-11
1210171_stureparken_o,2008,-5
1210171_stureparken_o,2009,3
1210171_stureparken_o,2010,4
1210171_stureparken_o,2011,11
1210171_stureparken_o,2012,11
1210171_stureparken_o,2013,13
1210171_stureparken_o,2014,12
1210172_stureparken_v,2000,-5
1210172_stureparken_v,2001,4
1210172_stureparken_v,2002,5
1210172_stureparken_v,2003,2
1210172_stureparken_v,2004,5
1210172_stureparken_v,2005,5
1210172_stureparken_v,2006,16
1210172_stureparken_v,2007,15
1210172_stureparken_v,2008,15
1210172_stureparken_v,2009,20
1210172_stureparken_v,2010,33
1210172_stureparken_v,2011,40
1210172_stureparken_v,2012,45
1210172_stureparken_v,2013,41
1210172_stureparken_v,2014,51
1210210_roslagstulls_sjukhus,2000,-9
1210210_roslagstulls_sjukhus,2001,-26
1210210_roslagstulls_sjukhus,2002,-54
1210210_roslagstulls_sjukhus,2003,-59
1210210_roslagstulls_sjukhus,2004,-74
1210210_roslagstulls_sjukhus,2005,-96
1210210_roslagstulls_sjukhus,2006,-105
1210210_roslagstulls_sjukhus,2007,-100
1210210_roslagstulls_sjukhus,2008,-100
1210210_roslagstulls_sjukhus,2009,-116
1210210_roslagstulls_sjukhus,2010,-132
1210210_roslagstulls_sjukhus,2011,-158
1210210_roslagstulls_sjukhus,2012,-183
1210210_roslagstulls_sjukhus,2013,-200
1210210_roslagstulls_sjukhus,2014,-209
1210220_ostra_station,2000,-60
1210220_ostra_station,2001,-105
1210220_ostra_station,2002,-146
1210220_ostra_station,2003,-214
1210220_ostra_station,2004,-249
1210220_ostra_station,2005,-267
1210220_ostra_station,2006,-309
1210220_ostra_station,2007,-399
1210220_ostra_station,2008,-436
1210220_ostra_station,2009,-468
1210220_ostra_station,2010,-507
1210220_ostra_station,2011,-544
1210220_ostra_station,2012,-567
1210220_ostra_station,2013,-615
1210220_ostra_station,2014,-651
1210320_ekhagen,2000,-75
1210320_ekhagen,2001,-186
1210320_ekhagen,2002,-270
1210320_ekhagen,2003,-398
1210320_ekhagen,2004,-505
1210320_ekhagen,2005,-636
1210320_ekhagen,2006,-785
1210320_ekhagen,2007,-898
1210320_ekhagen,2008,-976
1210320_ekhagen,2009,-1029
1210320_ekhagen,2010,-1085
1210320_ekhagen,2011,-1165
1210320_ekhagen,2012,-1261
1210320_ekhagen,2013,-1379
