basomrade,year,higher_education_min_3_years_percent_of_population_aged_25_64_male
5414310_hedvigslund,2013,0.35691
5414310_hedvigslund,2014,0.38612
5423100_igelboda,2000,0.42373
5423100_igelboda,2001,0.43514
5423100_igelboda,2002,0.43207
5423100_igelboda,2003,0.44429
5423100_igelboda,2004,0.43929
5423100_igelboda,2005,0.44098
5423100_igelboda,2006,0.44578
5423100_igelboda,2007,0.45241
5423100_igelboda,2008,0.46714
5423100_igelboda,2009,0.47673
5423100_igelboda,2010,0.47857
5423100_igelboda,2011,0.48207
5423100_igelboda,2012,0.48467
5423100_igelboda,2013,0.48012
5423100_igelboda,2014,0.48571
5423201_solsidan_norr,2000,0.65854
5423201_solsidan_norr,2001,0.66667
5423201_solsidan_norr,2002,0.65854
5423201_solsidan_norr,2003,0.67568
5423201_solsidan_norr,2004,0.67568
5423201_solsidan_norr,2005,0.675
5423201_solsidan_norr,2006,0.72973
5423201_solsidan_norr,2007,0.64706
5423201_solsidan_norr,2008,0.64706
5423201_solsidan_norr,2009,0.69444
5423201_solsidan_norr,2010,0.66667
5423201_solsidan_norr,2011,0.6
5423201_solsidan_norr,2012,0.53846
5423201_solsidan_norr,2013,0.60606
5423201_solsidan_norr,2014,0.57143
5423202_saltsjobaden_centrum,2000,0.32047
5423202_saltsjobaden_centrum,2001,0.30631
5423202_saltsjobaden_centrum,2002,0.30655
5423202_saltsjobaden_centrum,2003,0.29042
5423202_saltsjobaden_centrum,2004,0.28182
5423202_saltsjobaden_centrum,2005,0.29245
5423202_saltsjobaden_centrum,2006,0.28912
5423202_saltsjobaden_centrum,2007,0.30282
5423202_saltsjobaden_centrum,2008,0.28428
5423202_saltsjobaden_centrum,2009,0.27857
5423202_saltsjobaden_centrum,2010,0.25979
5423202_saltsjobaden_centrum,2011,0.26573
5423202_saltsjobaden_centrum,2012,0.26335
5423202_saltsjobaden_centrum,2013,0.25632
5423202_saltsjobaden_centrum,2014,0.27574
5423230_tattby,2000,0.52465
5423230_tattby,2001,0.55
5423230_tattby,2002,0.56631
5423230_tattby,2003,0.55634
5423230_tattby,2004,0.5448
5423230_tattby,2005,0.55396
5423230_tattby,2006,0.56835
5423230_tattby,2007,0.55319
5423230_tattby,2008,0.55594
5423230_tattby,2009,0.54122
5423230_tattby,2010,0.55556
5423230_tattby,2011,0.57455
5423230_tattby,2012,0.56929
5423230_tattby,2013,0.57246
5423230_tattby,2014,0.58364
5423300_neglingeon,2000,0.44675
5423300_neglingeon,2001,0.45614
5423300_neglingeon,2002,0.49133
5423300_neglingeon,2003,0.49304
5423300_neglingeon,2004,0.50838
5423300_neglingeon,2005,0.4987
5423300_neglingeon,2006,0.51015
5423300_neglingeon,2007,0.50356
5423300_neglingeon,2008,0.5024
5423300_neglingeon,2009,0.51442
5423300_neglingeon,2010,0.53056
5423300_neglingeon,2011,0.51621
5423300_neglingeon,2012,0.50904
5423300_neglingeon,2013,0.50127
5423300_neglingeon,2014,0.48214
