basomrade,year,mean_income_aged_lt_20_male
4210340_aby_bostadsomr,2001,164195.83
4210340_aby_bostadsomr,2002,161749.12
4210340_aby_bostadsomr,2003,168579.61
4210340_aby_bostadsomr,2004,170831.37
4210340_aby_bostadsomr,2005,180094.02
4210340_aby_bostadsomr,2006,186806.35
4210340_aby_bostadsomr,2007,192870.36
4210340_aby_bostadsomr,2008,207002.34
4210340_aby_bostadsomr,2009,216883.69
4210340_aby_bostadsomr,2010,248106.72
4210340_aby_bostadsomr,2011,263543.33
4210340_aby_bostadsomr,2012,269830.76
4210340_aby_bostadsomr,2013,289812.81
4210340_aby_bostadsomr,2014,294187.89
4210410_vastra_ballsta,2000,357105.31
4210410_vastra_ballsta,2001,371672.53
4210410_vastra_ballsta,2002,381294.65
4210410_vastra_ballsta,2003,373335.46
4210410_vastra_ballsta,2004,374785.82
4210410_vastra_ballsta,2005,392508.4
4210410_vastra_ballsta,2006,408027.47
4210410_vastra_ballsta,2007,426957.37
4210410_vastra_ballsta,2008,439714.02
4210410_vastra_ballsta,2009,452417.52
4210410_vastra_ballsta,2010,447978.29
4210410_vastra_ballsta,2011,453536.77
4210410_vastra_ballsta,2012,478646.65
4210410_vastra_ballsta,2013,482593.26
4210410_vastra_ballsta,2014,498108.32
4210420_kragstalund,2000,268419.11
4210420_kragstalund,2001,283150.96
4210420_kragstalund,2002,276810.02
4210420_kragstalund,2003,295247.04
4210420_kragstalund,2004,306706.48
4210420_kragstalund,2005,317437.88
4210420_kragstalund,2006,340549.81
4210420_kragstalund,2007,362451.45
4210420_kragstalund,2008,377548.73
4210420_kragstalund,2009,380193.36
4210420_kragstalund,2010,389032.13
4210420_kragstalund,2011,398401
4210420_kragstalund,2012,412946.04
4210420_kragstalund,2013,414058.17
4210420_kragstalund,2014,424411.85
4210430_ballstaberg,2000,258765.9
4210430_ballstaberg,2001,279876.39
4210430_ballstaberg,2002,310167.58
4210430_ballstaberg,2003,314502.39
4210430_ballstaberg,2004,339657.42
4210430_ballstaberg,2005,351067.32
4210430_ballstaberg,2006,369657.27
4210430_ballstaberg,2007,388940.07
4210430_ballstaberg,2008,423345.01
4210430_ballstaberg,2009,415299.82
4210430_ballstaberg,2010,416079.42
4210430_ballstaberg,2011,423794.13
4210430_ballstaberg,2012,436209.09
4210430_ballstaberg,2013,439085.28
4210430_ballstaberg,2014,454240.48
4210440_okand,2000,329585.95
4210440_okand,2001,330242.82
4210440_okand,2002,345756.86
4210440_okand,2003,342542.56
4210440_okand,2004,348836.86
4210440_okand,2005,360135.94
4210440_okand,2006,368669.14
4210440_okand,2007,379159.54
4210440_okand,2008,386558.37
4210440_okand,2009,391389.48
