basomrade,year,cumulative_immigration_surplus_employed_aged_20_64_female
1140250_s_t_eriksplan,2011,29
1140250_s_t_eriksplan,2012,14
1140250_s_t_eriksplan,2013,31
1140250_s_t_eriksplan,2014,23
1210110_roslagstull,2000,24
1210110_roslagstull,2001,22
1210110_roslagstull,2002,6
1210110_roslagstull,2003,6
1210110_roslagstull,2004,6
1210110_roslagstull,2005,7
1210110_roslagstull,2006,-7
1210110_roslagstull,2007,43
1210110_roslagstull,2008,29
1210110_roslagstull,2009,58
1210110_roslagstull,2010,76
1210110_roslagstull,2011,84
1210110_roslagstull,2012,79
1210110_roslagstull,2013,58
1210110_roslagstull,2014,82
1210120_larkstaden,2000,7
1210120_larkstaden,2001,5
1210120_larkstaden,2002,-2
1210120_larkstaden,2003,-21
1210120_larkstaden,2004,-11
1210120_larkstaden,2005,17
1210120_larkstaden,2006,6
1210120_larkstaden,2007,-13
1210120_larkstaden,2008,3
1210120_larkstaden,2009,-4
1210120_larkstaden,2010,3
1210120_larkstaden,2011,-4
1210120_larkstaden,2012,-13
1210120_larkstaden,2013,-21
1210120_larkstaden,2014,-20
1210131_danderydsplan_v,2000,-7
1210131_danderydsplan_v,2001,-8
1210131_danderydsplan_v,2002,-1
1210131_danderydsplan_v,2003,12
1210131_danderydsplan_v,2004,3
1210131_danderydsplan_v,2005,8
1210131_danderydsplan_v,2006,8
1210131_danderydsplan_v,2007,8
1210131_danderydsplan_v,2008,24
1210131_danderydsplan_v,2009,25
1210131_danderydsplan_v,2010,22
1210131_danderydsplan_v,2011,15
1210131_danderydsplan_v,2012,11
1210131_danderydsplan_v,2013,15
1210131_danderydsplan_v,2014,45
1210132_danderydsplan_o,2000,19
1210132_danderydsplan_o,2001,19
1210132_danderydsplan_o,2002,8
1210132_danderydsplan_o,2003,14
1210132_danderydsplan_o,2004,27
1210132_danderydsplan_o,2005,18
1210132_danderydsplan_o,2006,19
1210132_danderydsplan_o,2007,30
1210132_danderydsplan_o,2008,37
1210132_danderydsplan_o,2009,36
1210132_danderydsplan_o,2010,29
1210132_danderydsplan_o,2011,49
1210132_danderydsplan_o,2012,62
1210132_danderydsplan_o,2013,57
1210132_danderydsplan_o,2014,66
1210140_eriksberg,2000,13
1210140_eriksberg,2001,10
1210140_eriksberg,2002,13
1210140_eriksberg,2003,11
1210140_eriksberg,2004,10
1210140_eriksberg,2005,18
1210140_eriksberg,2006,33
1210140_eriksberg,2007,29
1210140_eriksberg,2008,41
1210140_eriksberg,2009,67
1210140_eriksberg,2010,62
1210140_eriksberg,2011,70
1210140_eriksberg,2012,75
1210140_eriksberg,2013,67
1210140_eriksberg,2014,75
1210151_stureplan_o,2000,-2
1210151_stureplan_o,2001,0
1210151_stureplan_o,2002,1
1210151_stureplan_o,2003,4
1210151_stureplan_o,2004,-1
1210151_stureplan_o,2005,-4
1210151_stureplan_o,2006,-9
1210151_stureplan_o,2007,-9
1210151_stureplan_o,2008,-11
1210151_stureplan_o,2009,-8
1210151_stureplan_o,2010,-9
1210151_stureplan_o,2011,-12
1210151_stureplan_o,2012,-11
1210151_stureplan_o,2013,-17
1210151_stureplan_o,2014,-15
1210161_humlegarden_o,2000,8
1210161_humlegarden_o,2001,9
1210161_humlegarden_o,2002,6
1210161_humlegarden_o,2003,-8
1210161_humlegarden_o,2004,-4
1210161_humlegarden_o,2005,2
1210161_humlegarden_o,2006,2
1210161_humlegarden_o,2007,1
1210161_humlegarden_o,2008,-1
1210161_humlegarden_o,2009,-2
1210161_humlegarden_o,2010,-6
1210161_humlegarden_o,2011,-13
1210161_humlegarden_o,2012,-11
1210161_humlegarden_o,2013,1
1210161_humlegarden_o,2014,-2
1210171_stureparken_o,2000,-1
1210171_stureparken_o,2001,-1
1210171_stureparken_o,2002,-3
1210171_stureparken_o,2003,-2
1210171_stureparken_o,2004,5
1210171_stureparken_o,2005,17
1210171_stureparken_o,2006,20
1210171_stureparken_o,2007,26
1210171_stureparken_o,2008,24
1210171_stureparken_o,2009,21
1210171_stureparken_o,2010,30
1210171_stureparken_o,2011,27
1210171_stureparken_o,2012,40
1210171_stureparken_o,2013,44
1210171_stureparken_o,2014,46
1210172_stureparken_v,2000,0
1210172_stureparken_v,2001,16
1210172_stureparken_v,2002,13
1210172_stureparken_v,2003,9
1210172_stureparken_v,2004,14
1210172_stureparken_v,2005,11
1210172_stureparken_v,2006,19
1210172_stureparken_v,2007,21
1210172_stureparken_v,2008,22
1210172_stureparken_v,2009,25
1210172_stureparken_v,2010,34
1210172_stureparken_v,2011,32
1210172_stureparken_v,2012,30
1210172_stureparken_v,2013,33
1210172_stureparken_v,2014,34
1210210_roslagstulls_sjukhus,2000,-2
1210210_roslagstulls_sjukhus,2001,-3
1210210_roslagstulls_sjukhus,2002,-7
1210210_roslagstulls_sjukhus,2003,-26
1210210_roslagstulls_sjukhus,2004,-28
1210210_roslagstulls_sjukhus,2005,-24
1210210_roslagstulls_sjukhus,2006,-16
1210210_roslagstulls_sjukhus,2007,-3
1210210_roslagstulls_sjukhus,2008,-17
1210210_roslagstulls_sjukhus,2009,-37
1210210_roslagstulls_sjukhus,2010,-45
1210210_roslagstulls_sjukhus,2011,-48
1210210_roslagstulls_sjukhus,2012,-60
1210210_roslagstulls_sjukhus,2013,-80
1210210_roslagstulls_sjukhus,2014,-60
1210220_ostra_station,2000,0
1210220_ostra_station,2001,-16
1210220_ostra_station,2002,-39
1210220_ostra_station,2003,-94
1210220_ostra_station,2004,-120
1210220_ostra_station,2005,-135
1210220_ostra_station,2006,-165
1210220_ostra_station,2007,-185
1210220_ostra_station,2008,-210
1210220_ostra_station,2009,-237
1210220_ostra_station,2010,-264
1210220_ostra_station,2011,-302
1210220_ostra_station,2012,-330
1210220_ostra_station,2013,-310
1210220_ostra_station,2014,-345
1210320_ekhagen,2000,-34
1210320_ekhagen,2001,-68
1210320_ekhagen,2002,-141
1210320_ekhagen,2003,-211
1210320_ekhagen,2004,-321
1210320_ekhagen,2005,-367
1210320_ekhagen,2006,-449
1210320_ekhagen,2007,-536
1210320_ekhagen,2008,-625
1210320_ekhagen,2009,-719
1210320_ekhagen,2010,-779
1210320_ekhagen,2011,-857
1210320_ekhagen,2012,-921
1210320_ekhagen,2013,-995
1210320_ekhagen,2014,-1091
1210330_frescati,2000,-2
