basomrade,year,cumulative_immigration_surplus_male
1430180_rosenlund,2011,65
1430180_rosenlund,2012,57
1430180_rosenlund,2013,79
1430180_rosenlund,2014,95
1430210_mosebacke,2000,0
1430210_mosebacke,2001,16
1430210_mosebacke,2002,-12
1430210_mosebacke,2003,-20
1430210_mosebacke,2004,-20
1430210_mosebacke,2005,-22
1430210_mosebacke,2006,-34
1430210_mosebacke,2007,-59
1430210_mosebacke,2008,-67
1430210_mosebacke,2009,-78
1430210_mosebacke,2010,-60
1430210_mosebacke,2011,-75
1430210_mosebacke,2012,-104
1430210_mosebacke,2013,-117
1430210_mosebacke,2014,-128
1430220_ostra_aso,2000,44
1430220_ostra_aso,2001,64
1430220_ostra_aso,2002,14
1430220_ostra_aso,2003,14
1430220_ostra_aso,2004,16
1430220_ostra_aso,2005,28
1430220_ostra_aso,2006,0
1430220_ostra_aso,2007,-28
1430220_ostra_aso,2008,-2
1430220_ostra_aso,2009,-10
1430220_ostra_aso,2010,-39
1430220_ostra_aso,2011,-12
1430220_ostra_aso,2012,-39
1430220_ostra_aso,2013,-63
1430220_ostra_aso,2014,-127
1430230_katarina_kyrka,2000,-18
1430230_katarina_kyrka,2001,-64
1430230_katarina_kyrka,2002,-83
1430230_katarina_kyrka,2003,-18
1430230_katarina_kyrka,2004,-15
1430230_katarina_kyrka,2005,-23
1430230_katarina_kyrka,2006,-52
1430230_katarina_kyrka,2007,-31
1430230_katarina_kyrka,2008,-36
1430230_katarina_kyrka,2009,-47
1430230_katarina_kyrka,2010,-46
1430230_katarina_kyrka,2011,-78
1430230_katarina_kyrka,2012,-89
1430230_katarina_kyrka,2013,-110
1430230_katarina_kyrka,2014,-144
1430240_bjurholmsplan,2000,-56
1430240_bjurholmsplan,2001,-53
1430240_bjurholmsplan,2002,-74
1430240_bjurholmsplan,2003,-78
1430240_bjurholmsplan,2004,-118
1430240_bjurholmsplan,2005,-142
1430240_bjurholmsplan,2006,-187
1430240_bjurholmsplan,2007,-206
1430240_bjurholmsplan,2008,-275
1430240_bjurholmsplan,2009,-299
1430240_bjurholmsplan,2010,-298
1430240_bjurholmsplan,2011,-332
1430240_bjurholmsplan,2012,-397
1430240_bjurholmsplan,2013,-410
1430240_bjurholmsplan,2014,-432
1430250_nytorget,2000,18
1430250_nytorget,2001,57
1430250_nytorget,2002,22
1430250_nytorget,2003,8
1430250_nytorget,2004,-23
1430250_nytorget,2005,-22
1430250_nytorget,2006,-31
1430250_nytorget,2007,-18
1430250_nytorget,2008,-17
1430250_nytorget,2009,0
1430250_nytorget,2010,-27
1430250_nytorget,2011,-103
1430250_nytorget,2012,-59
1430250_nytorget,2013,-89
1430250_nytorget,2014,-125
1440110_ersta,2000,7
1440110_ersta,2001,-6
1440110_ersta,2002,-5
1440110_ersta,2003,-2
1440110_ersta,2004,-2
1440110_ersta,2005,-13
1440110_ersta,2006,-19
1440110_ersta,2007,-9
1440110_ersta,2008,-14
1440110_ersta,2009,-28
1440110_ersta,2010,-4
1440110_ersta,2011,-1
1440110_ersta,2012,2
1440110_ersta,2013,7
1440110_ersta,2014,7
1440120_sofia_kyrka,2000,60
1440120_sofia_kyrka,2001,58
1440120_sofia_kyrka,2002,46
1440120_sofia_kyrka,2003,-18
1440120_sofia_kyrka,2004,-13
1440120_sofia_kyrka,2005,-3
1440120_sofia_kyrka,2006,-59
1440120_sofia_kyrka,2007,-93
1440120_sofia_kyrka,2008,-87
1440120_sofia_kyrka,2009,-90
1440120_sofia_kyrka,2010,-141
1440120_sofia_kyrka,2011,-140
1440120_sofia_kyrka,2012,-170
1440120_sofia_kyrka,2013,-117
1440120_sofia_kyrka,2014,-146
1440210_tullgarden,2000,-31
1440210_tullgarden,2001,-19
1440210_tullgarden,2002,-8
1440210_tullgarden,2003,-11
1440210_tullgarden,2004,-11
1440210_tullgarden,2005,-18
1440210_tullgarden,2006,-9
1440210_tullgarden,2007,-13
1440210_tullgarden,2008,-24
1440210_tullgarden,2009,-51
1440210_tullgarden,2010,-49
1440210_tullgarden,2011,-59
1440210_tullgarden,2012,-69
1440210_tullgarden,2013,-64
1440210_tullgarden,2014,-49
1440220_vita_bergen,2000,-15
1440220_vita_bergen,2001,-27
1440220_vita_bergen,2002,-51
1440220_vita_bergen,2003,-127
1440220_vita_bergen,2004,-92
1440220_vita_bergen,2005,-73
1440220_vita_bergen,2006,-27
1440220_vita_bergen,2007,41
1440220_vita_bergen,2008,137
1440220_vita_bergen,2009,113
1440220_vita_bergen,2010,127
1440220_vita_bergen,2011,140
1440220_vita_bergen,2012,130
1440220_vita_bergen,2013,134
1440220_vita_bergen,2014,142
1440230_blecktornet,2000,1
1440230_blecktornet,2001,6
1440230_blecktornet,2002,-14
1440230_blecktornet,2003,-23
1440230_blecktornet,2004,-9
1440230_blecktornet,2005,-14
1440230_blecktornet,2006,-1
1440230_blecktornet,2007,1
1440230_blecktornet,2008,-9
1440230_blecktornet,2009,-27
1440230_blecktornet,2010,-19
1440230_blecktornet,2011,-8
1440230_blecktornet,2012,-18
1440230_blecktornet,2013,-28
1440230_blecktornet,2014,-22
1440240_vintertullen,2000,-3
1440240_vintertullen,2001,10
1440240_vintertullen,2002,13
1440240_vintertullen,2003,14
1440240_vintertullen,2004,37
1440240_vintertullen,2005,34
1440240_vintertullen,2006,41
1440240_vintertullen,2007,43
1440240_vintertullen,2008,53
1440240_vintertullen,2009,70
1440240_vintertullen,2010,71
1440240_vintertullen,2011,86
1440240_vintertullen,2012,93
1440240_vintertullen,2013,99
1440240_vintertullen,2014,109
1440250_barnangen,2000,155
1440250_barnangen,2001,155
1440250_barnangen,2002,150
1440250_barnangen,2003,194
1440250_barnangen,2004,238
1440250_barnangen,2005,264
1440250_barnangen,2006,279
1440250_barnangen,2007,269
1440250_barnangen,2008,246
1440250_barnangen,2009,239
1440250_barnangen,2010,227
1440250_barnangen,2011,244
1440250_barnangen,2012,243
1440250_barnangen,2013,223
1440250_barnangen,2014,212
1440260_mjardgrand,2000,9
1440260_mjardgrand,2001,-4
1440260_mjardgrand,2002,-41
1440260_mjardgrand,2003,-65
1440260_mjardgrand,2004,-81
1440260_mjardgrand,2005,-100
1440260_mjardgrand,2006,-113
1440260_mjardgrand,2007,-126
1440260_mjardgrand,2008,-136
1440260_mjardgrand,2009,-148
1440260_mjardgrand,2010,-142
1440260_mjardgrand,2011,-137
1440260_mjardgrand,2012,-149
1440260_mjardgrand,2013,-145
1440260_mjardgrand,2014,-164
1440311_danviken_n,2000,-17
1440311_danviken_n,2001,-10
1440311_danviken_n,2002,-15
1440311_danviken_n,2003,-38
1440311_danviken_n,2004,-14
1440311_danviken_n,2005,-9
1440311_danviken_n,2006,-15
1440311_danviken_n,2007,-12
1440311_danviken_n,2008,-24
1440311_danviken_n,2009,61
1440311_danviken_n,2010,285
1440311_danviken_n,2011,556
1440311_danviken_n,2012,801
1440311_danviken_n,2013,928
1440311_danviken_n,2014,901
1440312_danviken_s,2000,18
1440312_danviken_s,2001,314
1440312_danviken_s,2002,759
1440312_danviken_s,2003,1136
1440312_danviken_s,2004,1210
1440312_danviken_s,2005,1445
1440312_danviken_s,2006,1459
1440312_danviken_s,2007,1673
1440312_danviken_s,2008,1894
1440312_danviken_s,2009,1865
1440312_danviken_s,2010,1823
1440312_danviken_s,2011,1784
1440312_danviken_s,2012,1655
1440312_danviken_s,2013,1600
1440312_danviken_s,2014,1538
2110120_sankt_sigfrid,2000,29
2110120_sankt_sigfrid,2001,44
2110120_sankt_sigfrid,2002,31
2110120_sankt_sigfrid,2003,49
2110120_sankt_sigfrid,2004,-14
2110120_sankt_sigfrid,2005,-9
2110120_sankt_sigfrid,2006,-47
2110120_sankt_sigfrid,2007,-85
2110120_sankt_sigfrid,2008,-118
2110120_sankt_sigfrid,2009,-128
2110120_sankt_sigfrid,2010,-100
2110120_sankt_sigfrid,2011,-99
2110120_sankt_sigfrid,2012,-131
2110120_sankt_sigfrid,2013,-139
2110120_sankt_sigfrid,2014,-163
2110130_ornsberg_nord_ost,2000,-2
2110130_ornsberg_nord_ost,2001,0
2110130_ornsberg_nord_ost,2002,-18
2110130_ornsberg_nord_ost,2003,-19
2110130_ornsberg_nord_ost,2004,-15
2110130_ornsberg_nord_ost,2005,-7
2110130_ornsberg_nord_ost,2006,-24
2110130_ornsberg_nord_ost,2007,-14
2110130_ornsberg_nord_ost,2008,-9
2110130_ornsberg_nord_ost,2009,-9
2110130_ornsberg_nord_ost,2010,40
2110130_ornsberg_nord_ost,2011,21
2110130_ornsberg_nord_ost,2012,21
2110130_ornsberg_nord_ost,2013,0
2110130_ornsberg_nord_ost,2014,-3
2110140_vinterviken,2000,1
2110140_vinterviken,2001,14
2110140_vinterviken,2002,19
2110140_vinterviken,2003,30
2110140_vinterviken,2004,47
2110140_vinterviken,2005,38
2110140_vinterviken,2006,28
2110140_vinterviken,2007,21
2110140_vinterviken,2008,-8
2110140_vinterviken,2009,12
2110140_vinterviken,2010,11
2110140_vinterviken,2011,0
2110140_vinterviken,2012,-53
2110140_vinterviken,2013,-80
2110140_vinterviken,2014,-83
2110150_ornsberg_syd_ost,2000,-5
2110150_ornsberg_syd_ost,2001,-8
2110150_ornsberg_syd_ost,2002,-9
2110150_ornsberg_syd_ost,2003,-14
2110150_ornsberg_syd_ost,2004,-12
2110150_ornsberg_syd_ost,2005,-15
2110150_ornsberg_syd_ost,2006,-17
2110150_ornsberg_syd_ost,2007,-18
2110150_ornsberg_syd_ost,2008,-27
2110150_ornsberg_syd_ost,2009,-29
2110150_ornsberg_syd_ost,2010,-23
2110150_ornsberg_syd_ost,2011,-27
2110150_ornsberg_syd_ost,2012,-24
2110150_ornsberg_syd_ost,2013,-22
2110150_ornsberg_syd_ost,2014,-15
2110220_ostra_grondal,2000,-31
2110220_ostra_grondal,2001,-28
2110220_ostra_grondal,2002,14
2110220_ostra_grondal,2003,60
2110220_ostra_grondal,2004,108
2110220_ostra_grondal,2005,135
2110220_ostra_grondal,2006,109
2110220_ostra_grondal,2007,17
2110220_ostra_grondal,2008,18
2110220_ostra_grondal,2009,67
2110220_ostra_grondal,2010,92
2110220_ostra_grondal,2011,87
2110220_ostra_grondal,2012,17
2110220_ostra_grondal,2013,-56
2110220_ostra_grondal,2014,-98
2110230_ekensberg,2000,10
2110230_ekensberg,2001,-3
2110230_ekensberg,2002,-3
2110230_ekensberg,2003,-14
2110230_ekensberg,2004,-25
2110230_ekensberg,2005,-41
2110230_ekensberg,2006,-52
2110230_ekensberg,2007,-48
2110230_ekensberg,2008,-12
2110230_ekensberg,2009,-11
2110230_ekensberg,2010,-22
2110230_ekensberg,2011,-37
2110230_ekensberg,2012,-29
2110230_ekensberg,2013,-43
2110230_ekensberg,2014,-40
2110310_axelbergs_torg,2000,18
2110310_axelbergs_torg,2001,24
2110310_axelbergs_torg,2002,39
2110310_axelbergs_torg,2003,53
2110310_axelbergs_torg,2004,62
2110310_axelbergs_torg,2005,62
2110310_axelbergs_torg,2006,68
2110310_axelbergs_torg,2007,76
2110310_axelbergs_torg,2008,81
2110310_axelbergs_torg,2009,80
2110310_axelbergs_torg,2010,86
2110310_axelbergs_torg,2011,110
2110310_axelbergs_torg,2012,106
2110310_axelbergs_torg,2013,104
2110310_axelbergs_torg,2014,97
2110320_klubbacken,2000,-19
2110320_klubbacken,2001,-7
2110320_klubbacken,2002,-3
2110320_klubbacken,2003,-27
2110320_klubbacken,2004,-51
2110320_klubbacken,2005,-66
2110320_klubbacken,2006,-72
2110320_klubbacken,2007,-77
2110320_klubbacken,2008,-56
2110320_klubbacken,2009,-53
2110320_klubbacken,2010,-16
2110320_klubbacken,2011,-28
2110320_klubbacken,2012,-42
2110320_klubbacken,2013,-52
2110320_klubbacken,2014,-61
2110330_axelsberg_syd_ost,2000,-5
2110330_axelsberg_syd_ost,2001,-15
2110330_axelsberg_syd_ost,2002,-1
2110330_axelsberg_syd_ost,2003,-20
2110330_axelsberg_syd_ost,2004,-18
2110330_axelsberg_syd_ost,2005,-22
2110330_axelsberg_syd_ost,2006,-17
2110330_axelsberg_syd_ost,2007,-25
2110330_axelsberg_syd_ost,2008,-15
2110330_axelsberg_syd_ost,2009,-17
2110330_axelsberg_syd_ost,2010,44
2110330_axelsberg_syd_ost,2011,141
2110330_axelsberg_syd_ost,2012,141
2110330_axelsberg_syd_ost,2013,143
2110330_axelsberg_syd_ost,2014,150
2110340_stensborg,2000,-3
2110340_stensborg,2001,5
2110340_stensborg,2002,12
2110340_stensborg,2003,-2
2110340_stensborg,2004,4
2110340_stensborg,2005,7
2110340_stensborg,2006,18
2110340_stensborg,2007,21
2110340_stensborg,2008,25
2110340_stensborg,2009,15
2110340_stensborg,2010,36
2110340_stensborg,2011,38
2110340_stensborg,2012,33
2110340_stensborg,2013,31
2110340_stensborg,2014,18
2110350_sankt_mickelsgatan,2000,-15
2110350_sankt_mickelsgatan,2001,-9
2110350_sankt_mickelsgatan,2002,-39
2110350_sankt_mickelsgatan,2003,-46
2110350_sankt_mickelsgatan,2004,-44
2110350_sankt_mickelsgatan,2005,-45
2110350_sankt_mickelsgatan,2006,-54
2110350_sankt_mickelsgatan,2007,-52
2110350_sankt_mickelsgatan,2008,-47
2110350_sankt_mickelsgatan,2009,-58
2110350_sankt_mickelsgatan,2010,-43
2110350_sankt_mickelsgatan,2011,-57
2110350_sankt_mickelsgatan,2012,-75
2110350_sankt_mickelsgatan,2013,-60
2110350_sankt_mickelsgatan,2014,-55
2110370_ornsberg_syd_vast,2000,12
2110370_ornsberg_syd_vast,2001,-11
2110370_ornsberg_syd_vast,2002,-15
2110370_ornsberg_syd_vast,2003,-23
2110370_ornsberg_syd_vast,2004,-22
2110370_ornsberg_syd_vast,2005,-17
2110370_ornsberg_syd_vast,2006,-25
2110370_ornsberg_syd_vast,2007,-39
2110370_ornsberg_syd_vast,2008,-37
2110370_ornsberg_syd_vast,2009,-47
2110370_ornsberg_syd_vast,2010,-38
2110370_ornsberg_syd_vast,2011,-36
2110370_ornsberg_syd_vast,2012,-30
2110370_ornsberg_syd_vast,2013,-35
2110370_ornsberg_syd_vast,2014,-30
2110380_hagerstenshamnen,2000,23
2110380_hagerstenshamnen,2001,12
2110380_hagerstenshamnen,2002,10
2110380_hagerstenshamnen,2003,2
2110380_hagerstenshamnen,2004,-11
2110380_hagerstenshamnen,2005,-11
2110380_hagerstenshamnen,2006,-14
2110380_hagerstenshamnen,2007,-21
2110380_hagerstenshamnen,2008,-29
2110380_hagerstenshamnen,2009,-22
2110380_hagerstenshamnen,2010,-18
2110380_hagerstenshamnen,2011,-24
2110380_hagerstenshamnen,2012,-37
2110380_hagerstenshamnen,2013,-51
2110380_hagerstenshamnen,2014,-42
2110390_axelsberg_nord,2000,-32
2110390_axelsberg_nord,2001,-38
2110390_axelsberg_nord,2002,-41
2110390_axelsberg_nord,2003,-57
2110390_axelsberg_nord,2004,-58
2110390_axelsberg_nord,2005,-55
2110390_axelsberg_nord,2006,-48
2110390_axelsberg_nord,2007,-39
2110390_axelsberg_nord,2008,-15
2110390_axelsberg_nord,2009,-14
2110390_axelsberg_nord,2010,-12
2110390_axelsberg_nord,2011,-3
2110390_axelsberg_nord,2012,-17
2110390_axelsberg_nord,2013,-21
2110390_axelsberg_nord,2014,-40
2110520_norra_hagerstensasen,2000,-15
2110520_norra_hagerstensasen,2001,6
2110520_norra_hagerstensasen,2002,-6
2110520_norra_hagerstensasen,2003,-31
2110520_norra_hagerstensasen,2004,-40
2110520_norra_hagerstensasen,2005,-22
2110520_norra_hagerstensasen,2006,15
2110520_norra_hagerstensasen,2007,2
2110520_norra_hagerstensasen,2008,0
2110520_norra_hagerstensasen,2009,-56
2110520_norra_hagerstensasen,2010,-44
2110520_norra_hagerstensasen,2011,-78
2110520_norra_hagerstensasen,2012,-98
2110520_norra_hagerstensasen,2013,-104
2110520_norra_hagerstensasen,2014,-97
2110530_sodra_hagerstensasen,2000,56
2110530_sodra_hagerstensasen,2001,48
2110530_sodra_hagerstensasen,2002,29
2110530_sodra_hagerstensasen,2003,55
2110530_sodra_hagerstensasen,2004,49
2110530_sodra_hagerstensasen,2005,-18
2110530_sodra_hagerstensasen,2006,5
2110530_sodra_hagerstensasen,2007,20
2110530_sodra_hagerstensasen,2008,-17
2110530_sodra_hagerstensasen,2009,-26
2110530_sodra_hagerstensasen,2010,18
2110530_sodra_hagerstensasen,2011,16
2110530_sodra_hagerstensasen,2012,-17
2110530_sodra_hagerstensasen,2013,-23
2110530_sodra_hagerstensasen,2014,-103
2110620_nybohov,2000,16
2110620_nybohov,2001,23
2110620_nybohov,2002,24
2110620_nybohov,2003,13
2110620_nybohov,2004,-2
2110620_nybohov,2005,-6
2110620_nybohov,2006,15
2110620_nybohov,2007,116
2110620_nybohov,2008,180
2110620_nybohov,2009,249
2110620_nybohov,2010,244
2110620_nybohov,2011,214
2110620_nybohov,2012,228
2110620_nybohov,2013,181
2110620_nybohov,2014,163
2110650_liljeholmsberget,2000,11
2110650_liljeholmsberget,2001,4
2110650_liljeholmsberget,2002,5
2110650_liljeholmsberget,2003,4
2110650_liljeholmsberget,2004,-4
2110650_liljeholmsberget,2005,-11
2110650_liljeholmsberget,2006,-20
2110650_liljeholmsberget,2007,-16
2110650_liljeholmsberget,2008,-19
2110650_liljeholmsberget,2009,-25
2110650_liljeholmsberget,2010,-28
2110650_liljeholmsberget,2011,-33
2110650_liljeholmsberget,2012,-33
2110650_liljeholmsberget,2013,-33
2110650_liljeholmsberget,2014,-40
2110660_lovholmen,2000,4
2110660_lovholmen,2001,7
2110660_lovholmen,2002,5
2110660_lovholmen,2003,65
2110660_lovholmen,2004,190
2110660_lovholmen,2005,236
2110660_lovholmen,2006,319
2110660_lovholmen,2007,323
2110660_lovholmen,2008,350
2110660_lovholmen,2009,360
2110660_lovholmen,2010,428
2110660_lovholmen,2011,402
2110660_lovholmen,2012,384
2110660_lovholmen,2013,400
2110660_lovholmen,2014,480
2110681_nyboda_o,2000,23
2110681_nyboda_o,2001,34
2110681_nyboda_o,2002,30
2110681_nyboda_o,2003,102
2110681_nyboda_o,2004,314
2110681_nyboda_o,2005,512
2110681_nyboda_o,2006,965
2110681_nyboda_o,2007,1153
2110681_nyboda_o,2008,1296
2110681_nyboda_o,2009,1575
2110681_nyboda_o,2010,1662
2110681_nyboda_o,2011,1800
2110681_nyboda_o,2012,1892
2110681_nyboda_o,2013,1943
2110681_nyboda_o,2014,2027
2110720_svandammen,2000,51
2110720_svandammen,2001,14
2110720_svandammen,2002,-19
2110720_svandammen,2003,-41
2110720_svandammen,2004,-64
2110720_svandammen,2005,0
2110720_svandammen,2006,-5
2110720_svandammen,2007,-50
2110720_svandammen,2008,-2
2110720_svandammen,2009,27
2110720_svandammen,2010,-13
2110720_svandammen,2011,-110
2110720_svandammen,2012,-104
2110720_svandammen,2013,-132
2110720_svandammen,2014,-197
2110730_fastlagsvagen,2000,-9
2110730_fastlagsvagen,2001,-4
2110730_fastlagsvagen,2002,-29
2110730_fastlagsvagen,2003,-23
2110730_fastlagsvagen,2004,-54
2110730_fastlagsvagen,2005,-75
2110730_fastlagsvagen,2006,-124
2110730_fastlagsvagen,2007,20
2110730_fastlagsvagen,2008,66
2110730_fastlagsvagen,2009,31
2110730_fastlagsvagen,2010,2
2110730_fastlagsvagen,2011,-9
2110730_fastlagsvagen,2012,-40
2110730_fastlagsvagen,2013,31
2110730_fastlagsvagen,2014,99
2110740_telefonplan,2000,9
2110740_telefonplan,2001,0
2110740_telefonplan,2002,25
2110740_telefonplan,2003,20
2110740_telefonplan,2004,4
2110740_telefonplan,2005,-2
2110740_telefonplan,2006,4
2110740_telefonplan,2007,31
2110740_telefonplan,2008,29
2110740_telefonplan,2009,41
2110740_telefonplan,2010,58
2110740_telefonplan,2011,65
2110740_telefonplan,2012,73
2110740_telefonplan,2013,77
2110740_telefonplan,2014,65
2110810_norra_malarhojden,2000,19
2110810_norra_malarhojden,2001,41
2110810_norra_malarhojden,2002,10
2110810_norra_malarhojden,2003,0
2110810_norra_malarhojden,2004,9
2110810_norra_malarhojden,2005,40
2110810_norra_malarhojden,2006,52
2110810_norra_malarhojden,2007,50
2110810_norra_malarhojden,2008,48
2110810_norra_malarhojden,2009,56
2110810_norra_malarhojden,2010,43
2110810_norra_malarhojden,2011,29
2110810_norra_malarhojden,2012,38
2110810_norra_malarhojden,2013,52
2110810_norra_malarhojden,2014,29
2110820_gulddragaren,2000,-8
2110820_gulddragaren,2001,-22
2110820_gulddragaren,2002,-17
2110820_gulddragaren,2003,-17
2110820_gulddragaren,2004,-32
2110820_gulddragaren,2005,-32
2110820_gulddragaren,2006,-41
2110820_gulddragaren,2007,-49
2110820_gulddragaren,2008,-56
2110820_gulddragaren,2009,-67
2110820_gulddragaren,2010,-67
2110820_gulddragaren,2011,-72
2110820_gulddragaren,2012,-74
2110820_gulddragaren,2013,-94
2110820_gulddragaren,2014,-99
2110920_karusellvagen,2000,-50
2110920_karusellvagen,2001,-99
2110920_karusellvagen,2002,-159
2110920_karusellvagen,2003,-201
2110920_karusellvagen,2004,-269
2110920_karusellvagen,2005,-415
2110920_karusellvagen,2006,-404
2110920_karusellvagen,2007,-381
2110920_karusellvagen,2008,-398
2110920_karusellvagen,2009,-407
2110920_karusellvagen,2010,-420
2110920_karusellvagen,2011,-315
2110920_karusellvagen,2012,-386
2110920_karusellvagen,2013,-392
2110920_karusellvagen,2014,-414
2110930_korpmossen,2000,-3
2110930_korpmossen,2001,-3
2110930_korpmossen,2002,-7
2110930_korpmossen,2003,-1
2110930_korpmossen,2004,5
2110930_korpmossen,2005,11
2110930_korpmossen,2006,2
2110930_korpmossen,2007,31
2110930_korpmossen,2008,30
2110930_korpmossen,2009,24
2110930_korpmossen,2010,24
2110930_korpmossen,2011,17
2110930_korpmossen,2012,28
2110930_korpmossen,2013,25
2110930_korpmossen,2014,24
2110940_hokmossen,2000,-35
2110940_hokmossen,2001,-86
2110940_hokmossen,2002,-63
2110940_hokmossen,2003,-53
2110940_hokmossen,2004,-74
2110940_hokmossen,2005,-88
2110940_hokmossen,2006,-89
2110940_hokmossen,2007,-107
2110940_hokmossen,2008,-109
2110940_hokmossen,2009,-110
2110940_hokmossen,2010,-119
2110940_hokmossen,2011,-142
2110940_hokmossen,2012,-162
2110940_hokmossen,2013,-180
2110940_hokmossen,2014,-184
2120100_fruangen,2000,-14
2120100_fruangen,2001,-36
2120100_fruangen,2002,-26
2120100_fruangen,2003,-59
2120100_fruangen,2004,-139
2120100_fruangen,2005,-285
2120100_fruangen,2006,-260
2120100_fruangen,2007,-113
2120100_fruangen,2008,-98
2120100_fruangen,2009,-4
2120100_fruangen,2010,95
2120100_fruangen,2011,286
2120100_fruangen,2012,454
2120100_fruangen,2013,576
2120100_fruangen,2014,1032
2120201_herrangen_v,2000,21
2120201_herrangen_v,2001,7
2120201_herrangen_v,2002,-26
2120201_herrangen_v,2003,10
2120201_herrangen_v,2004,10
2120201_herrangen_v,2005,4
2120201_herrangen_v,2006,7
2120201_herrangen_v,2007,4
2120201_herrangen_v,2008,22
2120201_herrangen_v,2009,41
2120201_herrangen_v,2010,68
2120201_herrangen_v,2011,71
2120201_herrangen_v,2012,74
2120201_herrangen_v,2013,73
2120201_herrangen_v,2014,75
2120202_herrangen_o,2000,5
2120202_herrangen_o,2001,13
2120202_herrangen_o,2002,16
2120202_herrangen_o,2003,14
2120202_herrangen_o,2004,20
2120202_herrangen_o,2005,39
2120202_herrangen_o,2006,36
2120202_herrangen_o,2007,26
2120202_herrangen_o,2008,29
2120202_herrangen_o,2009,33
2120202_herrangen_o,2010,41
2120202_herrangen_o,2011,47
2120202_herrangen_o,2012,48
2120202_herrangen_o,2013,43
2120202_herrangen_o,2014,38
2120300_liseberg,2000,22
2120300_liseberg,2001,27
2120300_liseberg,2002,43
2120300_liseberg,2003,31
2120300_liseberg,2004,40
2120300_liseberg,2005,57
2120300_liseberg,2006,94
2120300_liseberg,2007,74
2120300_liseberg,2008,78
2120300_liseberg,2009,80
2120300_liseberg,2010,56
2120300_liseberg,2011,42
2120300_liseberg,2012,33
2120300_liseberg,2013,56
2120300_liseberg,2014,50
2120401_langbro_v,2000,3
2120401_langbro_v,2001,15
2120401_langbro_v,2002,99
2120401_langbro_v,2003,97
2120401_langbro_v,2004,160
2120401_langbro_v,2005,241
2120401_langbro_v,2006,270
2120401_langbro_v,2007,413
2120401_langbro_v,2008,519
2120401_langbro_v,2009,507
2120401_langbro_v,2010,590
2120401_langbro_v,2011,632
2120401_langbro_v,2012,783
2120401_langbro_v,2013,894
2120401_langbro_v,2014,921
2120402_langbro_o,2000,-19
2120402_langbro_o,2001,-39
2120402_langbro_o,2002,-34
2120402_langbro_o,2003,-46
2120402_langbro_o,2004,-59
2120402_langbro_o,2005,-22
2120402_langbro_o,2006,-53
2120402_langbro_o,2007,-49
2120402_langbro_o,2008,-43
2120402_langbro_o,2009,-45
2120402_langbro_o,2010,-66
2120402_langbro_o,2011,-9
2120402_langbro_o,2012,0
2120402_langbro_o,2013,-41
2120402_langbro_o,2014,-25
2120500_langsjo,2000,-5
2120500_langsjo,2001,-15
2120500_langsjo,2002,4
2120500_langsjo,2003,-24
2120500_langsjo,2004,-9
2120500_langsjo,2005,-9
2120500_langsjo,2006,11
2120500_langsjo,2007,8
2120500_langsjo,2008,-5
2120500_langsjo,2009,-3
2120500_langsjo,2010,-8
2120500_langsjo,2011,16
2120500_langsjo,2012,-16
2120500_langsjo,2013,-15
2120500_langsjo,2014,28
2120620_norra_solberga,2000,17
2120620_norra_solberga,2001,2
2120620_norra_solberga,2002,-12
2120620_norra_solberga,2003,-15
2120620_norra_solberga,2004,-32
2120620_norra_solberga,2005,-52
2120620_norra_solberga,2006,-46
2120620_norra_solberga,2007,-51
2120620_norra_solberga,2008,-23
2120620_norra_solberga,2009,153
2120620_norra_solberga,2010,194
2120620_norra_solberga,2011,223
2120620_norra_solberga,2012,166
2120620_norra_solberga,2013,155
2120620_norra_solberga,2014,105
2120630_vastra_solberga,2000,-2
2120630_vastra_solberga,2001,-7
2120630_vastra_solberga,2002,-8
2120630_vastra_solberga,2003,-18
2120630_vastra_solberga,2004,-20
2120630_vastra_solberga,2005,35
2120630_vastra_solberga,2006,-22
2120630_vastra_solberga,2007,-40
2120630_vastra_solberga,2008,-66
2120630_vastra_solberga,2009,-59
2120630_vastra_solberga,2010,-55
2120630_vastra_solberga,2011,-186
2120630_vastra_solberga,2012,-188
2120630_vastra_solberga,2013,-191
2120630_vastra_solberga,2014,-200
2120660_sodra_solberga,2000,20
2120660_sodra_solberga,2001,31
2120660_sodra_solberga,2002,37
2120660_sodra_solberga,2003,72
2120660_sodra_solberga,2004,138
2120660_sodra_solberga,2005,154
2120660_sodra_solberga,2006,191
2120660_sodra_solberga,2007,224
2120660_sodra_solberga,2008,410
2120660_sodra_solberga,2009,391
2120660_sodra_solberga,2010,413
2120660_sodra_solberga,2011,394
2120660_sodra_solberga,2012,494
2120660_sodra_solberga,2013,593
2120660_sodra_solberga,2014,576
2120700_vastertorp,2000,130
2120700_vastertorp,2001,116
2120700_vastertorp,2002,138
2120700_vastertorp,2003,88
2120700_vastertorp,2004,117
2120700_vastertorp,2005,133
2120700_vastertorp,2006,144
2120700_vastertorp,2007,112
2120700_vastertorp,2008,194
2120700_vastertorp,2009,439
2120700_vastertorp,2010,492
2120700_vastertorp,2011,550
2120700_vastertorp,2012,594
2120700_vastertorp,2013,535
2120700_vastertorp,2014,527
2120820_vastra_alvsjo,2000,-1
2120820_vastra_alvsjo,2001,-2
2120820_vastra_alvsjo,2002,-13
2120820_vastra_alvsjo,2003,-12
2120820_vastra_alvsjo,2004,-29
2120820_vastra_alvsjo,2005,-35
