basomrade,year,employment_rate_aged_20_64_male
4133910_fresta_norra_glesbygd,2014,0.89412
4133920_fresta_sodra_glesbygd,2000,0.84091
4133920_fresta_sodra_glesbygd,2001,0.76087
4133920_fresta_sodra_glesbygd,2002,0.85714
4133920_fresta_sodra_glesbygd,2003,0.78049
4133920_fresta_sodra_glesbygd,2004,0.85714
4133920_fresta_sodra_glesbygd,2005,0.86364
4133920_fresta_sodra_glesbygd,2006,0.91111
4133920_fresta_sodra_glesbygd,2007,0.86667
4133920_fresta_sodra_glesbygd,2008,0.86047
4133920_fresta_sodra_glesbygd,2009,0.86364
4133920_fresta_sodra_glesbygd,2010,0.82609
4133920_fresta_sodra_glesbygd,2011,0.82
4133920_fresta_sodra_glesbygd,2012,0.86792
4133920_fresta_sodra_glesbygd,2013,0.89091
4133920_fresta_sodra_glesbygd,2014,0.85965
4210110_centrala_vallentuna,2000,0.80278
4210110_centrala_vallentuna,2001,0.8092
4210110_centrala_vallentuna,2002,0.80994
4210110_centrala_vallentuna,2003,0.79292
4210110_centrala_vallentuna,2004,0.80359
4210110_centrala_vallentuna,2005,0.77381
4210110_centrala_vallentuna,2006,0.78105
4210110_centrala_vallentuna,2007,0.80507
4210110_centrala_vallentuna,2008,0.80089
4210110_centrala_vallentuna,2009,0.78057
4210110_centrala_vallentuna,2010,0.79585
4210110_centrala_vallentuna,2011,0.79351
4210110_centrala_vallentuna,2012,0.79487
4210110_centrala_vallentuna,2013,0.78587
4210110_centrala_vallentuna,2014,0.76439
4210210_norra_vallentuna_tatort,2000,0.85646
4210210_norra_vallentuna_tatort,2001,0.84161
4210210_norra_vallentuna_tatort,2002,0.85133
4210210_norra_vallentuna_tatort,2003,0.81759
4210210_norra_vallentuna_tatort,2004,0.81987
4210210_norra_vallentuna_tatort,2005,0.80442
4210210_norra_vallentuna_tatort,2006,0.81787
4210210_norra_vallentuna_tatort,2007,0.82759
4210210_norra_vallentuna_tatort,2008,0.84375
4210210_norra_vallentuna_tatort,2009,0.79897
4210210_norra_vallentuna_tatort,2010,0.7862
4210210_norra_vallentuna_tatort,2011,0.81403
4210210_norra_vallentuna_tatort,2012,0.81198
4210210_norra_vallentuna_tatort,2013,0.82167
4210210_norra_vallentuna_tatort,2014,0.83797
4210220_nv_a_vallentuna_tatort,2000,0.86504
4210220_nv_a_vallentuna_tatort,2001,0.88341
4210220_nv_a_vallentuna_tatort,2002,0.89278
4210220_nv_a_vallentuna_tatort,2003,0.88158
4210220_nv_a_vallentuna_tatort,2004,0.88027
4210220_nv_a_vallentuna_tatort,2005,0.89038
4210220_nv_a_vallentuna_tatort,2006,0.89738
4210220_nv_a_vallentuna_tatort,2007,0.89729
4210220_nv_a_vallentuna_tatort,2008,0.90275
4210220_nv_a_vallentuna_tatort,2009,0.90877
4210220_nv_a_vallentuna_tatort,2010,0.92617
4210220_nv_a_vallentuna_tatort,2011,0.93031
4210220_nv_a_vallentuna_tatort,2012,0.92332
4210220_nv_a_vallentuna_tatort,2013,0.92343
4210220_nv_a_vallentuna_tatort,2014,0.91781
4210320_ostra_ormsta,2000,0.89258
4210320_ostra_ormsta,2001,0.87978
4210320_ostra_ormsta,2002,0.89253
4210320_ostra_ormsta,2003,0.88829
4210320_ostra_ormsta,2004,0.88988
4210320_ostra_ormsta,2005,0.87796
4210320_ostra_ormsta,2006,0.90584
4210320_ostra_ormsta,2007,0.88993
4210320_ostra_ormsta,2008,0.88555
4210320_ostra_ormsta,2009,0.88433
4210320_ostra_ormsta,2010,0.91497
4210320_ostra_ormsta,2011,0.87928
4210320_ostra_ormsta,2012,0.89502
4210320_ostra_ormsta,2013,0.90345
4210320_ostra_ormsta,2014,0.89983
4210330_vastra_ormsta,2000,0.89379
4210330_vastra_ormsta,2001,0.88795
4210330_vastra_ormsta,2002,0.9087
4210330_vastra_ormsta,2003,0.89633
4210330_vastra_ormsta,2004,0.90196
4210330_vastra_ormsta,2005,0.89648
4210330_vastra_ormsta,2006,0.86344
4210330_vastra_ormsta,2007,0.86637
4210330_vastra_ormsta,2008,0.85185
4210330_vastra_ormsta,2009,0.84211
4210330_vastra_ormsta,2010,0.85504
4210330_vastra_ormsta,2011,0.86441
4210330_vastra_ormsta,2012,0.84144
4210330_vastra_ormsta,2013,0.87578
4210330_vastra_ormsta,2014,0.85193
4210340_aby_bostadsomr,2000,0.68201
4210340_aby_bostadsomr,2001,0.6902
4210340_aby_bostadsomr,2002,0.63529
4210340_aby_bostadsomr,2003,0.64315
4210340_aby_bostadsomr,2004,0.6626
4210340_aby_bostadsomr,2005,0.70042
4210340_aby_bostadsomr,2006,0.73361
4210340_aby_bostadsomr,2007,0.74699
4210340_aby_bostadsomr,2008,0.75954
4210340_aby_bostadsomr,2009,0.73984
4210340_aby_bostadsomr,2010,0.76642
4210340_aby_bostadsomr,2011,0.78571
4210340_aby_bostadsomr,2012,0.78305
4210340_aby_bostadsomr,2013,0.80634
4210340_aby_bostadsomr,2014,0.80277
4210410_vastra_ballsta,2000,0.90456
4210410_vastra_ballsta,2001,0.89872
4210410_vastra_ballsta,2002,0.90652
4210410_vastra_ballsta,2003,0.8863
4210410_vastra_ballsta,2004,0.87585
4210410_vastra_ballsta,2005,0.86767
4210410_vastra_ballsta,2006,0.89041
4210410_vastra_ballsta,2007,0.91404
4210410_vastra_ballsta,2008,0.91837
4210410_vastra_ballsta,2009,0.9152
4210410_vastra_ballsta,2010,0.91156
4210410_vastra_ballsta,2011,0.90219
4210410_vastra_ballsta,2012,0.90075
4210410_vastra_ballsta,2013,0.90206
4210410_vastra_ballsta,2014,0.90703
4210420_kragstalund,2000,0.89775
4210420_kragstalund,2001,0.89091
4210420_kragstalund,2002,0.88755
4210420_kragstalund,2003,0.88785
4210420_kragstalund,2004,0.89619
4210420_kragstalund,2005,0.90376
4210420_kragstalund,2006,0.903
4210420_kragstalund,2007,0.9096
4210420_kragstalund,2008,0.91501
4210420_kragstalund,2009,0.91155
4210420_kragstalund,2010,0.90714
4210420_kragstalund,2011,0.90616
4210420_kragstalund,2012,0.90756
4210420_kragstalund,2013,0.89444
4210420_kragstalund,2014,0.91111
4210430_ballstaberg,2000,0.84444
4210430_ballstaberg,2001,0.85542
4210430_ballstaberg,2002,0.86022
4210430_ballstaberg,2003,0.83721
4210430_ballstaberg,2004,0.86742
4210430_ballstaberg,2005,0.89877
4210430_ballstaberg,2006,0.90959
4210430_ballstaberg,2007,0.90365
4210430_ballstaberg,2008,0.9199
4210430_ballstaberg,2009,0.92009
4210430_ballstaberg,2010,0.92355
4210430_ballstaberg,2011,0.92912
4210430_ballstaberg,2012,0.91205
4210430_ballstaberg,2013,0.90411
4210430_ballstaberg,2014,0.91085
4210440_okand,2000,0.87842
4210440_okand,2001,0.8664
4210440_okand,2002,0.88703
4210440_okand,2003,0.87017
4210440_okand,2004,0.87466
4210440_okand,2005,0.87145
4210440_okand,2006,0.88027
4210440_okand,2007,0.88812
4210440_okand,2008,0.86676
4210440_okand,2009,0.85386
4210510_vallentuna_glesbygd_v,2000,0.88649
4210510_vallentuna_glesbygd_v,2001,0.86154
4210510_vallentuna_glesbygd_v,2002,0.8342
4210510_vallentuna_glesbygd_v,2003,0.82653
4210510_vallentuna_glesbygd_v,2004,0.855
4210510_vallentuna_glesbygd_v,2005,0.84772
4210510_vallentuna_glesbygd_v,2006,0.86082
4210510_vallentuna_glesbygd_v,2007,0.8607
4210510_vallentuna_glesbygd_v,2008,0.84951
4210510_vallentuna_glesbygd_v,2009,0.83173
4210510_vallentuna_glesbygd_v,2010,0.83838
4210510_vallentuna_glesbygd_v,2011,0.8439
4210510_vallentuna_glesbygd_v,2012,0.8552
4210510_vallentuna_glesbygd_v,2013,0.84305
4210510_vallentuna_glesbygd_v,2014,0.84753
4210530_vallentuna_glesbygd_no,2000,0.83505
4210530_vallentuna_glesbygd_no,2001,0.85294
4210530_vallentuna_glesbygd_no,2002,0.84615
4210530_vallentuna_glesbygd_no,2003,0.85149
4210530_vallentuna_glesbygd_no,2004,0.85437
4210530_vallentuna_glesbygd_no,2005,0.84821
4210530_vallentuna_glesbygd_no,2006,0.89381
4210530_vallentuna_glesbygd_no,2007,0.88189
4210530_vallentuna_glesbygd_no,2008,0.89516
4210530_vallentuna_glesbygd_no,2009,0.86232
4210530_vallentuna_glesbygd_no,2010,0.86
