basomrade,year,immigration_surplus_male
4250100_karsta,2000,-5
4250100_karsta,2001,-6
4250100_karsta,2002,-3
4250100_karsta,2003,0
4250100_karsta,2004,-5
4250100_karsta,2005,4
4250100_karsta,2006,7
4250100_karsta,2007,-5
4250100_karsta,2008,3
4250100_karsta,2009,3
4250100_karsta,2010,-1
4250100_karsta,2011,6
4250100_karsta,2012,8
4250100_karsta,2013,-17
4250100_karsta,2014,-10
4250200_ekskogen,2000,-1
4250200_ekskogen,2001,5
4250200_ekskogen,2002,0
4250200_ekskogen,2003,-4
4250200_ekskogen,2004,-4
4250200_ekskogen,2005,-5
4250200_ekskogen,2006,-5
4250200_ekskogen,2007,2
4250200_ekskogen,2008,-5
4250200_ekskogen,2009,-1
4250200_ekskogen,2010,-1
4250200_ekskogen,2011,-4
4250200_ekskogen,2012,-3
4250200_ekskogen,2013,7
4250200_ekskogen,2014,-3
4250500_karsta_glesbygd,2000,19
4250500_karsta_glesbygd,2001,15
4250500_karsta_glesbygd,2002,-3
4250500_karsta_glesbygd,2003,2
4250500_karsta_glesbygd,2004,-4
4250500_karsta_glesbygd,2005,-6
4250500_karsta_glesbygd,2006,18
4250500_karsta_glesbygd,2007,8
4250500_karsta_glesbygd,2008,6
4250500_karsta_glesbygd,2009,-6
4250500_karsta_glesbygd,2010,3
4250500_karsta_glesbygd,2011,2
4250500_karsta_glesbygd,2012,-3
4250500_karsta_glesbygd,2013,2
4250500_karsta_glesbygd,2014,5
4260500_vada_glesbygd,2000,0
4260500_vada_glesbygd,2001,-4
4260500_vada_glesbygd,2002,-3
4260500_vada_glesbygd,2003,7
4260500_vada_glesbygd,2004,3
4260500_vada_glesbygd,2005,5
4260500_vada_glesbygd,2006,0
4260500_vada_glesbygd,2007,2
4260500_vada_glesbygd,2008,-2
4260500_vada_glesbygd,2009,-2
4260500_vada_glesbygd,2010,8
4260500_vada_glesbygd,2011,2
4260500_vada_glesbygd,2012,4
4260500_vada_glesbygd,2013,0
4260500_vada_glesbygd,2014,1
4270100_karby,2000,13
4270100_karby,2001,-2
4270100_karby,2002,-3
4270100_karby,2003,-9
4270100_karby,2004,-10
4270100_karby,2005,1
4270100_karby,2006,6
4270100_karby,2007,12
4270100_karby,2008,-14
4270100_karby,2009,0
4270100_karby,2010,-10
4270100_karby,2011,-9
4270100_karby,2012,1
4270100_karby,2013,4
4270100_karby,2014,-5
4270200_brottby,2000,-3
4270200_brottby,2001,-1
4270200_brottby,2002,0
4270200_brottby,2003,0
4270200_brottby,2004,1
4270200_brottby,2005,-1
4270200_brottby,2006,-1
4270200_brottby,2007,5
4270200_brottby,2008,0
4270200_brottby,2009,-1
4270200_brottby,2010,-1
4270200_brottby,2011,-1
4270200_brottby,2012,0
4270200_brottby,2013,-2
4270200_brottby,2014,2
4270501_ovr_osseby_garns_glesbygd,2000,-2
4270501_ovr_osseby_garns_glesbygd,2001,8
4270501_ovr_osseby_garns_glesbygd,2002,19
4270501_ovr_osseby_garns_glesbygd,2003,3
4270501_ovr_osseby_garns_glesbygd,2004,19
4270501_ovr_osseby_garns_glesbygd,2005,-6
4270501_ovr_osseby_garns_glesbygd,2006,2
4270501_ovr_osseby_garns_glesbygd,2007,-7
4270501_ovr_osseby_garns_glesbygd,2008,31
4270501_ovr_osseby_garns_glesbygd,2009,7
4270501_ovr_osseby_garns_glesbygd,2010,6
4270501_ovr_osseby_garns_glesbygd,2011,-12
4270501_ovr_osseby_garns_glesbygd,2012,10
4270501_ovr_osseby_garns_glesbygd,2013,8
4270501_ovr_osseby_garns_glesbygd,2014,5
4270502_algeby_garns_ekskogen,2000,9
4270502_algeby_garns_ekskogen,2001,11
4270502_algeby_garns_ekskogen,2002,2
4270502_algeby_garns_ekskogen,2003,3
4270502_algeby_garns_ekskogen,2004,2
4270502_algeby_garns_ekskogen,2005,2
4270502_algeby_garns_ekskogen,2006,0
4270502_algeby_garns_ekskogen,2007,11
4270502_algeby_garns_ekskogen,2008,1
4270502_algeby_garns_ekskogen,2009,-5
4270502_algeby_garns_ekskogen,2010,-8
4270502_algeby_garns_ekskogen,2011,2
4270502_algeby_garns_ekskogen,2012,7
4270502_algeby_garns_ekskogen,2013,1
4270502_algeby_garns_ekskogen,2014,15
4280000_angarns_forsamling,2000,-11
4280000_angarns_forsamling,2001,10
4280000_angarns_forsamling,2002,2
4280000_angarns_forsamling,2003,-3
