basomrade,year,immigration_surplus_female
4210110_centrala_vallentuna,2007,3
4210110_centrala_vallentuna,2008,61
4210110_centrala_vallentuna,2009,-42
4210110_centrala_vallentuna,2010,49
4210110_centrala_vallentuna,2011,-4
4210110_centrala_vallentuna,2012,45
4210110_centrala_vallentuna,2013,27
4210110_centrala_vallentuna,2014,20
4210210_norra_vallentuna_tatort,2000,-20
4210210_norra_vallentuna_tatort,2001,31
4210210_norra_vallentuna_tatort,2002,-24
4210210_norra_vallentuna_tatort,2003,-13
4210210_norra_vallentuna_tatort,2004,6
4210210_norra_vallentuna_tatort,2005,-5
4210210_norra_vallentuna_tatort,2006,-18
4210210_norra_vallentuna_tatort,2007,-20
4210210_norra_vallentuna_tatort,2008,-27
4210210_norra_vallentuna_tatort,2009,-30
4210210_norra_vallentuna_tatort,2010,11
4210210_norra_vallentuna_tatort,2011,-6
4210210_norra_vallentuna_tatort,2012,-14
4210210_norra_vallentuna_tatort,2013,-37
4210210_norra_vallentuna_tatort,2014,-5
4210220_nv_a_vallentuna_tatort,2000,35
4210220_nv_a_vallentuna_tatort,2001,8
4210220_nv_a_vallentuna_tatort,2002,-9
4210220_nv_a_vallentuna_tatort,2003,10
4210220_nv_a_vallentuna_tatort,2004,11
4210220_nv_a_vallentuna_tatort,2005,-9
4210220_nv_a_vallentuna_tatort,2006,17
4210220_nv_a_vallentuna_tatort,2007,75
4210220_nv_a_vallentuna_tatort,2008,66
4210220_nv_a_vallentuna_tatort,2009,51
4210220_nv_a_vallentuna_tatort,2010,48
4210220_nv_a_vallentuna_tatort,2011,-1
4210220_nv_a_vallentuna_tatort,2012,29
4210220_nv_a_vallentuna_tatort,2013,0
4210220_nv_a_vallentuna_tatort,2014,27
4210320_ostra_ormsta,2000,30
4210320_ostra_ormsta,2001,36
4210320_ostra_ormsta,2002,-20
4210320_ostra_ormsta,2003,-12
4210320_ostra_ormsta,2004,-21
4210320_ostra_ormsta,2005,-26
4210320_ostra_ormsta,2006,-6
