municipality2011,year,population
fs184,2011,406460.834
fs185,2011,81219.88294
fs191,2011,112596.8753
fs192,2011,128703.6568
fs193,2011,60324.45508
fs194,2011,335783.929
fs195,2011,47772.4405
fs196,2011,51056.45163
fs201,2011,160532.0145
fs203,2011,120520.3392
fs204,2011,149107.9448
fs205,2011,57875.61676
man,2011,747431.0946
gt421,2011,721662.6347
gt422,2011,95300.54401
gt423,2011,99520.36876
gt481,2011,362421.7467
gt482,2011,149285.8301
gt483,2011,111767.2154
gt484,2011,197519.9172
eku,2011,3178470.161
jhb,2011,4434826.97
tsh,2011,2921487.55
kzn213,2011,160975.4271
kzn214,2011,96556.15929
kzn215,2011,52540.11443
kzn216,2011,256135.0373
kzn211,2011,77402.52118
kzn212,2011,78874.67789
kzn221,2011,106373.8433
kzn222,2011,92710.12143
kzn223,2011,38103.11067
kzn224,2011,33105.09609
kzn225,2011,618535.753
kzn226,2011,63141.69046
kzn227,2011,65792.96577
kzn232,2011,237436.7956
kzn233,2011,103116.1788
kzn234,2011,83153.32936
kzn235,2011,132067.7956
kzn236,2011,113073.4462
kzn271,2011,156736.012
kzn272,2011,186502.2854
kzn273,2011,35258.03747
kzn274,2011,71924.69162
kzn275,2011,175424.9243
kzn282,2011,334458.7918
kzn286,2011,114416.1826
kzn281,2011,122888.6229
kzn283,2011,74336.38435
kzn284,2011,213601.3908
kzn285,2011,47817.8076
kzn431,2011,100547.8824
kzn432,2011,12897.88821
kzn433,2011,65981.11121
kzn434,2011,101690.8053
kzn435,2011,180301.6705
kzn241,2011,64862.00206
kzn242,2011,165306.576
kzn244,2011,177576.762
kzn245,2011,103092.5821
kzn252,2011,363235.9542
kzn253,2011,34441.9673
kzn254,2011,102161.3173
kzn263,2011,211059.8574
kzn261,2011,82052.6264
kzn262,2011,127237.9081
kzn265,2011,194907.6281
kzn266,2011,188316.5592
kzn294,2011,96724.12947
kzn291,2011,138078.2193
kzn292,2011,231187.4053
kzn293,2011,140819.5762
eth,2011,3442360.797
lim331,2011,244217.1507
lim332,2011,212701.0566
lim333,2011,390094.7628
lim334,2011,150637.3098
lim335,2011,94857.05582
lim342,2011,91870.05557
lim343,2011,618462.0894
lim341,2011,68358.51581
lim344,2011,516031.4213
lim351,2011,162628.681
lim352,2011,131163.712
lim353,2011,108320.882
lim354,2011,628998.9882
lim355,2011,230350.2674
lim361,2011,85234.22352
lim362,2011,115767.1826
lim364,2011,35639.56732
lim365,2011,68513.13516
lim366,2011,66499.98416
lim367,2011,307681.9439
lim471,2011,123648.2032
lim472,2011,249363.2792
lim473,2011,274357.5005
lim474,2011,93794.78732
lim475,2011,335675.9542
mp301,2011,186010.2874
mp302,2011,149377.3381
mp303,2011,171981.9767
mp304,2011,83235.08012
mp305,2011,115661.6105
mp306,2011,42390.04298
mp307,2011,294537.7578
mp311,2011,75451.95727
mp312,2011,395466.2852
mp313,2011,229831.4534
mp314,2011,47216.11287
mp315,2011,310458.1802
mp316,2011,249705.3144
mp321,2011,98387.24553
mp322,2011,588793.7503
mp323,2011,67156.48703
mp324,2011,393030.2753
mp325,2011,541247.5732
nw371,2011,186947.2975
nw372,2011,477380.8557
nw373,2011,549574.6503
nw374,2011,51048.99842
nw375,2011,242553.5564
nw381,2011,107338.5281
nw382,2011,124217.6039
nw383,2011,291526.8574
nw384,2011,168902.4604
nw385,2011,150713.2728
nw392,2011,66780.79803
nw393,2011,60355.09702
nw394,2011,177642.3149
nw396,2011,53248.41618
nw397,2011,105788.6061
nw401,2011,56701.55692
nw402,2011,162761.8225
nw403,2011,398675.6421
nw404,2011,77794.17952
nc061,2011,11982.4303
nc062,2011,47041.18514
nc064,2011,10187.00175
nc065,2011,21578.13096
nc066,2011,12588.23963
nc067,2011,12465.02847
nc071,2011,18600.86499
nc072,2011,28376.28914
nc073,2011,42355.85232
nc074,2011,11673.01448
nc075,2011,10978.2388
nc076,2011,15700.51846
nc077,2011,21590.80573
nc078,2011,37075.56739
nc081,2011,7003.4685
nc082,2011,65868.89173
nc083,2011,93494.04904
nc084,2011,16637.14741
nc085,2011,35093.08877
nc086,2011,18686.75539
nc091,2011,248040.5913
nc092,2011,46840.72632
nc093,2011,24204.20693
nc094,2011,63000.09408
nc451,2011,89530.12741
nc452,2011,93651.49026
nc453,2011,41616.94011
