geo,geo.name,geo.cat,geo.region,time,pop,gdp_per_cap,gini,u5mr,lat,lng
dnk,Denmark,country,eur,1812,1118457,2058,61,366.84,56,10
dom,Dominican Republic,country,ame,1812,89213,668,40.9,445.15,19,-70.66667
dza,Algeria,country,afr,1812,2614945,727,57.7,460.21,28,3
ecu,Ecuador,country,ame,1812,501182,530,39.2,405.96,-1.25,-78.25
egy,Egypt,country,afr,1812,4220390,792,57.7,404.69,27,30
eri,Eritrea,country,afr,1812,205401,533,45.5,441.12,15,39
esp,Spain,country,eur,1812,11945659,1521,38,450.6,40,-4
est,Estonia,country,eur,1812,334577,951,48.9,362.15,59,26
eth,Ethiopia,country,afr,1812,2955000,524,47.5,447.88,9,39.5
fin,Finland,country,eur,1812,1090811,1271,50.6,384.88,64,26
fji,Fiji,country,asi,1812,133115,786,47.4,498.88,-18,178
fra,France,country,eur,1812,30499974,1846,59,311.75,46,2
gab,Gabon,country,afr,1812,158417,391,45.9,435.79,-1,11.75
gbr,United Kingdom,country,eur,1812,14500244,3298,59.3,310.45,54.75844,-2.69531
geo,Georgia,country,eur,1812,1073592,544,29.7,386.96,41.99998,43.4999
gha,Ghana,country,afr,1812,2014632,703,58.4,471.38,8.1,-1.2
gin,Guinea,country,afr,1812,985207,451,32.7,449.24,10.83333,-10.66667
gmb,Gambia,country,afr,1812,103384,819,45.2,460.21,13.5,-15.5
gnb,Guinea-Bissau,country,afr,1812,218376,779,49.8,417.44,12,-15
gnq,Equatorial Guinea,country,afr,1812,80415,361,45.9,446.51,1.7,10.5
grc,Greece,country,eur,1812,2248656,1400,49.9,360.97,39,22
gtm,Guatemala,country,ame,1812,537881,859,35.3,503.36,14.64072,-90.51327
guy,Guyana,country,ame,1812,166198,1216,38.2,429.16,5,-59
hnd,Honduras,country,ame,1812,133472,676,59.4,393.46,15,-86.5
hti,Haiti,country,ame,1812,723903,634,42,486.27,19,-72.41667
hun,Hungary,country,eur,1812,3878698,1251,47.4,368.01,47,20
idn,Indonesia,country,asi,1812,16637801,996,51.7,443.79,-5,120
ind,India,country,asi,1812,172665988,1051,32.8,509.39,22,79
irl,Ireland,country,eur,1812,4642619,1450,44.6,348.22,53,-8
irn,Iran,country,asi,1812,6445477,979,57.7,506.38,32,53
irq,Iraq,country,asi,1812,1087592,971,57.7,427.86,33,44
isr,Israel,country,asi,1812,209954,881,44.9,447.88,31.5,34.75
ita,Italy,country,eur,1812,19636105,2343,60.5,456.05,42.83333,12.83333
jam,Jamaica,country,ame,1812,400990,1172,39.1,389.77,18.16667,-77.25
jor,Jordan,country,asi,1812,217127,978,39.5,421.34,31,36
jpn,Japan,country,asi,1812,30716134,1067,53.2,363.32,35.68536,139.75309
kaz,Kazakhstan,country,asi,1812,2043970,1156,43.3,497.41,48,68
ken,Kenya,country,afr,1812,2574000,886,46.3,507.88,1,38
kgz,Kyrgyz Republic,country,asi,1812,531041,509,46,381.85,41.5,75
khm,Cambodia,country,asi,1812,2090676,905,39.5,379.99,13,105
kor,South Korea,country,asi,1812,9395709,569,32.1,503.36,36.5,127.75
kwt,Kuwait,country,asi,1812,81280,1148,44.7,500.35,29.36972,47.97833
lao,Lao,country,asi,1812,470642,866,38.4,418.74,18,105
lbn,Lebanon,country,asi,1812,332344,1092,57.7,447.88,33.83333,35.83333
lbr,Liberia,country,afr,1812,313913,798,39.3,429.16,6.5,-9.5
lby,Libya,country,afr,1812,535721,1052,44.6,404.69,28,17
lka,Sri Lanka,country,asi,1812,1216542,900,48,409.79,7.75,80.75
lso,Lesotho,country,afr,1812,276659,396,55.4,407.24,-29.5,28.25
ltu,Lithuania,country,eur,1812,779684,1288,48.9,458.81,55.41667,24
lux,Luxembourg,country,eur,1812,127149,1455,27.7,357.45,49.61167,6.13
lva,Latvia,country,eur,1812,591369,762,48.9,404.69,57,25
mar,Morocco,country,afr,1812,2614945,716,57.7,403.44,32,-6
mda,Moldova,country,eur,1812,713497,622,47.8,388.05,47.25,28.58333
mdg,Madagascar,country,afr,1812,1626756,574,41,437.13,-20,47
mex,Mexico,country,ame,1812,6424742,1381,40.1,487.15,19.42847,-99.12766
mkd,Macedonia, FYR,country,eur,1812,392361,691,32.5,394.98,41.66667,21.75
mli,Mali,country,afr,1812,1405256,604,47.2,494.48,18,-2
mmr,Myanmar,country,asi,1812,3507921,842,30.5,433.13,21,96
mne,Montenegro,country,eur,1812,126743,1059,31.8,375.2,42.75,19.25
mng,Mongolia,country,asi,1812,619135,593,35.2,420.04,46,105
moz,Mozambique,country,afr,1812,2051828,393,45.2,439.79,-18.25,35
mrt,Mauritania,country,afr,1812,382924,528,49.3,417.44,20.25,-10.5
mus,Mauritius,country,afr,1812,81694,942,38.8,427.86,-20.3,57.58333
mwi,Malawi,country,afr,1812,737000,351,45.7,439.79,-13.5,34
mys,Malaysia,country,asi,1812,287853,999,25.3,435.79,2.5,112.5
nam,Namibia,country,afr,1812,229000,541,52.6,412.34,-22,17
ner,Niger,country,afr,1812,1245798,447,43.3,433.13,18,9
nga,Nigeria,country,afr,1812,12108268,870,54.9,438.46,10,8
nic,Nicaragua,country,ame,1812,219893,975,54.8,509.39,13,-85
nld,Netherlands,country,eur,1812,2305553,3447,56.3,323.5,52.25,5.75
nor,Norway,country,eur,1812,929829,1303,43.7,335.73,62,10
npl,Nepal,country,asi,1812,3883124,655,41,407.24,28,84
nzl,New Zealand,country,asi,1812,100000,660,38.2,390.99,-42,174
omn,Oman,country,asi,1812,318131,917,45,413.61,21,57
pak,Pakistan,country,asi,1812,13441094,1020,28.7,501.85,30,70
pan,Panama,country,ame,1812,79047,849,56.8,405.96,8.9936,-79.51973
per,Peru,country,ame,1812,1318494,1206,57.4,371.61,-10,-75.25
phl,Philippines,country,asi,1812,1899026,964,32.5,431.79,13,122
png,Papua New Guinea,country,asi,1812,755575,547,25.8,423.95,-6,147
pol,Poland,country,eur,1812,10056977,1269,34.5,369.21,52,20
prk,North Korea,country,asi,1812,4345466,572,45.7,500.35,40,127
prt,Portugal,country,eur,1812,3190700,1688,55.1,372.81,39.6945,-8.13057
pry,Paraguay,country,ame,1812,143625,837,54.2,374,-23.33333,-58
pse,West Bank and Gaza,country,asi,1812,165944,1223,35.4,435.09,31.5,34.46667
qat,Qatar,country,asi,1812,14092,1148,44.7,433.13,25.27932,51.52245
rou,Romania,country,eur,1812,6008025,817,47.8,371.61,46,25
rus,Russia,country,eur,1812,31129537,1451,57.9,418.74,60,100
rwa,Rwanda,country,afr,1812,929191,438,59,420.04,-2,30
sau,Saudi Arabia,country,asi,1812,2091668,853,45.2,416.16,25,45
sdn,Sudan,country,afr,1812,4059957,519,33.8,425.25,16,30
sds,South Sudan,country,afr,1812,1044304,508,33.78,490.08,7.5,30
sen,Senegal,country,afr,1812,1010860,498,45.9,512.4,14.5,-14.25
sgp,Singapore,country,asi,1812,30091,1023,41,456.05,1.28967,103.85007
slb,Solomon Islands,country,asi,1812,57035,364,45.8,504.87,-8,159
sle,Sierra Leone,country,afr,1812,795027,735,58.2,513.91,8.5,-11.5
slv,El Salvador,country,ame,1812,248465,976,51.7,461.6,13.83333,-88.91667
som,Somalia,country,afr,1812,997431,702,50.9,451.96,6,48
srb,Serbia,country,eur,1812,2149913,1360,32.5,374,44.81892,20.45998
sur,Suriname,country,ame,1812,80808,1639,33.4,405.96,4,-56
svk,Slovak Republic,country,eur,1812,2141768,1429,34.9,363.32,48.66667,19.5
svn,Slovenia,country,eur,1812,470258,1411,27.7,360.97,46.08333,15
swe,Sweden,country,eur,1812,2451606,1376,67.5,312.19,62,15
swz,Swaziland,country,afr,1812,86000,490,59,413.61,-26.5,31.5
syr,Syria,country,asi,1812,1337645,1083,57.7,429.16,35,38
tcd,Chad,country,afr,1812,1432000,419,50.6,431.79,15,19
tgo,Togo,country,afr,1812,446548,684,37.8,426.55,8.66667,1.08333
tha,Thailand,country,asi,1812,4667548,933,47.4,438.46,15.5,101
tjk,Tajikistan,country,asi,1812,467243,559,47.4,371.45,39,71
tkm,Turkmenistan,country,asi,1812,367700,956,41.4,494.81,39.75,59.66667
tls,Timor-Leste,country,asi,1812,137480,533,32.9,447.14,-8.83333,125.75
tto,Trinidad and Tobago,country,ame,1812,60083,1232,44.6,405.96,11,-61
tun,Tunisia,country,afr,1812,870447,717,57.7,460.21,34,9
tur,Turkey,country,eur,1812,9955472,1223,57.7,379.99,39,35
tza,Tanzania,country,afr,1812,3021296,563,37.6,414.89,-6,35
uga,Uganda,country,afr,1812,2102397,465,41,510.9,1.25,32.5
ukr,Ukraine,country,eur,1812,11230415,774,45.6,360.97,49,32
ury,Uruguay,country,ame,1812,55235,1761,48.1,405.96,-33,-56
usa,United States,country,ame,1812,8637266,2289,66.6,459.88,39.76,-98.5
uzb,Uzbekistan,country,asi,1812,1921690,503,44.4,381.19,41.66667,63.83333
ven,Venezuela,country,ame,1812,720128,683,43.4,414.89,8,-66
vnm,Vietnam,country,asi,1812,6559950,863,40.4,417.44,16.16667,107.83333
yem,Yemen,country,asi,1812,2593675,907,57.7,540.44,15.5,47.5
zaf,South Africa,country,afr,1812,1507144,1482,35.9,398.45,-29,24
zmb,Zambia,country,afr,1812,747000,683,39.9,409.79,-14.33333,28.5
zwe,Zimbabwe,country,afr,1812,1086928,881,34.6,395.95,-19,29.75
afg,Afghanistan,country,asi,1813,3284692,604,30.5,469.98,33,66
ago,Angola,country,afr,1813,1570299,654,48.9,485.68,-12.5,18.5
alb,Albania,country,eur,1813,427763,669,41.2,375.2,41,20
are,United Arab Emirates,country,asi,1813,40153,1047,44.8,434.46,23.75,54.5
arg,Argentina,country,ame,1813,537781,1510,47.1,402.19,-34,-64
arm,Armenia,country,eur,1813,414415,515,29.1,364.94,40.25,45
aus,Australia,country,asi,1813,339515,839,41.3,390.99,-25,135
aut,Austria,country,eur,1813,3313616,1947,53.4,302.43,47.33333,13.33333
aze,Azerbaijan,country,eur,1813,882289,777,33.7,373.92,40.5,47.5
bdi,Burundi,country,afr,1813,901101,423,43.7,423.95,-3.5,30
bel,Belgium,country,eur,1813,3332912,2417,62.4,321.31,50.75,4.5
ben,Benin,country,afr,1813,638349,598,48,430.46,9.5,2.25
bfa,Burkina Faso,country,afr,1813,1668909,481,37.5,454.69,12.5,-1.66667
bgd,Bangladesh,country,asi,1813,19740567,875,41.8,507.88,24,90
bgr,Bulgaria,country,eur,1813,2117503,1091,47.8,363.32,42.66667,25.25
bhr,Bahrain,country,asi,1813,64474,1306,44.5,439.79,26.03333,50.55
bih,Bosnia and Herzegovina,country,eur,1813,853961,670,29.1,378.8,44.25,17.83333
blr,Belarus,country,eur,1813,2361309,612,57.9,365.67,53,28
bol,Bolivia,country,ame,1813,1102350,855,36.9,404.69,-17,-65
bra,Brazil,country,ame,1813,4197643,1111,40.1,417.44,-10,-55
btn,Bhutan,country,asi,1813,90114,631,47,458.37,27.5,90.5
bwa,Botswana,country,afr,1813,121000,398,35.6,397.2,-22,24
caf,Central African Republic,country,afr,1813,480101,425,45.2,443.79,7,21
can,Canada,country,ame,1813,759609,1427,45.1,333.47,60.10867,-113.64258
che,Switzerland,country,eur,1813,1929951,2706,41.7,344.77,47.00016,8.01427
chl,Chile,country,ame,1813,776590,1028,47.1,417.44,-33.45694,-70.64827
chn,China,country,asi,1813,359404695,985,44.2,417.44,35,105
civ,Cote d'Ivoire,country,afr,1813,1090657,856,38.1,427.86,8,-5.5
cmr,Cameroon,country,afr,1813,1861637,627,56.2,460.21,6,12.5
cod,Congo, Dem. Rep.,country,afr,1813,5173637,511,42.1,422.65,-2.5,23.5
cog,Congo, Rep.,country,afr,1813,315123,596,51.1,408.51,-1,15.5
col,Colombia,country,ame,1813,1212308,965,58.9,417.44,4,-73.25
com,Comoros,country,afr,1813,56474,705,36.3,416.16,-12.23333,44.44553
cpv,Cape Verde,country,afr,1813,55860,530,50.2,394.71,16,-24
cri,Costa Rica,country,ame,1813,59179,776,49,441.12,10,-84
cub,Cuba,country,ame,1813,509649,1005,37.2,390.99,22,-79.5
cyp,Cyprus,country,eur,1813,184649,855,31,339.12,35,33
cze,Czech Republic,country,eur,1813,5522141,1919,34.9,379.99,49.75,15
deu,Germany,country,eur,1813,24258514,1796,53,340.25,51.5,10.5
dji,Djibouti,country,afr,1813,22899,784,42.1,445.15,11.58901,43.14503
dnk,Denmark,country,eur,1813,1124389,2062,61,365.67,56,10
dom,Dominican Republic,country,ame,1813,89428,668,41,445.15,19,-70.66667
dza,Algeria,country,afr,1813,2625571,728,57.7,460.21,28,3
ecu,Ecuador,country,ame,1813,502377,530,39.3,405.96,-1.25,-78.25
egy,Egypt,country,afr,1813,4224589,792,57.7,404.69,27,30
eri,Eritrea,country,afr,1813,205796,533,45.5,441.12,15,39
esp,Spain,country,eur,1813,11985465,1521,38,450.6,40,-4
est,Estonia,country,eur,1813,335021,952,48.9,362.15,59,26
eth,Ethiopia,country,afr,1813,2961066,524,47.5,447.88,9,39.5
fin,Finland,country,eur,1813,1101463,1274,50.6,379.99,64,26
fji,Fiji,country,asi,1813,133332,786,47.4,498.88,-18,178
fra,France,country,eur,1813,30612625,1850,59,301.63,46,2
gab,Gabon,country,afr,1813,158609,391,45.9,435.79,-1,11.75
gbr,United Kingdom,country,eur,1813,14702894,3423,59.3,308.32,54.75844,-2.69531
geo,Georgia,country,eur,1813,1075014,544,29.7,386.15,41.99998,43.4999
gha,Ghana,country,afr,1813,2013235,703,58.4,471.38,8.1,-1.2
gin,Guinea,country,afr,1813,986462,451,32.7,449.24,10.83333,-10.66667
gmb,Gambia,country,afr,1813,103495,819,45.3,460.21,13.5,-15.5
gnb,Guinea-Bissau,country,afr,1813,218585,779,49.8,417.44,12,-15
gnq,Equatorial Guinea,country,afr,1813,80453,362,46,446.51,1.7,10.5
grc,Greece,country,eur,1813,2258621,1402,49.9,360.97,39,22
gtm,Guatemala,country,ame,1813,544813,859,35.3,503.36,14.64072,-90.51327
guy,Guyana,country,ame,1813,166363,1216,38.2,429.16,5,-59
hnd,Honduras,country,ame,1813,134340,676,59.2,393.46,15,-86.5
hti,Haiti,country,ame,1813,724811,635,42,486.26,19,-72.41667
hun,Hungary,country,eur,1813,3910994,1252,47.4,368.01,47,20
idn,Indonesia,country,asi,1813,16695262,996,51.7,443.79,-5,120
ind,India,country,asi,1813,173052964,1051,32.8,509.39,22,79
irl,Ireland,country,eur,1813,4693331,1450,44.6,348.22,53,-8
irn,Iran,country,asi,1813,6462648,979,57.7,506.38,32,53
irq,Iraq,country,asi,1813,1089446,972,57.7,427.86,33,44
isr,Israel,country,asi,1813,209954,881,44.9,447.87,31.5,34.75
ita,Italy,country,eur,1813,19712990,2407,60.5,456.05,42.83333,12.83333
jam,Jamaica,country,ame,1813,400981,1173,39.1,389.77,18.16667,-77.25
jor,Jordan,country,asi,1813,217254,978,39.6,421.34,31,36
jpn,Japan,country,asi,1813,30751104,1069,53.2,363.32,35.68536,139.75309
kaz,Kazakhstan,country,asi,1813,2046674,1158,43.3,497.41,48,68
ken,Kenya,country,afr,1813,2574000,889,46.3,507.88,1,38
kgz,Kyrgyz Republic,country,asi,1813,531743,509,46,381.77,41.5,75
khm,Cambodia,country,asi,1813,2091353,905,39.6,379.99,13,105
kor,South Korea,country,asi,1813,9396418,568,32.1,503.36,36.5,127.75
kwt,Kuwait,country,asi,1813,81280,1152,44.7,500.35,29.36972,47.97833
lao,Lao,country,asi,1813,471287,866,38.4,418.74,18,105
lbn,Lebanon,country,asi,1813,332689,1093,57.7,447.88,33.83333,35.83333
lbr,Liberia,country,afr,1813,314285,798,39.3,429.16,6.5,-9.5
lby,Libya,country,afr,1813,536387,1052,44.5,404.69,28,17
lka,Sri Lanka,country,asi,1813,1220133,900,48,409.79,7.75,80.75
lso,Lesotho,country,afr,1813,276959,396,55.4,407.24,-29.5,28.25
ltu,Lithuania,country,eur,1813,780719,1290,48.9,458.81,55.41667,24
lux,Luxembourg,country,eur,1813,127268,1455,27.9,357.45,49.61167,6.13
lva,Latvia,country,eur,1813,592154,763,48.9,404.69,57,25
mar,Morocco,country,afr,1813,2625571,716,57.7,403.44,32,-6
mda,Moldova,country,eur,1813,714441,622,47.8,387.33,47.25,28.58333
mdg,Madagascar,country,afr,1813,1634432,574,41,437.13,-20,47
mex,Mexico,country,ame,1813,6446944,1382,40.1,487.15,19.42847,-99.12766
mkd,Macedonia, FYR,country,eur,1813,392860,691,32.5,394.83,41.66667,21.75
mli,Mali,country,afr,1813,1407125,604,47.2,494.48,18,-2
mmr,Myanmar,country,asi,1813,3509846,842,30.5,433.13,21,96
mne,Montenegro,country,eur,1813,126904,1059,31.9,375.2,42.75,19.25
mng,Mongolia,country,asi,1813,619270,593,35.4,420.04,46,105
moz,Mozambique,country,afr,1813,2059333,393,45.2,439.79,-18.25,35
mrt,Mauritania,country,afr,1813,383153,528,49.3,417.44,20.25,-10.5
mus,Mauritius,country,afr,1813,83440,942,38.9,427.86,-20.3,57.58333
mwi,Malawi,country,afr,1813,737000,351,45.7,439.79,-13.5,34
mys,Malaysia,country,asi,1813,288717,999,25.3,435.79,2.5,112.5
nam,Namibia,country,afr,1813,229000,541,52.6,412.34,-22,17
ner,Niger,country,afr,1813,1246738,447,43.3,433.13,18,9
nga,Nigeria,country,afr,1813,12115702,871,54.9,438.46,10,8
nic,Nicaragua,country,ame,1813,220405,975,54.7,509.39,13,-85
nld,Netherlands,country,eur,1813,2313779,3097,56.3,323.5,52.25,5.75
nor,Norway,country,eur,1813,936248,1305,43.7,335.73,62,10
npl,Nepal,country,asi,1813,3885253,655,41,407.24,28,84
nzl,New Zealand,country,asi,1813,100000,660,38.2,390.99,-42,174
omn,Oman,country,asi,1813,318261,917,45,413.61,21,57
pak,Pakistan,country,asi,1813,13470183,1020,28.7,501.85,30,70
pan,Panama,country,ame,1813,79254,849,56.6,405.96,8.9936,-79.51973
per,Peru,country,ame,1813,1321295,1206,57.4,371.61,-10,-75.25
phl,Philippines,country,asi,1813,1903715,964,32.5,431.79,13,122
png,Papua New Guinea,country,asi,1813,756259,547,25.8,423.95,-6,147
pol,Poland,country,eur,1813,10107543,1274,34.5,369.21,52,20
prk,North Korea,country,asi,1813,4345932,571,45.7,500.35,40,127
prt,Portugal,country,eur,1813,3204756,1688,55.1,372.81,39.6945,-8.13057
pry,Paraguay,country,ame,1813,144263,837,54.1,374,-23.33333,-58
pse,West Bank and Gaza,country,asi,1813,165944,1223,35.5,435.08,31.5,34.46667
qat,Qatar,country,asi,1813,14092,1152,44.7,433.13,25.27932,51.52245
rou,Romania,country,eur,1813,6054887,817,47.8,371.61,46,25
rus,Russia,country,eur,1813,31170930,1452,57.9,418.74,60,100
rwa,Rwanda,country,afr,1813,930018,438,59,420.04,-2,30
sau,Saudi Arabia,country,asi,1813,2092338,853,45.2,416.16,25,45
sdn,Sudan,country,afr,1813,4067169,519,33.8,425.25,16,30
sds,South Sudan,country,afr,1813,1046160,508,33.78,490.08,7.5,30
sen,Senegal,country,afr,1813,1011838,498,45.9,512.4,14.5,-14.25
sgp,Singapore,country,asi,1813,30183,1023,41,456.05,1.28967,103.85007
slb,Solomon Islands,country,asi,1813,57072,364,45.8,504.87,-8,159
sle,Sierra Leone,country,afr,1813,795794,735,58.1,513.91,8.5,-11.5
slv,El Salvador,country,ame,1813,248933,976,51.6,461.6,13.83333,-88.91667
som,Somalia,country,afr,1813,998703,702,50.9,451.96,6,48
srb,Serbia,country,eur,1813,2152645,1360,32.5,374,44.81892,20.45998
sur,Suriname,country,ame,1813,80896,1639,33.5,405.96,4,-56
svk,Slovak Republic,country,eur,1813,2142888,1430,34.9,363.32,48.66667,19.5
svn,Slovenia,country,eur,1813,470856,1411,27.7,360.97,46.08333,15
swe,Sweden,country,eur,1813,2465326,1403,67.5,303.56,62,15
swz,Swaziland,country,afr,1813,86000,490,58.9,413.61,-26.5,31.5
syr,Syria,country,asi,1813,1338291,1083,57.7,429.16,35,38
tcd,Chad,country,afr,1813,1432000,419,50.6,431.79,15,19
tgo,Togo,country,afr,1813,447115,684,37.8,426.55,8.66667,1.08333
tha,Thailand,country,asi,1813,4670102,933,47.4,438.46,15.5,101
tjk,Tajikistan,country,asi,1813,467861,559,47.4,370.62,39,71
tkm,Turkmenistan,country,asi,1813,368188,957,41.4,494.55,39.75,59.66667
tls,Timor-Leste,country,asi,1813,137700,535,33.1,447.28,-8.83333,125.75
tto,Trinidad and Tobago,country,ame,1813,60166,1233,44.6,405.96,11,-61
tun,Tunisia,country,afr,1813,871749,717,57.7,460.21,34,9
tur,Turkey,country,eur,1813,9972928,1224,57.7,379.99,39,35
tza,Tanzania,country,afr,1813,3022828,563,37.6,414.89,-6,35
uga,Uganda,country,afr,1813,2103399,465,41,510.9,1.25,32.5
ukr,Ukraine,country,eur,1813,11245432,775,45.6,360.97,49,32
ury,Uruguay,country,ame,1813,55475,1761,48.1,405.96,-33,-56
usa,United States,country,ame,1813,8822188,2314,66.6,459.34,39.76,-98.5
uzb,Uzbekistan,country,asi,1813,1924236,503,44.4,381.17,41.66667,63.83333
ven,Venezuela,country,ame,1813,722286,683,43.4,414.89,8,-66
vnm,Vietnam,country,asi,1813,6568958,863,40.4,417.44,16.16667,107.83333
yem,Yemen,country,asi,1813,2594351,910,57.7,540.44,15.5,47.5
zaf,South Africa,country,afr,1813,1514072,1483,35.9,398.45,-29,24
zmb,Zambia,country,afr,1813,747000,684,39.9,409.79,-14.33333,28.5
zwe,Zimbabwe,country,afr,1813,1088047,883,34.6,395.95,-19,29.75
afg,Afghanistan,country,asi,1814,3287834,604,30.5,469.98,33,66
ago,Angola,country,afr,1814,1572493,657,48.9,485.68,-12.5,18.5
alb,Albania,country,eur,1814,429220,669,41.2,375.2,41,20
are,United Arab Emirates,country,asi,1814,40153,1051,44.7,434.46,23.75,54.5
arg,Argentina,country,ame,1814,540353,1511,47.1,402.19,-34,-64
arm,Armenia,country,eur,1814,415147,515,29.1,364.46,40.25,45
aus,Australia,country,asi,1814,338733,841,41.3,390.99,-25,135
aut,Austria,country,eur,1814,3323445,1955,53.4,326.89,47.33333,13.33333
aze,Azerbaijan,country,eur,1814,883853,777,33.9,373.15,40.5,47.5
bdi,Burundi,country,afr,1814,902446,423,43.7,423.95,-3.5,30
bel,Belgium,country,eur,1814,3350824,2417,62.4,321.31,50.75,4.5
ben,Benin,country,afr,1814,639552,598,48,430.46,9.5,2.25
bfa,Burkina Faso,country,afr,1814,1671249,481,37.5,454.69,12.5,-1.66667
bgd,Bangladesh,country,asi,1814,19788216,875,41.8,507.88,24,90
bgr,Bulgaria,country,eur,1814,2127312,1091,47.8,363.32,42.66667,25.25
bhr,Bahrain,country,asi,1814,64474,1312,44.5,439.79,26.03333,50.55
bih,Bosnia and Herzegovina,country,eur,1814,855408,670,29.3,378.8,44.25,17.83333
blr,Belarus,country,eur,1814,2365493,612,57.9,365.67,53,28
bol,Bolivia,country,ame,1814,1103927,855,36.9,404.69,-17,-65
bra,Brazil,country,ame,1814,4247275,1111,40.1,417.44,-10,-55
btn,Bhutan,country,asi,1814,90197,631,47,457.99,27.5,90.5
bwa,Botswana,country,afr,1814,121000,398,35.6,397.2,-22,24
caf,Central African Republic,country,afr,1814,480541,425,45.2,443.79,7,21
can,Canada,country,ame,1814,772636,1436,45.1,333.47,60.10867,-113.64258
che,Switzerland,country,eur,1814,1938609,2707,41.7,344.77,47.00016,8.01427
chl,Chile,country,ame,1814,780086,1028,47.1,417.44,-33.45694,-70.64827
chn,China,country,asi,1814,362357830,985,44.2,417.44,35,105
civ,Cote d'Ivoire,country,afr,1814,1092084,859,38.1,427.86,8,-5.5
cmr,Cameroon,country,afr,1814,1862694,627,56.2,460.21,6,12.5
cod,Congo, Dem. Rep.,country,afr,1814,5180218,513,42.1,422.65,-2.5,23.5
cog,Congo, Rep.,country,afr,1814,315564,598,51.1,408.51,-1,15.5
col,Colombia,country,ame,1814,1216578,965,58.9,417.44,4,-73.25
com,Comoros,country,afr,1814,56559,706,36.3,416.16,-12.23333,44.44553
cpv,Cape Verde,country,afr,1814,55956,530,50.1,394.71,16,-24
cri,Costa Rica,country,ame,1814,59705,777,49,441.12,10,-84
cub,Cuba,country,ame,1814,523101,1016,37.3,389.77,22,-79.5
cyp,Cyprus,country,eur,1814,184669,855,31.1,339.12,35,33
cze,Czech Republic,country,eur,1814,5526013,1919,34.9,379.99,49.75,15
deu,Germany,country,eur,1814,24407472,1809,53,340.25,51.5,10.5
dji,Djibouti,country,afr,1814,22933,786,42.2,445.15,11.58901,43.14503
dnk,Denmark,country,eur,1814,1130918,2066,61,364.49,56,10
dom,Dominican Republic,country,ame,1814,89717,668,41.1,445.15,19,-70.66667
dza,Algeria,country,afr,1814,2636656,729,57.7,460.21,28,3
ecu,Ecuador,country,ame,1814,503984,530,39.4,405.96,-1.25,-78.25
egy,Egypt,country,afr,1814,4231057,792,57.7,404.69,27,30
eri,Eritrea,country,afr,1814,206325,533,45.6,441.12,15,39
esp,Spain,country,eur,1814,12027700,1521,38,450.6,40,-4
est,Estonia,country,eur,1814,335616,953,48.9,362.15,59,26
eth,Ethiopia,country,afr,1814,2969213,524,47.5,447.88,9,39.5
fin,Finland,country,eur,1814,1112452,1276,50.6,375.2,64,26
fji,Fiji,country,asi,1814,133549,787,47.4,498.88,-18,178
fra,France,country,eur,1814,30731442,1854,59,291.84,46,2
gab,Gabon,country,afr,1814,158865,391,45.9,435.79,-1,11.75
gbr,United Kingdom,country,eur,1814,14909411,3296,59.3,309.38,54.75844,-2.69531
geo,Georgia,country,eur,1814,1076919,544,29.7,385.34,41.99998,43.4999
gha,Ghana,country,afr,1814,2011377,704,58.4,471.38,8.1,-1.2
gin,Guinea,country,afr,1814,988143,451,32.7,449.24,10.83333,-10.66667
gmb,Gambia,country,afr,1814,103644,820,45.3,460.21,13.5,-15.5
gnb,Guinea-Bissau,country,afr,1814,218865,779,49.8,417.44,12,-15
gnq,Equatorial Guinea,country,afr,1814,80505,362,46.1,446.51,1.7,10.5
grc,Greece,country,eur,1814,2269262,1405,49.9,360.97,39,22
gtm,Guatemala,country,ame,1814,551803,859,35.3,503.36,14.64072,-90.51327
guy,Guyana,country,ame,1814,166584,1217,38.2,429.16,5,-59
hnd,Honduras,country,ame,1814,135424,676,59,393.46,15,-86.5
hti,Haiti,country,ame,1814,726027,635,42,486.25,19,-72.41667
hun,Hungary,country,eur,1814,3943326,1252,47.4,368.01,47,20
idn,Indonesia,country,asi,1814,16757588,996,51.7,443.79,-5,120
ind,India,country,asi,1814,173456323,1051,32.8,509.39,22,79
irl,Ireland,country,eur,1814,4744184,1450,44.6,348.22,53,-8
irn,Iran,country,asi,1814,6480722,979,57.7,506.38,32,53
irq,Iraq,country,asi,1814,1091654,972,57.7,427.86,33,44
isr,Israel,country,asi,1814,209954,881,44.9,447.86,31.5,34.75
ita,Italy,country,eur,1814,19793068,2436,60.5,456.05,42.83333,12.83333
jam,Jamaica,country,ame,1814,400968,1173,39.1,389.77,18.16667,-77.25
jor,Jordan,country,asi,1814,217423,978,39.6,421.34,31,36
jpn,Japan,country,asi,1814,30785976,1070,53.2,363.32,35.68536,139.75309
kaz,Kazakhstan,country,asi,1814,2050295,1159,43.3,497.41,48,68
ken,Kenya,country,afr,1814,2574000,892,46.3,507.88,1,38
kgz,Kyrgyz Republic,country,asi,1814,532683,509,46,381.7,41.5,75
khm,Cambodia,country,asi,1814,2092257,905,39.7,379.99,13,105
kor,South Korea,country,asi,1814,9397364,568,32.1,503.36,36.5,127.75
kwt,Kuwait,country,asi,1814,81280,1156,44.7,500.35,29.36972,47.97833
lao,Lao,country,asi,1814,472152,866,38.4,418.74,18,105
lbn,Lebanon,country,asi,1814,333152,1094,57.7,447.88,33.83333,35.83333
